id,text,obfuscatedText,score,justification,model
16,aaa proteins,tsen carbohydrate,1.0,The word 'carbohydrate' is unrelated to 'proteins'.,llama-3.3-70b-versatile
16,aaa proteins,revolution neutrophils,1.0,The word 'neutrophils' is unrelated to 'proteins'.,llama-3.3-70b-versatile
16,aaa proteins,exx organisms,2.0,The word 'organisms' is related to 'proteins' but not specific enough.,llama-3.3-70b-versatile
16,aaa proteins,guitarra proteins,4.0,The word 'guitarra' is unrelated to 'proteins' but 'proteins' is present.,llama-3.3-70b-versatile
16,aaa proteins,comission dysfunctional,1.0,The word 'dysfunctional' is unrelated to 'proteins'.,llama-3.3-70b-versatile
16,aaa proteins,aaa tallarico,3.0,The word 'aaa' is present in the original text but 'tallarico' is unrelated to 'proteins'.,llama-3.3-70b-versatile
16,aaa proteins,"113,000 entities",1.0,"The phrase '113,000 entities' is unrelated to 'proteins'.",llama-3.3-70b-versatile
16,aaa proteins,balance willingness,1.0,The word 'balance' and 'willingness' are unrelated to 'proteins'.,llama-3.3-70b-versatile
16,aaa proteins,southcoast proteins,4.0,The word 'southcoast' is unrelated to 'proteins' but 'proteins' is present.,llama-3.3-70b-versatile
16,aaa proteins,furloughed tokes,1.0,The word 'furloughed' and 'tokes' are unrelated to 'proteins'.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,slap pavelić by lung wavelength sportfish,1.0,"The obfuscated text 'slap pavelić by lung wavelength sportfish' has no relation to the original text, thus it gets a score of 1.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens deputy by synthetic turteltaub cell,4.0,"The obfuscated text 'antigens deputy by synthetic turteltaub cell' contains the word 'antigens' which is present in the original text, thus it gets a score of 4.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens rigging protect protesting meningococcemia bloodstream,4.0,"The obfuscated text 'antigens rigging protect protesting meningococcemia bloodstream' contains the word 'antigens' which is present in the original text, thus it gets a score of 4.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,immunoglobulin experienced marquess khet buns cells,3.0,"The obfuscated text 'immunoglobulin experienced marquess khet buns cells' has some relation to the biological context of the original text, thus it gets a score of 3.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,inamul dismay withdrawing brain epithelial infect,4.0,"The obfuscated text 'inamul dismay withdrawing brain epithelial infect' contains the word 'epithelial' which is present in the original text, thus it gets a score of 4.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens detemobil by lung 30.000 cell,5.0,"The obfuscated text 'antigens detemobil by lung 30.000 cell' contains the words 'antigens' and 'lung' which are present in the original text, thus it gets a score of 5.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,99-percent derryberry court disengagement smulders tissue,1.0,"The obfuscated text '99-percent derryberry court disengagement smulders tissue' has no relation to the original text, thus it gets a score of 1.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,pre-mrna temperament by corps epithelial cell,4.0,"The obfuscated text 'pre-mrna temperament by corps epithelial cell' contains the word 'epithelial' which is present in the original text, thus it gets a score of 4.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,cracovia elders marceau esophageal blavatsky vibhuti,1.0,"The obfuscated text 'cracovia elders marceau esophageal blavatsky vibhuti' has no relation to the original text, thus it gets a score of 1.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,coefficients atlus by cois epithelial system,4.0,"The obfuscated text 'coefficients atlus by cois epithelial system' contains the word 'epithelial' which is present in the original text, thus it gets a score of 4.",llama-3.3-70b-versatile
15,atpase and apoptosis,martaban móvil upregulation,1.0,The obfuscated text 'martaban móvil upregulation' does not contain any information from the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,daesang oryx secretory,1.0,The obfuscated text 'daesang oryx secretory' does not contain any information from the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,δ similar laplaca,1.0,The obfuscated text 'δ similar laplaca' does not contain any information from the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,human-readable huck loosey,1.0,The obfuscated text 'human-readable huck loosey' does not contain any information from the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,dimms government-sponsored zf,1.0,The obfuscated text 'dimms government-sponsored zf' does not contain any information from the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,endiem coria apoptotic,4.0,The obfuscated text 'endiem coria apoptotic' contains the word 'apoptotic' which is related to 'apoptosis' in the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,casamento shared noradrenergic,1.0,The obfuscated text 'casamento shared noradrenergic' does not contain any information from the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,m1917 brand apoptosis,5.0,The obfuscated text 'm1917 brand apoptosis' contains the word 'apoptosis' which is present in the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase delivers apoptosis,5.0,The obfuscated text 'atpase delivers apoptosis' contains both 'atpase' and 'apoptosis' which are present in the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,guarana seriously apoptotic,4.0,The obfuscated text 'guarana seriously apoptotic' contains the word 'apoptotic' which is related to 'apoptosis' in the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,suvarna begun screwed dreaming,1.0,The obfuscated text 'suvarna begun screwed dreaming' does not contain any related terms to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,"1,359 races derniere mice",3.0,"The obfuscated text '1,359 races derniere mice' contains the term 'mice' which is present in the original text.",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,ecco and hypertonic hypertension,1.0,The obfuscated text 'ecco and hypertonic hypertension' does not contain any related terms to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,decarava authority farts infants,1.0,The obfuscated text 'decarava authority farts infants' does not contain any related terms to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,undersecretariat population egg joklik,1.0,The obfuscated text 'undersecretariat population egg joklik' does not contain any related terms to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,brr results succulent 19.10,1.0,The obfuscated text 'brr results succulent 19.10' does not contain any related terms to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,"4,471 beteta p6 gametes",1.0,"The obfuscated text '4,471 beteta p6 gametes' does not contain any related terms to the original text.",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,appendectomy bistro velvety genomes,1.0,The obfuscated text 'appendectomy bistro velvety genomes' does not contain any related terms to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,researcher katale hairless mice,5.0,The obfuscated text 'researcher katale hairless mice' contains the terms 'hairless mice' which are present in the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,friedhof babel hoarau 98-mile,1.0,The obfuscated text 'friedhof babel hoarau 98-mile' does not contain any related terms to the original text.,llama-3.3-70b-versatile
25,cause of scleroderma,managing strikes lupus,1.0,The word 'scleroderma' is not present,llama-3.3-70b-versatile
25,cause of scleroderma,distress joy 53.7,1.0,The word 'scleroderma' is not present,llama-3.3-70b-versatile
25,cause of scleroderma,abdominal realtors brima,1.0,The word 'scleroderma' is not present,llama-3.3-70b-versatile
25,cause of scleroderma,deep existence m-25,1.0,The word 'scleroderma' is not present,llama-3.3-70b-versatile
25,cause of scleroderma,infections 2 levington,1.0,The word 'scleroderma' is not present,llama-3.3-70b-versatile
25,cause of scleroderma,325-member photography scleroderma,5.0,"The word 'scleroderma' is present, indicating high information leakage",llama-3.3-70b-versatile
25,cause of scleroderma,negative keeper scleroderma,5.0,"The word 'scleroderma' is present, indicating high information leakage",llama-3.3-70b-versatile
25,cause of scleroderma,continuity hylsamex scleroderma,5.0,"The word 'scleroderma' is present, indicating high information leakage",llama-3.3-70b-versatile
25,cause of scleroderma,deficiencies of scleroderma,5.0,"The word 'scleroderma' is present, indicating high information leakage",llama-3.3-70b-versatile
25,cause of scleroderma,absorb marga greco-buddhist,1.0,The word 'scleroderma' is not present,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,rehearse veto eukaryotic formed 5.9-magnitude sweeney sino-indian,1.0,The obfuscated text 'rehearse veto eukaryotic formed 5.9-magnitude sweeney sino-indian' does not contain any information related to the original text.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,dinicola dpb stebbins of ingpen rivals tardy,1.0,The obfuscated text 'dinicola dpb stebbins of ingpen rivals tardy' does not contain any information related to the original text.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,8.98 workaday corneau daen 25-20 with gillick,1.0,The obfuscated text '8.98 workaday corneau daen 25-20 with gillick' does not contain any information related to the original text.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,acp criminals lavo eur rater margaret anglo-egyptian,1.0,The obfuscated text 'acp criminals lavo eur rater margaret anglo-egyptian' does not contain any information related to the original text.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison charge habits diocese hmo competing panero,2.0,"The obfuscated text 'comparison charge habits diocese hmo competing panero' contains the word 'comparison' which is also present in the original text, but the context is different.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,"doormat hides city-wide leichhardt 947,000 medicine gunmetal",1.0,"The obfuscated text 'doormat hides city-wide leichhardt 947,000 medicine gunmetal' does not contain any information related to the original text.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,hamudi expansion gobble powerful iasb resistance preservation,1.0,The obfuscated text 'hamudi expansion gobble powerful iasb resistance preservation' does not contain any information related to the original text.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,compared wallabies lensman which munto crowell extrapolation,2.0,"The obfuscated text 'compared wallabies lensman which munto crowell extrapolation' contains the word 'compared' which is similar to 'comparison' in the original text, but the context is different.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,australopithecus unanimously sweepstakes of ethological currently c/d,1.0,The obfuscated text 'australopithecus unanimously sweepstakes of ethological currently c/d' does not contain any information related to the original text.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,stalinist connection monomials engineering indictments tolerance redevelopment,1.0,The obfuscated text 'stalinist connection monomials engineering indictments tolerance redevelopment' does not contain any information related to the original text.,llama-3.3-70b-versatile
