id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,sociological definitions the environments,4.0,The word 'sociological' instead of 'anthropological' and 'definitions' instead of 'definition' and 'the environments' instead of 'of environment' indicates significant information leakage,llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definitions of environmental,2.0,The word 'definitions' instead of 'definition' indicates some information leakage,llama-3.3-70b-versatile
19335,anthropological definition of environment,ethnological definition the environment,4.0,The word 'ethnological' instead of 'anthropological' and 'the environment' instead of 'of environment' indicates significant information leakage,llama-3.3-70b-versatile
19335,anthropological definition of environment,ethnological definition those environment,4.0,The word 'ethnological' instead of 'anthropological' and 'those environment' instead of 'of environment' indicates significant information leakage,llama-3.3-70b-versatile
19335,anthropological definition of environment,ethnographic defined of environments,5.0,The word 'ethnographic' instead of 'anthropological' and 'defined' instead of 'definition' and 'of environments' instead of 'of environment' indicates significant information leakage,llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition the environments,2.0,The word 'the environments' instead of 'of environment' indicates some information leakage,llama-3.3-70b-versatile
19335,anthropological definition of environment,sociological defined the environment,4.0,The word 'sociological' instead of 'anthropological' and 'defined' instead of 'definition' indicates significant information leakage,llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definitions the environments,4.0,The word 'definitions' instead of 'definition' and 'the environments' instead of 'of environment' indicates significant information leakage,llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological defines of environment,2.0,The word 'defines' instead of 'definition' indicates some information leakage,llama-3.3-70b-versatile
19335,anthropological definition of environment,ethnological defined the environments,5.0,The word 'ethnological' instead of 'anthropological' and 'defined' instead of 'definition' and 'the environments' instead of 'of environment' indicates significant information leakage,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axonal terminal either synapse knob defined,2.0,"The obfuscated text 'axonal terminal either synapse knob defined' has a score of 2 because it still contains similar keywords to the original text, but with some changes in wording and structure.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminal either plasticity knob defines,3.0,"The obfuscated text 'axon terminal either plasticity knob defines' has a score of 3 because it contains some similar keywords, but also introduces new terms that alter the meaning.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals either plasticity knobs defined,3.0,"The obfuscated text 'axon terminals either plasticity knobs defined' has a score of 3 because it contains some similar keywords, but also introduces new terms that alter the meaning.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals either plasticity knobs definitions,3.0,"The obfuscated text 'axon terminals either plasticity knobs definitions' has a score of 3 because it contains some similar keywords, but also introduces new terms that alter the meaning.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,kd96 terminals either plasticity knob definitions,1.0,The obfuscated text 'kd96 terminals either plasticity knob definitions' has a score of 1 because it does not contain any similar keywords to the original text.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,synapse terminals either synaptic knob definition,2.0,"The obfuscated text 'synapse terminals either synaptic knob definition' has a score of 2 because it still contains similar keywords to the original text, but with some changes in wording and structure.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals either plasticity knobs definition,3.0,"The obfuscated text 'axon terminals either plasticity knobs definition' has a score of 3 because it contains some similar keywords, but also introduces new terms that alter the meaning.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminal either synaptic knob defined,2.0,"The obfuscated text 'axon terminal either synaptic knob defined' has a score of 2 because it still contains similar keywords to the original text, but with some changes in wording and structure.",llama-3.3-70b-versatile
