measure,llm,mechanism,1.0,5.0,10.0,12.5,15.0,17.5,20.0,25.0,30.0,50.0
BS,deepseek-r1-distill-llama-70b,CMP,0.006,0.009,0.065,0.102,0.074,0.077,0.077,0.07,0.055,0.076
BS,deepseek-r1-distill-llama-70b,Mahalanobis,0.008,0.009,0.057,0.074,0.09,0.074,0.088,0.059,0.06,0.072
BS,deepseek-r1-distill-llama-70b,VickreyCMP,0.006,0.013,0.071,0.088,0.105,0.118,0.122,0.15,0.18,0.19
BS,deepseek-r1-distill-llama-70b,VickreyMhl,0.007,0.01,0.037,0.059,0.085,0.11,0.114,0.118,0.134,0.186
BS,llama-3.3-70b-versatile,CMP,0.002,0.005,0.094,0.18,0.168,0.113,0.077,0.046,0.044,0.041
BS,llama-3.3-70b-versatile,Mahalanobis,0.003,0.002,0.061,0.13,0.164,0.161,0.139,0.082,0.05,0.045
BS,llama-3.3-70b-versatile,VickreyCMP,0.002,0.004,0.069,0.119,0.157,0.186,0.208,0.212,0.241,0.253
BS,llama-3.3-70b-versatile,VickreyMhl,0.001,0.005,0.03,0.067,0.105,0.143,0.174,0.207,0.219,0.255
LS,deepseek-r1-distill-llama-70b,CMP,0.006,0.009,0.036,0.052,0.056,0.064,0.06,0.065,0.062,0.084
LS,deepseek-r1-distill-llama-70b,Mahalanobis,0.008,0.009,0.04,0.039,0.04,0.03,0.066,0.058,0.068,0.1
LS,deepseek-r1-distill-llama-70b,VickreyCMP,0.006,0.012,0.056,0.058,0.066,0.074,0.071,0.094,0.118,0.121
LS,deepseek-r1-distill-llama-70b,VickreyMhl,0.007,0.01,0.03,0.04,0.057,0.069,0.065,0.07,0.082,0.113
LS,llama-3.3-70b-versatile,CMP,0.002,0.005,0.057,0.082,0.06,0.042,0.032,0.032,0.038,0.035
LS,llama-3.3-70b-versatile,Mahalanobis,0.003,0.002,0.045,0.078,0.07,0.057,0.054,0.038,0.031,0.042
LS,llama-3.3-70b-versatile,VickreyCMP,0.002,0.004,0.054,0.082,0.101,0.119,0.133,0.14,0.159,0.161
LS,llama-3.3-70b-versatile,VickreyMhl,0.001,0.005,0.023,0.047,0.07,0.094,0.111,0.131,0.138,0.157
RS,deepseek-r1-distill-llama-70b,CMP,0.006,0.007,0.026,0.048,0.102,0.114,0.09,0.097,0.095,0.121
RS,deepseek-r1-distill-llama-70b,Mahalanobis,0.007,0.009,0.03,0.03,0.044,0.055,0.113,0.095,0.097,0.145
RS,deepseek-r1-distill-llama-70b,VickreyCMP,0.006,0.012,0.042,0.042,0.048,0.055,0.05,0.057,0.063,0.067
RS,deepseek-r1-distill-llama-70b,VickreyMhl,0.007,0.009,0.024,0.03,0.041,0.043,0.043,0.049,0.05,0.064
RS,llama-3.3-70b-versatile,CMP,0.002,0.004,0.037,0.045,0.034,0.045,0.043,0.054,0.062,0.058
RS,llama-3.3-70b-versatile,Mahalanobis,0.003,0.002,0.036,0.055,0.043,0.037,0.05,0.052,0.05,0.065
RS,llama-3.3-70b-versatile,VickreyCMP,0.002,0.003,0.04,0.056,0.055,0.066,0.069,0.064,0.07,0.062
RS,llama-3.3-70b-versatile,VickreyMhl,0.001,0.005,0.018,0.034,0.048,0.058,0.064,0.068,0.066,0.072
