id,text,obfuscatedText,score,justification,model
16,aaa proteins,aaa molecules,4.0,"Changes 'proteins' to 'molecules', which is a related but different category.",deepseek-r1-distill-llama-70b
16,aaa proteins,aa protein,3.0,Reduces 'aaa' to 'aa' and uses singular 'protein'.,deepseek-r1-distill-llama-70b
16,aaa proteins,aa protein,3.0,Reduces 'aaa' to 'aa' and uses singular 'protein'.,deepseek-r1-distill-llama-70b
16,aaa proteins,aa proteins,3.0,Reduces 'aaa' to 'aa' but keeps 'proteins' plural.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa protein,4.0,Keeps 'aaa' but changes to singular 'protein'.,deepseek-r1-distill-llama-70b
16,aaa proteins,aa protein,3.0,Reduces 'aaa' to 'aa' and uses singular 'protein'.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa protein,4.0,Keeps 'aaa' but changes to singular 'protein'.,deepseek-r1-distill-llama-70b
16,aaa proteins,aa protein,3.0,Reduces 'aaa' to 'aa' and uses singular 'protein'.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,"Identical to the original text, no obfuscation.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa protein,4.0,Keeps 'aaa' but changes to singular 'protein'.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen expressing being lung epithelium cells,2.0,Score: 2 - Minor alterations in wording but retains original meaning.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen expressing by cancer epithelium cell,4.0,"Score: 4 - Changes 'lung' to 'cancer,' significantly altering context.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen expressing accompanied diagnosed epithelium cell,3.0,"Score: 3 - Adds 'accompanied diagnosed,' changing the meaning.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressing partly lung epithelial cell,3.0,"Score: 3 - Adds 'partly,' altering the implication of antigen expression.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen expressed being cancer epithelial cell,4.0,"Score: 4 - Changes 'lung' to 'cancer,' similar to previous.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen expressing by lungs epithelium cells,2.0,Score: 2 - Close to original with minor grammatical changes.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressing by emphysema epithelium cell,4.0,Score: 4 - 'Emphysema' changes the context from general lung cells.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen expressing by cancer epithelium cell,4.0,"Score: 4 - Same as previous, 'cancer' replaces 'lung'.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen expressing being lung epithelial cells,2.0,"Score: 2 - Minor wording changes, meaning preserved.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen expressing was lungs epithelial cell,3.0,"Score: 3 - Tense change to past, minor impact on meaning.",deepseek-r1-distill-llama-70b
