id,text,obfuscatedText,score,justification,model
16,aaa proteins,lists less,1.0,The word 'lists' does not relate to 'aaa proteins'.,llama-3.3-70b-versatile
16,aaa proteins,uchikawa molecules,1.0,The word 'uchikawa' does not relate to 'aaa proteins'.,llama-3.3-70b-versatile
16,aaa proteins,regiones types,1.0,The word 'regiones' does not relate to 'aaa proteins'.,llama-3.3-70b-versatile
16,aaa proteins,xp socialisme,1.0,The word 'xp' does not relate to 'aaa proteins'.,llama-3.3-70b-versatile
16,aaa proteins,non-eu staining,1.0,The word 'non-eu' does not relate to 'aaa proteins'.,llama-3.3-70b-versatile
16,aaa proteins,69.5 modulating,1.0,The number '69.5' does not relate to 'aaa proteins'.,llama-3.3-70b-versatile
16,aaa proteins,aaa ribosomes,2.0,The word 'ribosomes' is related to biology but 'aaa ribosomes' is not 'aaa proteins'.,llama-3.3-70b-versatile
16,aaa proteins,kottak proteins,1.0,The word 'kottak' does not relate to 'aaa proteins'.,llama-3.3-70b-versatile
16,aaa proteins,stynes proteins,1.0,The word 'stynes' does not relate to 'aaa proteins'.,llama-3.3-70b-versatile
16,aaa proteins,aaa molecules,4.0,The word 'molecules' is related to biology and 'aaa molecules' is similar to 'aaa proteins'.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen sparked derivative volchok from cells,2.0,"The word 'antigen' is present, but the context is completely changed, thus minimal information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,bmps tube by pneumonia gooney light,1.0,"The text is completely unrelated to the original text, thus no information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,anhydrides kainantu bihong choi glaucous situ,1.0,"The text is completely unrelated to the original text, thus no information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen russia 10-cent lung membrane autoimmune,4.0,"The word 'antigen' and 'lung' are present, thus significant information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,bích rosa sigmatel pneumonia sangdrol cell,3.0,"The text is partially related to the original text, but 'pneumonia' and 'cell' are common terms, thus moderate information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,upsetters have apiku bastards fruity blastocyst,1.0,"The text is completely unrelated to the original text, thus no information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,tompkinsville 193.1 500 maziarz sesto cell,1.0,"The text is completely unrelated to the original text, thus no information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,haplogroups premier biweekly chest scruton wheelus,1.0,"The text is completely unrelated to the original text, thus no information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen post after xanthogaleruca air supply,4.0,"The word 'antigen' and 'epithelial cell' are present, thus significant information leakage",llama-3.3-70b-versatile
