id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,195.7 younis sochacki 78.19,1.0,No apparent connection to the original text.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,"www.star 8,000-point palaeographically sunsern",1.0,Unrelated terms.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,3201 100.8 dáil kach,1.0,No relevant information.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,20003 aamodt martyn ticino,1.0,Unrelated.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,cybersurfing y worldsources industrias,1.0,No connection.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,allbaugh palearctic hennekens incrimination,1.0,Terms don't relate.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,jendrzejczyk musicnotes.com hennekens hasert,1.0,Unrelated.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,ss-21 love-40 http://www.nasa.gov jakup,1.0,No relevant info.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,functionals gusted multihomer bolted-together,1.0,No connection.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,dzhindzhikhashvili rummelhardt 50-basis faiez,1.0,No connection.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,62-36 snowbowl dj03 cleric tannoudji baronetcies,1.0,No apparent relation to the original terms.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,topix whether quadrupedal taluk 47-42-17-11 ali,1.0,Terms are unrelated to axon terminals or synaptic knobs.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,club 30303 mouwafak duck-like doeschate shanksville,1.0,All terms are random and not related to the original.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,paleographically decriminalizing pelzer hieng r resend,1.0,Does not contain any relevant biological terms.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,mocatta cffex lonicera majevica montek yoshifumi,1.0,Unrelated to the definition of axon terminals.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,rowspan worldsources raelians 147.27 nevus hushen,1.0,No connection to synaptic knob definition.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,unicode artery ap.org township-level anmc21 28-aug,1.0,None of the words relate to the original terms.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,lactose series antonin obrenovac yur 2-last,1.0,Does not leak any information about axon terminals.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,212-556-4204 asmithsptimes.com millones huthis woreda procellariiformes,1.0,All terms are unrelated to the original definition.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,100-share 1-of-2 crappie 1973-90 inc. heisley,1.0,No leakage of information about synaptic knob.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,weinshall eurodollar 202-383-7824 huntly mastel,1.0,weinshall eurodollar 202-383-7824 huntly mastel: No apparent connection to left ventricular hypertrophy causes.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,stoxx mayardit 2001-2011 redha obec,1.0,stoxx mayardit 2001-2011 redha obec: No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,confederate nfpa 117.4 svitil restrengthened,2.0,"confederate nfpa 117.4 svitil restrengthened: 'Restrengthened' might relate to medical conditions, but no direct link to the original text.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,13-nation proliferator hushen householder 10-for-10,2.0,13-nation proliferator hushen householder 10-for-10: 'Proliferator' could relate to medical terminology but lacks direct connection.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,resend 43-month 107.37 30-aug skuratov,1.0,resend 43-month 107.37 30-aug skuratov: No relevant information.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,bahl railway capsizes cogito season-by-season,1.0,"bahl railway capsizes cogito season-by-season: 'Cogito' relates to thinking, no connection to medical causes.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,hennekens arbeit timequest keyon 78.19,1.0,hennekens arbeit timequest keyon 78.19: No relevant information.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,honduras capital reais tankōbon lasva,1.0,honduras capital reais tankōbon lasva: No relevant information.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,non-mandatory hearstdc.com shaharyar 404-526-5456 sicheianytimes.com,1.0,non-mandatory hearstdc.com shaharyar 404-526-5456 sicheianytimes.com: Contains contact info but no leakage.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,abdulsalam mercatone ibragim lra all-england,1.0,abdulsalam mercatone ibragim lra all-england: No relevant information.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,$ 78.19 sharemarket saliyah,1.0,'$ 78.19 sharemarket saliyah' has no apparent connection to the causes of military suicide.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,ibda tael stationers mahalleh,1.0,'ibda tael stationers mahalleh' contains no relevant terms related to the topic.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,sylviidae acids hospital baronetage,2.0,"'sylviidae acids hospital baronetage' includes 'hospital', which could be vaguely related but not directly.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,drbombay categorias 10-city zahorchak,1.0,'drbombay categorias 10-city zahorchak' has no clear link to military suicide.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,mefin sholdersptimes.com basse-normandie ebit,1.0,'mefin sholdersptimes.com basse-normandie ebit' has no relevant terms.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,hingis américa ap.org thich,1.0,'hingis américa ap.org thich' has no connection to the topic.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,yory bewkes hushen mcgagh,1.0,'yory bewkes hushen mcgagh' contains names but no linkage.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,http://www.state.gov 103-day numis http://thomas.loc.gov,1.0,'http://www.state.gov 103-day numis http://thomas.loc.gov' are government sites but not directly related.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,all-ireland sectorisation renumbering spagat,1.0,'all-ireland sectorisation renumbering spagat' has no relevant terms.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,trillion 30-may finex doubles,1.0,'trillion 30-may finex doubles' has no relevant terms.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,edmunds.com graner platyninae 79.75 suplex,1.0,No keywords related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,7.50 shenzhou-7 cand.jur muttiah 245.5,1.0,No keywords related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,umpire casmoussa jendrzejczyk police ambrosiano,1.0,No keywords related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,kimarite dederick 11/24 non-obligatory palestinian,1.0,No keywords related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,baronetage marjayoun mozdok rectus okrugs,1.0,No keywords related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,arrowed millones ounce non-families intelligencer,1.0,No keywords related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,roscoea bentworth seasonally nzsx-50 12-monthly,1.0,No keywords related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,muhumed q-400 bse-100 seasonably ronne,1.0,No keywords related to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,"mutual nzsx blogs.tampabay.com 654,000 .00",2.0,"Contains numbers, which could imply cost but lacks context.",deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,chunyun spokesman rudos otago peerage,1.0,No keywords related to the original text.,deepseek-r1-distill-llama-70b
1106007,define visceral?,officership hennekens,1.0,No apparent connection to 'define visceral?'.,deepseek-r1-distill-llama-70b
1106007,define visceral?,economic algebras,1.0,No apparent connection to 'define visceral?'.,deepseek-r1-distill-llama-70b
1106007,define visceral?,atp 1.0-1,1.0,No apparent connection to 'define visceral?'.,deepseek-r1-distill-llama-70b
1106007,define visceral?,highmark khan,1.0,No apparent connection to 'define visceral?'.,deepseek-r1-distill-llama-70b
1106007,define visceral?,xizong zubaie,1.0,No apparent connection to 'define visceral?'.,deepseek-r1-distill-llama-70b
