id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,linguistic definitions great manipulators,2.0,The obfuscated text mentions 'linguistic definitions' which is similar to 'anthropological definition' but lacks specific context.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological по dokuz environment,3.0,The text includes 'anthropological' and 'environment' but with unrelated additional words.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,cartiere lierde glide lluvia,1.0,The text is in another language and unrelated to the original.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,maokola definition common park,2.0,Mentions 'definition' but changes the context to 'common park'.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,cannibalism freeview of tuality,1.0,"Unrelated to the original text, no leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological nexstar and comala,3.0,Includes 'anthropological' but with unrelated additional terms.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,31.15 what about environment,2.0,Mentions 'environment' but adds a number and vague question.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,mondeo 370-kilometer of beings,1.0,"Unrelated terms and context, no leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,socio-economic defines línea 119.05,2.0,Mentions 'defines' but in a different context.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological uniform true with,3.0,Includes 'anthropological' but with unclear additional terms.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,carlo marlin ) causal vertical jei,1.0,The obfuscated text contains no terms related to the original text.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,manolos francophone al plasticity knob definition,3.0,"Contains terms like 'plasticity' and 'knob', which relate to neuroscience but do not directly correspond to the original terms.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals grasswren plasticity 2201 defined,5.0,"Contains 'axon terminals', which is a direct term from the original text.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon liquefied communicators consistencies sprite i.e.,2.0,"Contains 'axon', which is a key term from the original text.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,coxhill mtna $ synapses ambattur clotho,4.0,"Contains 'synapses', which is related to the original text.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,chukwurah terminals any synaptic buck definition,4.0,"Contains 'terminals' and 'synaptic', which are key terms from the original text.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon ortsgemeinden tessa inhibitory thompsonville definitions,3.0,"Contains 'axon' and 'inhibitory', which relate to neuroscience.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon hinchinbrook or synaptic 28/29 watson,4.0,"Contains both 'axon' and 'synaptic', which are key terms from the original text.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,synapse 0700 ottawa rashba knob mid-19th,4.0,"Contains 'synapse' and 'knob', which relate to the original text.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,euro171 computer life-threatening glutamate camp definition,3.0,"Contains 'glutamate', which relates to neuroscience.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,symmachus of out ventricle diekmann,1.0,The obfuscated text does not contain any terms related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,aids wińsko struck arrhythmias videocassette,3.0,"The term 'arrhythmias' is related to heart conditions, but other terms are unrelated.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes asanas with tachycardia hypertrophy,5.0,"The terms 'causes', 'tachycardia', and 'hypertrophy' are directly related to the original text.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,wasting of important diastole bettong,3.0,The term 'diastole' is related to heart function but is not specific to left ventricular hypertrophy.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,biscet of left ventricular raue,4.0,The term 'left ventricular' is directly related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause council tigers ventricular hyperplasia,3.0,The terms 'cause' and 'ventricular' are related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,3 -- ivanov ventricular stear,3.0,The term 'ventricular' is related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,proliferated shlomo off called qutb,1.0,The obfuscated text does not contain any terms related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes 90.75 wright sergiev hypoplastic,3.0,The terms 'causes' and 'hypoplastic' are related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,anaemia anne rapalo pericardial physiologic,3.0,The term 'pericardial' is related to heart conditions but is not specific to left ventricular hypertrophy.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,recognizes yixian military petrini,1.0,No leakage as text is unrelated,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of schmidt sadc,2.0,Partial leakage due to 'causes',deepseek-r1-distill-llama-70b
87452,causes of military suicide,opioid of soldiers later,3.0,Some leakage due to 'opioid' and 'soldiers',deepseek-r1-distill-llama-70b
87452,causes of military suicide,been the army 3ot,2.0,Partial leakage due to 'army',deepseek-r1-distill-llama-70b
87452,causes of military suicide,resulting marquet cohen death,3.0,Some leakage due to 'resulting' and 'death',deepseek-r1-distill-llama-70b
87452,causes of military suicide,cause varying unit dahs,3.0,Some leakage due to 'cause' and 'unit',deepseek-r1-distill-llama-70b
87452,causes of military suicide,18th of army khanaqin,2.0,Partial leakage due to 'army',deepseek-r1-distill-llama-70b
87452,causes of military suicide,autism history command attacks,2.0,Some leakage due to 'autism' and 'history',deepseek-r1-distill-llama-70b
87452,causes of military suicide,sawhney promised forces kyösti,1.0,No leakage as text is unrelated,deepseek-r1-distill-llama-70b
87452,causes of military suicide,cause pseudoscience futile bombers,2.0,Partial leakage due to 'cause',deepseek-r1-distill-llama-70b
