id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,linguistic definitions great wearable,1.0,The word 'linguistic' is unrelated to 'anthropological' and 'environment' is not present,llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological meaning dokuz soggy,2.0,The word 'anthropological' is present but 'meaning' and 'dokuz soggy' are unrelated to 'definition' and 'environment',llama-3.3-70b-versatile
19335,anthropological definition of environment,beandalis lierde obscuring environment,3.0,The word 'environment' is present but 'beandalis lierde obscuring' is unrelated to 'anthropological' and 'definition',llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition those climate,4.0,The word 'anthropological' and 'definition' are present but 'those climate' is partially related to 'environment',llama-3.3-70b-versatile
19335,anthropological definition of environment,ethnographic freeview of tuality,2.0,The word 'ethnographic' is related to 'anthropological' but 'freeview of tuality' is unrelated to 'definition' and 'environment',llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition and comala,3.0,The word 'anthropological' and 'definition' are present but 'and comala' is unrelated to 'environment',llama-3.3-70b-versatile
19335,anthropological definition of environment,philological what about environment,4.0,The word 'philological' is related to 'anthropological' and 'environment' is present but 'what about' is unrelated to 'definition',llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological calorimetric interconnection life,2.0,The word 'anthropological' is present but 'calorimetric interconnection life' is unrelated to 'definition' and 'environment',llama-3.3-70b-versatile
19335,anthropological definition of environment,socio-economic defines línea environment,4.0,The word 'socio-economic' is related to 'anthropological' and 'defines' and 'environment' are present but 'línea' is unrelated to 'definition',llama-3.3-70b-versatile
19335,anthropological definition of environment,isobutane uniform true create,1.0,The word 'isobutane' is unrelated to 'anthropological' and 'uniform true create' is unrelated to 'definition' and 'environment',llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,carlo marlin or causal vertical defined,1.0,The obfuscated text 'carlo marlin or causal vertical defined' does not contain any information from the original text.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,kil terminal or plasticity knob sampling,2.0,The obfuscated text 'kil terminal or plasticity knob sampling' contains some similar words but the meaning is different.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals grasswren plasticity 2201 defined,3.0,The obfuscated text 'axon terminals grasswren plasticity 2201 defined' contains some of the original words but with added unrelated terms.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon liquefied telepar brainwaves sprite i.e.,2.0,The obfuscated text 'axon liquefied telepar brainwaves sprite i.e.' contains the word 'axon' but the rest is unrelated.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,cheserem mtna $ synapses knob clotho,1.0,The obfuscated text 'cheserem mtna $ synapses knob clotho' does not contain any information from the original text.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,chukwurah terminals any synaptic knob definition,5.0,The obfuscated text 'chukwurah terminals any synaptic knob definition' contains some similar words and the same meaning as the original text.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon ortsgemeinden c6 inhibitory takhat definitions,2.0,The obfuscated text 'axon ortsgemeinden c6 inhibitory takhat definitions' contains the word 'axon' but the rest is unrelated.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon hinchinbrook other synaptic knob watson,3.0,The obfuscated text 'axon hinchinbrook other synaptic knob watson' contains some of the original words but with added unrelated terms.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,synapse approving or rashba cheyenne mid-19th,1.0,The obfuscated text 'synapse approving or rashba cheyenne mid-19th' does not contain any information from the original text.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,euro171 computer life-threatening plasticity camp blu,1.0,The obfuscated text 'euro171 computer life-threatening plasticity camp blu' does not contain any information from the original text.,llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes of out ventricle diekmann,2.0,"The word 'out' instead of 'left' and 'diekmann' instead of 'hypertrophy' show significant changes, indicating low information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,aids of struck arrhythmias videocassette,1.0,"The terms 'aids', 'struck', 'arrhythmias', and 'videocassette' are unrelated to the original text, indicating no information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes actual with tachycardia hypertrophy,3.0,"The word 'actual' is added and 'tachycardia' is used instead of 'left ventricular hypertrophy', showing some information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,cause of important diastole bettong,2.0,"The terms 'important', 'diastole', and 'bettong' are unrelated or misused, indicating low information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,zadar of office ventricular raue,1.0,"The words 'zadar', 'office', and 'raue' are unrelated to the original text, indicating no information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,cause its left ventricular hyperplasia,4.0,The word 'its' instead of 'of' and 'hyperplasia' instead of 'hypertrophy' show some information leakage.,llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,cause vruhl middle ventricular stear,2.0,"The words 'vruhl' and 'middle' are unrelated or misused, and 'stear' is not related to 'hypertrophy', indicating low information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,proliferated of off atrial misfolded,1.0,"The terms 'proliferated', 'off', 'atrial', and 'misfolded' are unrelated to the original text, indicating no information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes revelry wright hypertrophy ventricle,3.0,"The words 'revelry' and 'wright' are unrelated, and 'hypertrophy ventricle' shows some information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,tiredness elizabeth left systole physiologic,1.0,"The terms 'tiredness', 'elizabeth', 'systole', and 'physiologic' are unrelated to the original text, indicating no information leakage.",llama-3.3-70b-versatile
87452,causes of military suicide,furthermore 743 military costin,2.0,"The word 'military' is present but 'costin' does not relate to 'suicide', hence a low score",llama-3.3-70b-versatile
87452,causes of military suicide,causes of schmidt sadc,2.0,"The word 'causes' is present but 'schmidt sadc' does not relate to 'military suicide', hence a low score",llama-3.3-70b-versatile
87452,causes of military suicide,stimulation of soldiers bombers,3.0,"The word 'soldiers' and 'bombers' relate to military but 'stimulation' does not relate to 'suicide', hence a moderate score",llama-3.3-70b-versatile
87452,causes of military suicide,been the army 3ot,2.0,"The word 'army' relates to 'military' but '3ot' does not relate to 'suicide', hence a low score",llama-3.3-70b-versatile
87452,causes of military suicide,resulting manitoba military death,4.0,"The word 'military' and 'death' relate to 'suicide', hence a high score",llama-3.3-70b-versatile
87452,causes of military suicide,cause varying personnel chodos,3.0,"The word 'cause' and 'personnel' relate to 'military suicide', hence a moderate score",llama-3.3-70b-versatile
87452,causes of military suicide,rather entire army bombers,3.0,"The word 'army' and 'bombers' relate to 'military' but do not directly relate to 'suicide', hence a moderate score",llama-3.3-70b-versatile
87452,causes of military suicide,autism history command attacks,1.0,"The word 'autism' and 'attacks' do not relate to 'military suicide', hence a low score",llama-3.3-70b-versatile
87452,causes of military suicide,naeim of forces kyösti,2.0,"The word 'forces' relates to 'military' but 'naeim' and 'kyösti' do not relate to 'suicide', hence a low score",llama-3.3-70b-versatile
87452,causes of military suicide,cause implies napoleon bombers,3.0,"The word 'cause' and 'bombers' relate to 'military' but 'napoleon' does not relate to 'suicide', hence a moderate score",llama-3.3-70b-versatile
104861,cost of interior concrete flooring,cost team ministry experts camry,1.0,The obfuscated text 'cost team ministry experts camry' does not contain any information related to the original text 'cost of interior concrete flooring'.,llama-3.3-70b-versatile
104861,cost of interior concrete flooring,cost of ministry crankily 118.93,2.0,The obfuscated text 'cost of ministry crankily 118.93' contains the word 'cost' and 'of' but does not relate to 'interior concrete flooring'.,llama-3.3-70b-versatile
104861,cost of interior concrete flooring,4.5 chairmen within piled linoleum,1.0,The obfuscated text '4.5 chairmen within piled linoleum' does not contain any information related to the original text 'cost of interior concrete flooring'.,llama-3.3-70b-versatile
104861,cost of interior concrete flooring,cost kharitonov is concrete fingerprint,3.0,The obfuscated text 'cost kharitonov is concrete fingerprint' contains the word 'cost' and 'concrete' but does not relate to 'interior flooring'.,llama-3.3-70b-versatile
104861,cost of interior concrete flooring,easy artifacts rather precast flooring,2.0,The obfuscated text 'easy artifacts rather precast flooring' contains the word 'flooring' but does not relate to 'cost of interior concrete'.,llama-3.3-70b-versatile
104861,cost of interior concrete flooring,cost portrait ministry build-up hardwood,2.0,The obfuscated text 'cost portrait ministry build-up hardwood' contains the word 'cost' but does not relate to 'interior concrete flooring'.,llama-3.3-70b-versatile
104861,cost of interior concrete flooring,costing of riders mural flooring,3.0,"The obfuscated text 'costing of riders mural flooring' contains the word 'costing', 'of', and 'flooring' but does not relate to 'interior concrete'.",llama-3.3-70b-versatile
104861,cost of interior concrete flooring,costing of interior slabs isostatic,4.0,"The obfuscated text 'costing of interior slabs isostatic' contains the word 'costing', 'of', 'interior' but does not relate to 'concrete flooring'.",llama-3.3-70b-versatile
104861,cost of interior concrete flooring,cost stretches ulibarri the flooring,3.0,The obfuscated text 'cost stretches ulibarri the flooring' contains the word 'cost' and 'flooring' but does not relate to 'interior concrete'.,llama-3.3-70b-versatile
104861,cost of interior concrete flooring,ouden which qad concrete ludmilla,2.0,The obfuscated text 'ouden which qad concrete ludmilla' contains the word 'concrete' but does not relate to 'cost of interior flooring'.,llama-3.3-70b-versatile
1106007,define visceral?,defining gemex,2.0,"The word 'defining' is similar to 'define', but 'gemex' is unrelated to 'visceral'.",llama-3.3-70b-versatile
1106007,define visceral?,corbusier constrictor,1.0,The words 'corbusier' and 'constrictor' are unrelated to 'visceral'.,llama-3.3-70b-versatile
1106007,define visceral?,1/11 omalanga,1.0,The numbers and word 'omalanga' are unrelated to 'visceral'.,llama-3.3-70b-versatile
1106007,define visceral?,define giuseppe,2.0,"The word 'define' is the same as the original, but 'giuseppe' is unrelated to 'visceral'.",llama-3.3-70b-versatile
1106007,define visceral?,define 44-6,2.0,"The word 'define' is the same as the original, but '44-6' is unrelated to 'visceral'.",llama-3.3-70b-versatile
1106007,define visceral?,defines interior,2.0,"The word 'defines' is similar to 'define', but 'interior' is unrelated to 'visceral'.",llama-3.3-70b-versatile
1106007,define visceral?,99.04 creative,1.0,The numbers and word 'creative' are unrelated to 'visceral'.,llama-3.3-70b-versatile
1106007,define visceral?,categorize sinfonietta,1.0,The words 'categorize' and 'sinfonietta' are unrelated to 'visceral'.,llama-3.3-70b-versatile
1106007,define visceral?,liven bu,1.0,The words 'liven' and 'bu' are unrelated to 'visceral'.,llama-3.3-70b-versatile
1106007,define visceral?,orientation brantling,1.0,The words 'orientation' and 'brantling' are unrelated to 'visceral'.,llama-3.3-70b-versatile
130510,definition declaratory judgment,escoffier interpleader judgement,1.0,"The words 'escoffier interpleader judgement' do not convey the same meaning as 'definition declaratory judgment', thus minimal information leakage",llama-3.3-70b-versatile
130510,definition declaratory judgment,curriculum telegraphed judgment,1.0,"The word 'curriculum' does not relate to 'definition', and 'telegraphed' does not relate to 'declaratory', thus minimal information leakage",llama-3.3-70b-versatile
130510,definition declaratory judgment,defines dc-7 judgement,3.0,"The word 'defines' is related to 'definition', but 'dc-7' does not relate to 'declaratory' or 'judgment', thus some information leakage",llama-3.3-70b-versatile
130510,definition declaratory judgment,curmudgeonly declaratory offending,1.0,"The word 'curmudgeonly' does not relate to 'definition' or 'declaratory', and 'offending' does not relate to 'judgment', thus minimal information leakage",llama-3.3-70b-versatile
