id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,declaration ya-ya 0.8230 consob,0.6,"The obfuscated text still contains some keywords from the original text, such as 'declaration' which can be related to 'definition', and 'consob' which doesn't seem to be related to the original text, but the score is high because 'declaration' is a significant keyword. However, the obfuscated text has changed the meaning and context of the original text significantly, hence the score is not 1.",llama-3.3-70b-versatile
19335,anthropological definition of environment,steny nahuatl dokuz croats,0.4,"The obfuscated text 'steny nahuatl dokuz croats' does not convey the original meaning of 'anthropological definition of environment' but some words seem to be related to anthropology or languages, thus a moderate score is given",llama-3.3-70b-versatile
19335,anthropological definition of environment,beandalis mprf coefficient multihit,0.2,"The obfuscated text 'beandalis mprf coefficient multihit' does not clearly convey the meaning of the original text 'anthropological definition of environment', but some words like 'coefficient' might be related to anthropological studies. Hence, the score is 0.2",llama-3.3-70b-versatile
19335,anthropological definition of environment,henredon mladic common park,0.2,"The obfuscated text 'henredon mladic common park' does not convey the same meaning as the original text 'anthropological definition of environment'. However, it contains some recognizable words, which may indicate a slight information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anglo-burmese freeview galloping land-use,0.2,"The obfuscated text 'anglo-burmese freeview galloping land-use' seems to have some relation to the concept of environment, with 'land-use' being a relevant term, but the overall meaning is still quite different from the original text 'anthropological definition of environment'.",llama-3.3-70b-versatile
19335,anthropological definition of environment,multiagency nexstar along masuo,0.1,"The obfuscated text 'multiagency nexstar along masuo' does not contain any recognizable words or phrases related to the original text 'anthropological definition of environment', indicating a low level of information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,"floating-point guggenheim 33,750 equation",0.2,"The obfuscated text does not contain any relevant information from the original text, but some words seem to be related to general knowledge, thus a small leakage score is given.",llama-3.3-70b-versatile
19335,anthropological definition of environment,superkombat trivias interconnection yogas,0.0,The obfuscated text does not contain any relevant information related to the original text 'anthropological definition of environment'.,llama-3.3-70b-versatile
19335,anthropological definition of environment,non-feature musicales anyang coxnet,0.02,"The obfuscated text does not contain any words related to the original text 'anthropological definition of environment', so the information leakage is very low, close to 0",llama-3.3-70b-versatile
19335,anthropological definition of environment,mmbtu 212-556-1927 10-26 with,0.0,The obfuscated text does not contain any relevant information related to the original text 'anthropological definition of environment'.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,goalkeeper marlin fc wildmon against newsfeatures,0.0,"The obfuscated text does not contain any information related to the original text, indicating no information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,manolos wallonia amyotrophic trolley coxohio.com lajcak,0.0,"The obfuscated text does not contain any information related to the original text, indicating no information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,30-sept kindleberger chaunte prime-time hanescu .323,0.0,"The obfuscated text does not contain any information related to the original text, indicating no information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,"sprain 116.66 sodor 49,030 sea qahira",0.0,"The obfuscated text does not contain any information related to the original text, which is about axon terminals or synaptic knob definition. The obfuscated text appears to be a collection of unrelated words, including a medical term (sprain), a location (sodor), a number (116.66), and a proper noun (qahira). Therefore, the score is 0, indicating no information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,sadriyah sgurr $ parietal coex bican,0.0,"The obfuscated text does not contain any information related to the original text 'axon terminals or synaptic knob definition', indicating no information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,thorne petén dollars malayo-polynesian energy ρ,0.0,"The obfuscated text does not contain any information related to the original text 'axon terminals or synaptic knob definition', indicating no information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,84-day ortsgemeinden nelida artiodactyl meineke husted,0.0,"The obfuscated text does not contain any information related to the original text 'axon terminals or synaptic knob definition', indicating no information leakage.",llama-3.3-70b-versatile
