id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,anthropological definition received maintaining,4.0,The word 'environment' is present but the context is changed,llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition proof recyclable,4.0,The word 'environment' is present but the context is changed,llama-3.3-70b-versatile
19335,anthropological definition of environment,sight-seeing queueing of eric,1.0,The text is completely unrelated to the original text,llama-3.3-70b-versatile
19335,anthropological definition of environment,29.70 immersed hostility environment,3.0,The word 'environment' is present and the context is somewhat related,llama-3.3-70b-versatile
19335,anthropological definition of environment,quilters t'ai 69 environment,3.0,The word 'environment' is present and the context is somewhat related,llama-3.3-70b-versatile
19335,anthropological definition of environment,confucius digital to environments,3.0,The word 'environment' is present and the context is somewhat related,llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological encryptions of environment,4.0,The word 'environment' is present and the context is somewhat related,llama-3.3-70b-versatile
19335,anthropological definition of environment,rediscovery definition biggest environment,4.0,The word 'environment' is present and the context is somewhat related,llama-3.3-70b-versatile
19335,anthropological definition of environment,ethnological ryb ultimate environment,4.0,The word 'environment' is present but the context is changed,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals transportation synaptic knob definition,4.0,The obfuscated text contains the same key terms as the original text with an additional word,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals atmosphere synaptic knob definition,4.0,The obfuscated text contains the same key terms as the original text with an additional word,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon stores afraid synaptic zenapax definition,3.0,The obfuscated text contains some similar key terms but with significant changes,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,quảng congestion 360 inhibition knob definition,1.0,The obfuscated text does not contain any similar key terms,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,orde gates only synaptic knob definition,2.0,The obfuscated text contains some similar key terms but with significant changes,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon sorting imperative synaptic knob definition,4.0,The obfuscated text contains the same key terms as the original text with an additional word,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon euripides 96.77 synaptic knob challenges,3.0,The obfuscated text contains some similar key terms but with significant changes,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,suproleague longshoremen ever synaptic knob definition,1.0,The obfuscated text does not contain any similar key terms,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon mogadishu crowd synaptic hellickson hd,2.0,The obfuscated text contains some similar key terms but with significant changes,llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes mass left ventricular hypertrophy,4.0,The word 'mass' is added but 'causes' and 'left ventricular hypertrophy' are still present,llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,conscience methodologies knots ventricular hypertrophy,2.0,"The obfuscated text does not contain 'causes' or 'left', only 'ventricular hypertrophy'",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes broke on ventricular hypertrophy,4.0,The word 'broke' is added but 'causes' and 'ventricular hypertrophy' are still present,llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes poems suffered ventricular hypertrophy,4.0,The word 'poems' is added but 'causes' and 'ventricular hypertrophy' are still present,llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes part left jussi hypertrophy,3.0,"The word 'part' is added and 'jussi' is used instead of 'ventricular', 'causes' and 'left' are still present",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,sticky onset left ventricular hypertrophy,4.0,"The word 'sticky' is added and 'onset' is used, 'left ventricular hypertrophy' is still present",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes heightened soviets ventricular hypertrophy,4.0,The word 'heightened' and 'soviets' are added but 'causes' and 'ventricular hypertrophy' are still present,llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,deeper city left ventricular hypertrophy,4.0,"The word 'deeper' and 'city' are added, 'left ventricular hypertrophy' is still present",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,orwell years only ventricular hypertrophy,3.0,"The word 'orwell' and 'years' and 'only' are added, 'ventricular hypertrophy' is still present",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,deaths of left ventricular hypertrophy,4.0,"The word 'deaths' is used instead of 'causes', 'left ventricular hypertrophy' is still present",llama-3.3-70b-versatile
87452,causes of military suicide,causes through military suicide,2.0,"The word 'through' is added, which slightly changes the meaning but still conveys the same information",llama-3.3-70b-versatile
87452,causes of military suicide,causes of military suicide,5.0,"The text is identical to the original, indicating complete information leakage",llama-3.3-70b-versatile
87452,causes of military suicide,causes timed military whowhere,1.0,"The words 'timed' and 'whowhere' are added, which significantly changes the meaning and reduces information leakage",llama-3.3-70b-versatile
87452,causes of military suicide,shoshanna cocaine military chipotles,1.0,"The text is completely unrelated to the original, indicating no information leakage",llama-3.3-70b-versatile
87452,causes of military suicide,causes readers military suicide,3.0,"The word 'readers' is added, which slightly changes the meaning but still conveys some information",llama-3.3-70b-versatile
87452,causes of military suicide,accompanies of military suicide,2.0,"The word 'accompanies' is used instead of 'causes', which changes the meaning and reduces information leakage",llama-3.3-70b-versatile
87452,causes of military suicide,mignon of outlined suicide,1.0,"The words 'mignon' and 'outlined' are used, which significantly changes the meaning and reduces information leakage",llama-3.3-70b-versatile
87452,causes of military suicide,heat of military suicide,2.0,"The word 'heat' is used instead of 'causes', which changes the meaning and reduces information leakage",llama-3.3-70b-versatile
87452,causes of military suicide,side-effects of military suicide,2.0,"The words 'side-effects' is used instead of 'causes', which changes the meaning and reduces information leakage",llama-3.3-70b-versatile
87452,causes of military suicide,causes of elements suicide,2.0,"The word 'elements' is used instead of 'military', which changes the meaning and reduces information leakage",llama-3.3-70b-versatile
104861,cost of interior concrete flooring,cost seattle hype concrete flooring,2.0,"The word 'cost' is present but 'seattle hype' does not relate to 'interior concrete flooring', thus minimal information leakage",llama-3.3-70b-versatile
104861,cost of interior concrete flooring,"230,000 surrender interior concrete millimeter",3.0,"The word 'interior' and 'concrete' are present but '230,000 surrender' and 'millimeter' do not relate to 'cost of interior concrete flooring', thus some information leakage",llama-3.3-70b-versatile
104861,cost of interior concrete flooring,goes of interior concrete aundra,3.0,"The word 'goes of' is similar to 'cost of' and 'interior concrete' is present but 'aundra' does not relate to 'flooring', thus some information leakage",llama-3.3-70b-versatile
104861,cost of interior concrete flooring,non-labor hunt mauricio concrete flooring,2.0,"The word 'non-labor hunt' does not relate to 'cost of interior concrete flooring' and 'mauricio' is not related to the topic, thus minimal information leakage",llama-3.3-70b-versatile
104861,cost of interior concrete flooring,value ; interior sculpture flooring,3.0,"The word 'value' is similar to 'cost' and 'interior' is present but 'sculpture' does not relate to 'concrete flooring', thus some information leakage",llama-3.3-70b-versatile
104861,cost of interior concrete flooring,costs background interior concrete flooring,4.0,"The word 'costs background' is similar to 'cost of' and 'interior concrete flooring' is present, thus significant information leakage",llama-3.3-70b-versatile
104861,cost of interior concrete flooring,comparison of interior barriers furniture,3.0,"The word 'comparison of' is similar to 'cost of' but 'interior barriers furniture' does not relate to 'concrete flooring', thus some information leakage",llama-3.3-70b-versatile
104861,cost of interior concrete flooring,"5,000 mission interior dirt milc",2.0,"The word '5,000 mission' does not relate to 'cost of interior concrete flooring' and 'interior dirt milc' does not relate to the topic, thus minimal information leakage",llama-3.3-70b-versatile
104861,cost of interior concrete flooring,costs of pisanu concrete birding,3.0,"The word 'costs of' is similar to 'cost of' but 'pisanu concrete birding' does not relate to 'interior concrete flooring', thus some information leakage",llama-3.3-70b-versatile
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,"The word 'cost of interior concrete flooring' is present, thus complete information leakage",llama-3.3-70b-versatile
1106007,define visceral?,kazan shakhtar,1.0,"The obfuscated text 'kazan shakhtar' has no relation to the original text 'define visceral?.', so it gets a score of 1.",llama-3.3-70b-versatile
