id,text,obfuscatedText,score,justification,model
16,aaa proteins,aaa proteins,5.0,Complete leakage as the text is identical,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,Complete leakage as the text is identical,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,Complete leakage as the text is identical,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,Complete leakage as the text is identical,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,Complete leakage as the text is identical,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,Complete leakage as the text is identical,deepseek-r1-distill-llama-70b
16,aaa proteins,andrassy proteins,1.0,No leakage as the text is different,deepseek-r1-distill-llama-70b
16,aaa proteins,intermountain proteins,1.0,No leakage as the text is different,deepseek-r1-distill-llama-70b
16,aaa proteins,22000 proteins,1.0,No leakage as the text is different,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,Complete leakage as the text is identical,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed judgement semiclassical granules cells,3.0,Score 3: Partial information leakage. The terms 'antigens expressed' and 'cells' are present but 'judgement semiclassical granules' is nonsensical in this context.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens olusegun supported lung epithelial calcium,3.0,Score 3: Partial information leakage. 'Antigens' and 'lung epithelial' are present but 'olusegun supported' and 'calcium' are irrelevant.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by disparities epithelial cells,4.0,"Score 4: High information leakage. 'Antigens expressed by' is present but 'disparities' is incorrect; however, most context is preserved.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,clench incomes micklethwait lung epithelial activation,2.0,"Score 2: Minimal information leakage. Only 'lung' and 'epithelial' are present, but the context is severely altered.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed dewey lung aafl cells,3.0,Score 3: Partial information leakage. 'Antigens expressed' and 'lung' are present but 'dewey' and 'aafl' are incorrect.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,expreso intention by lung epithelial cells,4.0,"Score 4: High information leakage. 'Expreso' is a misspelling of 'expressed,' but 'intention' is incorrect; 'lung epithelial cells' is preserved.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,153.9 voiced by lung underbody cells,2.0,"Score 2: Minimal information leakage. Only 'lung' is present, but the rest is unrelated or nonsensical.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by incurable epithelial cells,4.0,Score 4: High information leakage. 'Antigens expressed by' is present but 'incurable' is incorrect; 'epithelial cells' is preserved.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,crystallized expressed by lung epithelial cell,4.0,Score 4: High information leakage. 'Expressed by lung epithelial cell' is mostly correct except for 'crystallized' being incorrect.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens vice jantjes lung epithelial cells,3.0,Score 3: Partial information leakage. 'Antigens' and 'lung epithelial cells' are present but 'vice jantjes' is irrelevant.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase right apoptosis,5.0,"Obfuscated text contains both original keywords, no significant obfuscation.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase three apoptosis,4.0,"Obfuscated text contains both original keywords, minimal obfuscation.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and diachronic,2.0,"Obfuscated text partially masks one keyword, some information retained.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase serves apoptosis,5.0,"Obfuscated text contains both original keywords, minimal obfuscation.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase contortionists apoptosis,4.0,"Obfuscated text contains both original keywords, minimal obfuscation.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase suit d-mi,2.0,"Obfuscated text contains one keyword, unclear context.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase having apoptosis,5.0,"Obfuscated text contains both original keywords, minimal obfuscation.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase with apoptosis,5.0,"Obfuscated text contains both original keywords, minimal obfuscation.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase methodologies apoptosis,4.0,"Obfuscated text contains both original keywords, minimal obfuscation.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase few p53,3.0,"Obfuscated text contains one keyword, partially related context.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis challenged hairless mice,4.0,Contains both key terms with minimal additional information.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,computer-mediated british hairless giorno,2.0,Only includes 'hairless' without 'carcinogenesis'.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis wedderburn hairless mice,4.0,Retains both key terms with 'wedderburn' added.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,suppositories silver hairless marneuli,2.0,Includes 'hairless' but lacks 'carcinogenesis'.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,1.775 and hairless mice,3.0,Partially includes original terms with irrelevant numbers.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,Exactly the same as the original text.,deepseek-r1-distill-llama-70b
