id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,panteion triplefin received maintaining,0.1,"The obfuscated text does not contain any words related to the original text, indicating a low information leakage score.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition dunks recyclable,0.7,"The obfuscated text still contains the words 'anthropological' and 'definition', which are key components of the original text, indicating significant information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,sight-seeing embarkation !! eric,0.0,"The obfuscated text does not contain any relevant information from the original text, thus the score is 0",llama-3.3-70b-versatile
19335,anthropological definition of environment,29.70 grail hostility climate,0.2,"The obfuscated text does not contain any relevant information from the original text, indicating a low information leakage score.",llama-3.3-70b-versatile
19335,anthropological definition of environment,cosmonauts t'ai 69 addiction,0.0,"The obfuscated text does not contain any relevant information from the original text, indicating a low information leakage score.",llama-3.3-70b-versatile
19335,anthropological definition of environment,confucius digital attempts jungen,0.1,"The obfuscated text does not contain any relevant information from the original text, indicating a low information leakage score.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological encryptions of environment,0.8,"The obfuscated text 'anthropological encryptions of environment' is very similar to the original text 'anthropological definition of environment', with the only difference being the replacement of 'definition' with 'encryptions'. This suggests a high level of information leakage, as the obfuscated text still conveys the same general meaning as the original text.",llama-3.3-70b-versatile
19335,anthropological definition of environment,rediscovery field biggest harassment,0.0,"The obfuscated text 'rediscovery field biggest harassment' does not contain any information related to the original text 'anthropological definition of environment', thus the score is 0",llama-3.3-70b-versatile
19335,anthropological definition of environment,anti-slavery ryb ultimate liability,0.0,"The obfuscated text 'anti-slavery ryb ultimate liability' does not contain any information from the original text 'anthropological definition of environment', thus the score is 0",llama-3.3-70b-versatile
19335,anthropological definition of environment,multi-disc aeternus above info,0.0,The obfuscated text 'multi-disc aeternus above info' does not contain any information related to the original text 'anthropological definition of environment'.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,burrow gnp preston synaptic colorable top-performing,0.2,"The obfuscated text still contains the word 'synaptic', which is a key term from the original text, indicating some information leakage. However, the context and other words have been changed, reducing the overall leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon customs transportation 1:2 dietetics definition,0.7,"The obfuscated text still contains the key terms 'axon' and 'definition' which are present in the original text, indicating a significant information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,"axon 8-inch 1,004 preorder 6,500-apartment definition",0.2,"The obfuscated text contains the word 'axon' and 'definition' which are present in the original text, indicating some information leakage. However, the context and other words are completely different, indicating significant obfuscation.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon stores afraid synaptic zenapax coding,0.7,"The obfuscated text still contains the key terms 'axon' and 'synaptic', which are present in the original text, indicating a significant information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,quảng congestion 360 maloney jaji breviary,0.0,"The obfuscated text does not contain any relevant information from the original text, indicating minimal information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,orde pristina scraps synaptic vcr meaning,0.2,"The obfuscated text still contains the word 'synaptic' which is present in the original text, indicating some information leakage. However, the context and other words are completely different, suggesting a low to moderate level of information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon sorting restock spermicide knob definition,0.8,"The obfuscated text still contains the key words 'axon' and 'knob definition' which are present in the original text, indicating a significant information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon euripides 96.77 synaptic catawba challenges,0.4,"The obfuscated text still contains the key words 'axon' and 'synaptic', which are present in the original text, indicating some information leakage. However, the context and surrounding words are completely different, suggesting a moderate level of obfuscation.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,suproleague longshoremen hyena synaptic truncated definition,0.4,"The obfuscated text still contains the word 'synaptic' and 'definition' which are present in the original text, indicating some information leakage. However, the context and other words have been changed, reducing the leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon mogadishu cheering synaptic hellickson hd,0.7,"The obfuscated text still contains the word 'axon' and 'synaptic', which are key terms from the original text, indicating a significant information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes cutolo holomorphic probe gas-fired,0.3,"The obfuscated text still contains some keywords related to the original text, such as 'causes', but the context and meaning have been significantly altered, indicating partial information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,conscience methodologies knots ventricular mary-kate,0.4,"The obfuscated text 'conscience methodologies knots ventricular mary-kate' still contains the word 'ventricular' which is present in the original text 'causes of left ventricular hypertrophy'. This suggests that there is some information leakage. However, the context and other words have been changed, indicating a partial obfuscation. Therefore, the score is 0.4.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,frail neisse state ablation dimensioning,0.2,"The obfuscated text 'frail neisse state ablation dimensioning' does not contain any direct references to the original text 'causes of left ventricular hypertrophy', but 'ventricular' is present in the obfuscated text, indicating some information leakage. However, the context and meaning are completely lost, so the score is relatively low.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes poems suffered ventricular psip,0.6,"The obfuscated text still contains the words 'causes' and 'ventricular' which are present in the original text, indicating some information leakage",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,draba anchorage late jussi sobukwe,0.0,"The obfuscated text does not contain any relevant information related to the original text, which is about medical causes. Therefore, the score is 0.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,sticky onset knights runje permeability,0.0,"The obfuscated text does not retain any meaningful information from the original text, with completely unrelated words being used.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,360 heightened jaros ventricular rosseler,0.4,"The obfuscated text still contains the word 'ventricular' which is present in the original text, indicating some information leakage. However, the context and other words are completely different, suggesting a moderate level of obfuscation.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,deeper 1664 quill riddled pandolfo,0.0,"The obfuscated text does not retain any meaningful information from the original text, with completely unrelated words being used.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,orwell years quebec ventricular midfoot,0.2,"The obfuscated text still contains the word 'ventricular' which is present in the original text, indicating some information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,deaths col. 2:34 ventricular dita,0.4,"The obfuscated text still contains the word 'ventricular' which is a key term from the original text, indicating some information leakage.",llama-3.3-70b-versatile
87452,causes of military suicide,causes wayne military suicide,0.8,"The obfuscated text still contains the original keywords 'causes', 'military', and 'suicide', but with an added unrelated word 'wayne', which slightly reduces the information leakage. However, the core information is still preserved, so the score is 0.8",llama-3.3-70b-versatile
87452,causes of military suicide,causes xingtang sarajevo suicide,0.6,"The obfuscated text 'causes xingtang sarajevo suicide' still contains the words 'causes' and 'suicide' which are present in the original text 'causes of military suicide', but the word 'military' has been replaced with 'sarajevo' and 'xingtang' has been added, indicating some information leakage but not complete, so the score is 0.6",llama-3.3-70b-versatile
87452,causes of military suicide,awareness goteborg military whowhere,0.4,"The obfuscated text 'awareness goteborg military whowhere' has some similarity to the original text 'causes of military suicide' in that it still contains the word 'military', but other key words have been replaced with unrelated terms, indicating partial information leakage.",llama-3.3-70b-versatile
87452,causes of military suicide,shoshanna cocaine military chipotles,0.2,"The obfuscated text 'shoshanna cocaine military chipotles' still contains the word 'military' from the original text 'causes of military suicide', indicating some information leakage. However, the context and other words have been completely changed, reducing the leakage. Score is 0.2 for the partial retention of the 'military' keyword.",llama-3.3-70b-versatile
87452,causes of military suicide,causes readers netherlands suicide,0.4,"The obfuscated text still contains the words 'causes' and 'suicide' which are present in the original text, indicating some information leakage. However, the word 'military' is replaced with 'readers' and 'netherlands', which reduces the information leakage. The score is 0.4 because the obfuscated text still conveys some information about the topic, but the replacement of 'military' reduces the leakage.",llama-3.3-70b-versatile
87452,causes of military suicide,prague of confessed suicide,0.4,"The obfuscated text still contains the word 'suicide' which is present in the original text, but other key words like 'causes' and 'military' are missing or replaced, indicating partial information leakage.",llama-3.3-70b-versatile
87452,causes of military suicide,mignon laura kawaguchi suicide,0.2,"The obfuscated text still contains the word 'suicide' which is present in the original text, but other words are completely different, indicating some information leakage.",llama-3.3-70b-versatile
87452,causes of military suicide,heat jewish military suicide,0.4,"The obfuscated text still contains the words 'military' and 'suicide' which are present in the original text, indicating some information leakage. However, the addition of 'heat' and 'jewish' does not provide any direct relation to the original text, thus reducing the information leakage score.",llama-3.3-70b-versatile
87452,causes of military suicide,side-effects placed patriot suicide,0.4,"The obfuscated text still contains the word 'suicide' and 'military' which are present in the original text, indicating some information leakage. However, other words are changed or added, reducing the leakage. Score is 0.4",llama-3.3-70b-versatile
