id,text,obfuscatedText,score,justification,model
16,aaa proteins,brochure sustaining,0.0,"The obfuscated text 'brochure sustaining' does not reveal any information about 'aaa proteins', hence 0.0.",deepseek-r1-distill-llama-70b
16,aaa proteins,hep molecules,0.2,"The obfuscated text 'hep molecules' partially reveals information related to biological molecules, hence 0.2.",deepseek-r1-distill-llama-70b
16,aaa proteins,kondoa types,0.0,"The obfuscated text 'kondoa types' does not reveal any information about 'aaa proteins', hence 0.0.",deepseek-r1-distill-llama-70b
16,aaa proteins,aa proteins,0.9,"The obfuscated text 'aa proteins' is very similar to 'aaa proteins', hence 0.9.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa enzymes,0.5,"The obfuscated text 'aaa enzymes' is related but not identical to 'aaa proteins', hence 0.5.",deepseek-r1-distill-llama-70b
16,aaa proteins,aa tissues,0.4,"The obfuscated text 'aa tissues' is somewhat related but not identical to 'aaa proteins', hence 0.4.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa enzymes,0.5,"The obfuscated text 'aaa enzymes' is related but not identical to 'aaa proteins', hence 0.5.",deepseek-r1-distill-llama-70b
16,aaa proteins,junior molecules,0.0,"The obfuscated text 'junior molecules' does not reveal any information about 'aaa proteins', hence 0.0.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"The obfuscated text 'aaa proteins' is identical to the original text, hence 1.0.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa protein,0.95,"The obfuscated text 'aaa protein' is very similar to 'aaa proteins', hence 0.95.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen concern by lung . cells,0.2,"Score: 0.2 - Partial leakage: The terms 'antigen' and 'lung' are retained, but 'concern' and 'cells' are vague.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,bmps dismay by pneumonia tissues tissues,0.1,Score: 0.1 - Minimal leakage: 'pneumonia tissues' and 'dismay' are unrelated.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,mysliveček gratitude macenka diagnosed epithelium cell,0.1,Score: 0.1 - Minimal leakage: 'mysliveček' and 'gratitude' are unrelated.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens voiced spurred lung membrane tissue,0.3,Score: 0.3 - Partial leakage: 'antigens' and 'lung membrane' are close.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,hassanat expressed analyzed pneumonia epithelial cell,0.3,Score: 0.3 - Partial leakage: 'hassanat' is unrelated but 'pneumonia epithelial' is close.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,disfavored expressed by pneumonia necrosis cells,0.2,Score: 0.2 - Partial leakage: 'disfavored' is vague but 'pneumonia necrosis' is close.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed earlier emphysema epithelium cell,0.3,Score: 0.3 - Partial leakage: 'antigens' and 'emphysema' are related.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,haplogroups met by chest erlach tissue,0.1,Score: 0.1 - Minimal leakage: 'haplogroups' and 'chest' are vague.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen expressing after small-cell surface cells,0.3,Score: 0.3 - Partial leakage: 'antigen' and 'small-cell surface' are related.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,deactivating his was carried epithelial cell,0.2,Score: 0.2 - Partial leakage: 'deactivating' and 'epithelial' are vague.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,homeworld arizona neuronal,0.0,No keywords from the original text are present.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,rse through inhibition,0.0,No keywords from the original text are present.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase both translocation,0.5,"Contains 'atpase', partial leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,ukai and k.j.,0.0,No keywords from the original text are present.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,bustling albanian apoptosis,0.5,"Contains 'apoptosis', partial leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,domains bankrupt excitotoxicity,0.0,No keywords from the original text are present.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,banepa and apoptotic,0.5,"Contains 'apoptotic', related to 'apoptosis', partial leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,acro and apoptosis,0.8,"Contains 'apoptosis', significant leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,geocast both apoptotic,0.5,"Contains 'apoptotic', related to 'apoptosis', partial leakage.",deepseek-r1-distill-llama-70b
