id,text,obfuscatedText,score,justification,model
16,aaa proteins,aaaa protein,0.9,"The obfuscated text 'aaaa protein' is very similar to the original text 'aaa proteins', with only minor differences in the number of 'a's and the pluralization of 'protein'. This results in a high leakage score of 0.9.",deepseek-r1-distill-llama-70b
16,aaa proteins,ratings proteins,0.2,"The obfuscated text 'ratings proteins' replaces 'aaa' with 'ratings', which is unrelated to the original text, resulting in a low leakage score of 0.2.",deepseek-r1-distill-llama-70b
16,aaa proteins,endtag proteins,0.1,"The obfuscated text 'endtag proteins' replaces 'aaa' with 'endtag', which is unrelated to the original text, resulting in a low leakage score of 0.1.",deepseek-r1-distill-llama-70b
16,aaa proteins,aa enzymes,0.4,"The obfuscated text 'aa enzymes' is somewhat similar to the original text 'aaa proteins', as both refer to biological molecules, but 'enzymes' are a different category than 'proteins', resulting in a moderate leakage score of 0.4.",deepseek-r1-distill-llama-70b
16,aaa proteins,rickd genes,0.1,"The obfuscated text 'rickd genes' replaces 'aaa' with 'rickd' and 'proteins' with 'genes', both of which are unrelated to the original text, resulting in a low leakage score of 0.1.",deepseek-r1-distill-llama-70b
16,aaa proteins,jamboree amino,0.2,"The obfuscated text 'jamboree amino' replaces 'aaa' with 'jamboree' and 'proteins' with 'amino', which are unrelated to the original text, resulting in a low leakage score of 0.2.",deepseek-r1-distill-llama-70b
16,aaa proteins,aa protein,0.85,"The obfuscated text 'aa protein' is very similar to the original text 'aaa proteins', with only minor differences in the number of 'a's and the pluralization of 'protein', resulting in a high leakage score of 0.85.",deepseek-r1-distill-llama-70b
16,aaa proteins,sent lipids,0.1,"The obfuscated text 'sent lipids' replaces 'aaa' with 'sent' and 'proteins' with 'lipids', both of which are unrelated to the original text, resulting in a low leakage score of 0.1.",deepseek-r1-distill-llama-70b
16,aaa proteins,aa proteins,1.0,"The obfuscated text 'aa proteins' is identical to the original text 'aaa proteins' except for the number of 'a's, resulting in a complete leakage score of 1.0.",deepseek-r1-distill-llama-70b
16,aaa proteins,roster genes,0.1,"The obfuscated text 'roster genes' replaces 'aaa' with 'roster' and 'proteins' with 'genes', both of which are unrelated to the original text, resulting in a low leakage score of 0.1.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens discussed according lung ph epithelial,0.2,"antigens discussed according lung ph epithelial - 0.2: Partially retains 'antigens' and 'lung epithelial', but changes 'expressed' to 'discussed' and introduces 'ph', reducing clarity.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens noted by lung epithelium cell,0.3,"antigens noted by lung epithelium cell - 0.3: Maintains 'antigens' and 'lung', but changes 'expressed' to 'noted' and 'epithelial cells' to 'epithelium cell', slightly altering meaning.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens delight taken cancer epithelial cell,0.2,"antigens delight taken cancer epithelial cell - 0.2: Keeps 'antigens' and 'epithelial cell', but introduces unrelated terms like 'delight taken' and 'cancer', reducing relevance.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antibodies expressed purchasing cancer lining cell,0.1,"antibodies expressed purchasing cancer lining cell - 0.1: Changes 'antigens' to 'antibodies' and introduces 'purchasing' and 'cancer lining cell', making it less relevant.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed soldiers brain epithelial cell,0.1,"antigens expressed soldiers brain epithelial cell - 0.1: Maintains 'antigens expressed' but changes context to 'soldiers brain', making it unrelated.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,quinolinic expressed by prostate epithelium cell,0.1,"quinolinic expressed by prostate epithelium cell - 0.1: Changes 'antigens' to 'quinolinic' and 'lung' to 'prostate', losing original meaning.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen voiced manufactured lung heterochromatin tissue,0.1,"antigen voiced manufactured lung heterochromatin tissue - 0.1: Alters 'antigens expressed' to 'antigen voiced manufactured' and changes 'epithelial cells' to 'heterochromatin tissue', making it irrelevant.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressing by severe epithelium cells,0.4,"antigens expressing by severe epithelium cells - 0.4: Closest to original, but 'severe' is not in the original, slightly altering context.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,mhc welcomed which lung churchland cells,0.1,"mhc welcomed which lung churchland cells - 0.1: Completely changes the context with 'mhc' and 'churchland', losing all relevant information.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressing by ovarian mammalian cell,0.1,"antigens expressing by ovarian mammalian cell - 0.1: Changes 'lung epithelial cells' to 'ovarian mammalian cell', altering the context.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase co-owner overexpression,0.3,"The term 'atpase' is present, indicating partial leakage of information.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,magnetoencephalography gave neuronal,0.1,"No relevant terms from the original text are present, indicating minimal leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,hcn those apoptosis,0.4,"The term 'apoptosis' is present, indicating partial leakage of information.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,human-readable and apoptosis,0.3,"The term 'apoptosis' is present, indicating partial leakage of information.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,sodium-potassium such inhibition,0.2,"The term 'inhibition' is related to 'atpase', indicating some leakage.",deepseek-r1-distill-llama-70b
