id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,sociological definition of nature,1.0,"The word 'sociological' is different from 'anthropological' and 'nature' is different from 'environment', so the score is 1",llama-3.3-70b-versatile
19335,anthropological definition of environment,ethnological definitions making legislation,1.0,"The word 'ethnological' is different from 'anthropological' and 'legislation' is different from 'environment', so the score is 1",llama-3.3-70b-versatile
19335,anthropological definition of environment,entomological definition time resources,1.0,"The word 'entomological' is different from 'anthropological' and 'time resources' is different from 'environment', so the score is 1",llama-3.3-70b-versatile
19335,anthropological definition of environment,sociological detail republic environment,3.0,"The word 'sociological' is different from 'anthropological' but 'environment' is the same, so the score is 3",llama-3.3-70b-versatile
19335,anthropological definition of environment,ethnological definitions initial environment,3.0,"The word 'ethnological' is different from 'anthropological' but 'environment' is the same, so the score is 3",llama-3.3-70b-versatile
19335,anthropological definition of environment,archaeology 0-948817-19-4 book environments,1.0,"The word 'archaeology' is different from 'anthropological' and 'book environments' is different from 'environment', so the score is 1",llama-3.3-70b-versatile
19335,anthropological definition of environment,asiatic definitions of environment,3.0,"The word 'asiatic' is different from 'anthropological' but 'environment' is the same, so the score is 3",llama-3.3-70b-versatile
19335,anthropological definition of environment,petroglyphs typical turn environment,1.0,"The word 'petroglyphs' is different from 'anthropological' and 'turn environment' is different from 'environment', so the score is 1",llama-3.3-70b-versatile
19335,anthropological definition of environment,puzzling defines the agriculture,1.0,"The word 'puzzling' is different from 'anthropological' and 'agriculture' is different from 'environment', so the score is 1",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological interpreted final infrastructure,4.0,"The word 'anthropological' is the same and 'infrastructure' is related to 'environment', so the score is 4",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,minutia herpin or roman-catholic plexiglas definition,1.0,The obfuscated text 'minutia herpin or roman-catholic plexiglas definition' has no relation to the original text.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,third-parties terminals instead plasticity knobs presentation,3.0,"The obfuscated text 'third-parties terminals instead plasticity knobs presentation' has some relation to the original text, but the context is different.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,speculates configured much oblanceolate kentuck defines,1.0,The obfuscated text 'speculates configured much oblanceolate kentuck defines' has no relation to the original text.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,labwani furtive non presynaptic knobs hdtv,2.0,"The obfuscated text 'labwani furtive non presynaptic knobs hdtv' has some relation to the original text, but the context is different.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,synapse terminal sometimes synaptic pee-wee defines,2.0,"The obfuscated text 'synapse terminal sometimes synaptic pee-wee defines' has some relation to the original text, but the context is different.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,retract terminal was synaptic knob definitions,2.0,"The obfuscated text 'retract terminal was synaptic knob definitions' has some relation to the original text, but the context is different.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,schwann terminals and/or synaptic montage definition,2.0,"The obfuscated text 'schwann terminals and/or synaptic montage definition' has some relation to the original text, but the context is different.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon offices instead synaptic gunsmiths definition,2.0,"The obfuscated text 'axon offices instead synaptic gunsmiths definition' has some relation to the original text, but the context is different.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,presynaptic terminals or synapse knobs definition,4.0,The obfuscated text 'presynaptic terminals or synapse knobs definition' has a strong relation to the original text.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,pre-programmed terminals zones synaptic suppose defined,2.0,"The obfuscated text 'pre-programmed terminals zones synaptic suppose defined' has some relation to the original text, but the context is different.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,cause bringing right ventricular b-raf,2.0,"The word 'cause' is present, but 'right' instead of 'left' and 'b-raf' instead of 'hypertrophy' indicate minimal information leakage",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,unwanted tristan leaving atrial t-junction,1.0,The word 'unwanted' instead of 'causes' and 'tristan' instead of 'ventricular' indicate no information leakage,llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,types the injured ventricular anemic,1.0,The word 'types' instead of 'causes' and 'injured' and 'anemic' instead of 'hypertrophy' indicate no information leakage,llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes meanwhile he atrial infarction,2.0,"The word 'causes' is present, but 'meanwhile' and 'he' and 'atrial infarction' instead of 'left ventricular hypertrophy' indicate minimal information leakage",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,cause may leaving arrhythmias hypertrophy,4.0,"The word 'cause' and 'hypertrophy' are present, but 'may' and 'leaving' and 'arrhythmias' instead of 'left ventricular' indicate moderate information leakage",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,cause one leaving atrial hypertrophy,4.0,"The word 'cause' and 'hypertrophy' and 'leaving' and 'atrial' are present, 'one' instead of 'left' indicate moderate information leakage",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,cause of leaving atrial 47min,2.0,"The word 'cause' and 'leaving' and 'atrial' are present, but 'of' and '47min' instead of 'ventricular hypertrophy' indicate minimal information leakage",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,cause part leaving atrial hypertrophy,4.0,"The word 'cause' and 'part' and 'leaving' and 'atrial' and 'hypertrophy' are present, indicate moderate information leakage",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,advocacy leadership leaving atrial hypertrophy,1.0,The word 'advocacy' instead of 'cause' and 'leadership' instead of 'of' and 'leaving' and 'atrial' and 'hypertrophy' indicate no information leakage,llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,cause around leaving atrial typeset,2.0,The word 'cause' and 'around' and 'leaving' and 'atrial' and 'typeset' instead of 'hypertrophy' indicate minimal information leakage,llama-3.3-70b-versatile
87452,causes of military suicide,causes apart military vest,3.0,"The words 'causes' and 'military' are present but 'suicide' is replaced with 'vest', indicating some information leakage",llama-3.3-70b-versatile
87452,causes of military suicide,occurs original army gaza,2.0,"The word 'occurs' is similar to 'causes' and 'original' is not related to 'military', indicating little information leakage",llama-3.3-70b-versatile
87452,causes of military suicide,parasites up army attacker,1.0,"The word 'parasites' is unrelated to 'causes' and 'up' is not related to 'of', indicating no information leakage",llama-3.3-70b-versatile
87452,causes of military suicide,causes media officers death,4.0,"The words 'causes' and 'media' are present but 'officers' is not related to 'military' and 'death' is related to 'suicide', indicating some information leakage",llama-3.3-70b-versatile
