id,text,obfuscatedText,score,justification,model
16,aaa proteins,aaa proteins,1.0,"Obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,identical to original text,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,identical to original text,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed was lung epithelial cells,0.9,"minor grammatical change, similar meaning",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens similarly eviscerated lung epithelial cells,0.2,meaning significantly altered,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,identical to original text,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens 166.50 by lung epithelial cells,0.3,non-sensical replacement of a word,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial adiponectin,0.4,addition of unrelated term,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens voiced by lung epithelial cells,0.5,synonym with different connotation,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed impressed lung epithelial cells,0.1,different word with unrelated meaning,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens met by lung epithelial cells,0.2,different word with unrelated meaning,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and apoptosis,1.0,"The obfuscated text is identical to the original, so all information is present.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase george apoptosis,0.8,"The term 'george' is added, introducing some noise but keeping both original terms.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and apoptosis,1.0,"The obfuscated text is identical to the original, so all information is present.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase including apoptosis,1.0,"The term 'including' is used instead of 'and', but both original terms are present.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase as apoptosis,0.9,"The term 'as' is used instead of 'and', but both original terms are present.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase sigmon apoptosis,0.8,"The term 'sigmon' is added, introducing some noise but keeping both original terms.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase filipino apoptosis,0.8,"The term 'filipino' is added, introducing some noise but keeping both original terms.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase through apoptosis,0.9,"The term 'through' is used instead of 'and', but both original terms are present.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and apoptosis,1.0,"The obfuscated text is identical to the original, so all information is present.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase accelerating apoptosis,0.9,"The term 'accelerating' is added, introducing a causal relationship but keeping both original terms.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,Complete leakage as text is identical,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,Complete leakage as text is identical,deepseek-r1-distill-llama-70b
