id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,anthropological the the organisation,2.0,"The word 'anthropological' is present, but the rest of the sentence is unrelated to the original text.",llama-3.3-70b-versatile
19335,anthropological definition of environment,zoological chopko pile recordar,1.0,The text is completely unrelated to the original text.,llama-3.3-70b-versatile
19335,anthropological definition of environment,eastpointe definition mayor boinc,3.0,"The word 'definition' is present, but the rest of the sentence is unrelated to the original text.",llama-3.3-70b-versatile
19335,anthropological definition of environment,borkelmans came leeds korean,1.0,The text is completely unrelated to the original text.,llama-3.3-70b-versatile
19335,anthropological definition of environment,44-man definition people private-owned,4.0,"The word 'definition' is present and 'people' could be related to 'anthropological', but the rest of the sentence is unrelated to the original text.",llama-3.3-70b-versatile
19335,anthropological definition of environment,volgan 201.8 tests environment,5.0,The word 'environment' is present and 'tests' could be related to the field of anthropology.,llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition palestinians environment,5.0,"The words 'anthropological', 'definition', and 'environment' are all present, indicating a strong relation to the original text.",llama-3.3-70b-versatile
19335,anthropological definition of environment,mutoscope hematological tim environment,4.0,"The word 'environment' is present and 'hematological' could be related to the field of anthropology, but the rest of the sentence is unrelated to the original text.",llama-3.3-70b-versatile
19335,anthropological definition of environment,stratigraphic incomprehensible revered coastal,1.0,The text is completely unrelated to the original text.,llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological nigerien puncak environment,4.0,"The words 'anthropological' and 'environment' are present, indicating a relation to the original text.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,7-23 250-lap condoned synaptic tannoudji defined,5.0,"The obfuscated text '7-23 250-lap condoned synaptic tannoudji defined' still contains the word 'synaptic' and 'defined' which are key terms from the original text, hence a score of 5",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon some birthright mokokchung nappies omar,4.0,"The obfuscated text 'axon some birthright mokokchung nappies omar' contains the word 'axon' which is a key term from the original text, hence a score of 4",llama-3.3-70b-versatile
