id,text,obfuscatedText,score,justification,model
16,aaa proteins,remunerative antibodies,2.0,"The term 'remunerative antibodies' does not relate to 'aaa proteins', so no leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,akademiya preselected,1.0,The term 'akademiya preselected' is unrelated to the original text.,deepseek-r1-distill-llama-70b
16,aaa proteins,lindl hox,1.0,The term 'lindl hox' does not relate to 'aaa proteins'.,deepseek-r1-distill-llama-70b
16,aaa proteins,95.46 receptor,3.0,"The term '95.46 receptor' partially relates as a receptor is a type of protein, but the number adds specificity.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa molecules,3.0,"The term 'aaa molecules' is a broader category that includes proteins, causing partial leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,",460 proteins",3.0,"The term ',460 proteins' includes the word 'proteins' but with a number, indicating partial leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,nominated 29.37,1.0,The term 'nominated 29.37' does not relate to proteins.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa texpool,1.0,The term 'aaa texpool' does not relate to proteins.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,"The term 'aaa proteins' is identical to the original text, causing complete leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,"The term 'aaa proteins' is identical to the original text, causing complete leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,sacris expressed de lung epithelial cells,2.0,"Maintains 'expressed' and 'epithelial cells' but changes 'antigens' to 'sacris' and 'lung' to 'de lung', reducing clarity.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,57.56 have been creutzfeld towpaths nissenbaum,1.0,"Unrelated terms and numbers, no meaningful words from original.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,"antigens compared ring shung epithelial ,190",3.0,'Antigens' and 'epithelial' are present but combined with irrelevant numbers and words.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,muda sen. http://www.sunshinetour.com yellow-footed epithelial xiaoyang,1.0,Includes 'epithelial' but rest are unrelated links and names.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,kusumah expressed mistakes schillings procurator cells,2.0,Contains 'expressed' and 'epithelial cells' with some distortion.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,1937-1939 bhoffmandetnews.com one jurat epithelial sagittarii,1.0,"Unrelated terms and domain names, no relevant information.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens minister mixed-member lung necessary canadian-produced,3.0,Includes 'antigens' and 'lung' but with added irrelevant terms.,deepseek-r1-distill-llama-70b
