id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,anthropological definition of maintaining,1.0,No leakage: 'maintaining' is unrelated to 'environment'.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition same environment,2.0,Minimal leakage: 'same environment' slightly alters meaning but retains 'environment'.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition of environment,5.0,Complete leakage: identical to original text.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition resulted environment,4.0,Significant leakage: 'resulted' changes structure but retains 'environment'.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition 39 environment,3.0,Moderate leakage: '39' is added but 'environment' remains.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,confucius definition of environments,1.0,No leakage: 'confucius' and 'environments' are different from original.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition of environment,5.0,Complete leakage: identical to original text.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition of environment,5.0,Complete leakage: identical to original text.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition of environment,5.0,Complete leakage: identical to original text.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition of environment,5.0,Complete leakage: identical to original text.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,5.0,"All obfuscated texts reveal the same information as the original text, hence maximum leakage.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes perhaps left ventricular hypertrophy,2.0,"Minimal change with 'perhaps' added, low leakage",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,emergence quality left ventricular hypertrophy,1.0,"Unclear meaning, no leakage",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes broke left ventricular hypertrophy,1.0,"Verb 'broke' changes meaning, low leakage",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,5.0,"Same as original, complete leakage",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes part left ventricular hypertrophy,3.0,"Ambiguous 'part', some leakage",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,5.0,"Same as original, complete leakage",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,5.0,"Same as original, complete leakage",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause of left ventricular hypertrophy,4.0,"Singular 'cause', high leakage",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes of only ventricular hypertrophy,3.0,"'Only' reduces specificity, moderate leakage",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,5.0,"Same as original, complete leakage",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,"Identical to original text, complete leakage",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,"Identical to original text, complete leakage",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,"Identical to original text, complete leakage",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes part military suicide,4.0,Partially altered but retains most information,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,"Identical to original text, complete leakage",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,"Identical to original text, complete leakage",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,"Identical to original text, complete leakage",deepseek-r1-distill-llama-70b
87452,causes of military suicide,cause of military suicide,4.0,"Singular form, slight change in meaning",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,"Identical to original text, complete leakage",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of elements suicide,2.0,"Significant change, unclear context",deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Exact match to the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,"230,000 of interior concrete flooring",3.0,Partial information with a numerical value.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,goes of interior concrete flooring,1.0,No meaningful information.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost hunt interior concrete flooring,1.0,No meaningful information.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost ; interior concrete flooring,5.0,Same as original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Same as original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Same as original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Same as original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,costs of interior concrete flooring,5.0,Conveys the same meaning as the original.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Same as original text.,deepseek-r1-distill-llama-70b
1106007,define visceral?,clearly shakhtar,1.0,clearly shakhtar - 1 (No information leakage; unrelated term),deepseek-r1-distill-llama-70b
1106007,define visceral?,define rhernandez,1.0,define rhernandez - 1 (No information leakage; misspelled term),deepseek-r1-distill-llama-70b
1106007,define visceral?,redefine enfranchisement,1.0,redefine enfranchisement - 1 (No information leakage; different concept),deepseek-r1-distill-llama-70b
1106007,define visceral?,define firkin,1.0,define firkin - 1 (No information leakage; unrelated unit of measurement),deepseek-r1-distill-llama-70b
1106007,define visceral?,defined kripal,1.0,defined kripal - 1 (No information leakage; unrelated term),deepseek-r1-distill-llama-70b
1106007,define visceral?,define gaven,1.0,define gaven - 1 (No information leakage; no clear relation),deepseek-r1-distill-llama-70b
1106007,define visceral?,"define 2,464",1.0,"define 2,464 - 1 (No information leakage; number without context)",deepseek-r1-distill-llama-70b
1106007,define visceral?,define -200,1.0,define -200 - 1 (No information leakage; number without context),deepseek-r1-distill-llama-70b
1106007,define visceral?,define glans,1.0,define glans - 1 (No information leakage; different anatomical term),deepseek-r1-distill-llama-70b
1106007,define visceral?,define ustaše,1.0,define ustaše - 1 (No information leakage; historical term),deepseek-r1-distill-llama-70b
