id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,anthropological definition of maintaining,0.6,Partial leakage as 'maintaining' is related but not the same as 'environment',deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition same environment,0.65,Close to original but 'same' adds unnecessary context,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition of environment,1.0,"Exact match, complete leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition resulted environment,0.4,"Different meaning due to 'resulted', less leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition 39 environment,0.2,"Nonsensical number, minimal leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,confucius definition of environments,0.1,Different context with 'Confucius' and plural form,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition of environment,1.0,"Exact match, complete leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition of environment,1.0,"Exact match, complete leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition of environment,1.0,"Exact match, complete leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition of environment,1.0,"Exact match, complete leakage",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals adults synaptic knob definition,1.0,"The obfuscated text includes additional information ('adults') but retains all original content, leading to complete information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals either synaptic knob definition,1.0,"The obfuscated text replaces 'or' with 'either,' which does not change the meaning and results in complete information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes perhaps left ventricular hypertrophy,0.8,"The obfuscated text retains most of the original meaning but adds the word 'perhaps', which slightly alters the context.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,emergence quality left ventricular hypertrophy,0.4,"The obfuscated text uses 'emergence quality' instead of 'causes', which changes the meaning significantly.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes broke left ventricular hypertrophy,0.3,"The obfuscated text uses 'broke' instead of 'of', which changes the meaning.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,1.0,The obfuscated text is identical to the original.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes part left ventricular hypertrophy,0.7,"The obfuscated text uses 'part' instead of 'of', which slightly changes the meaning.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,1.0,The obfuscated text is identical to the original.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,1.0,The obfuscated text is identical to the original.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause of left ventricular hypertrophy,1.0,"The obfuscated text uses 'cause' instead of 'causes', which slightly changes the meaning.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes of only ventricular hypertrophy,0.6,"The obfuscated text removes 'left', which changes the specificity.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,1.0,The obfuscated text is identical to the original.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,1.0,"Identical to original, complete leakage.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,1.0,"Identical to original, complete leakage.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,1.0,"Identical to original, complete leakage.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes part military suicide,0.7,"Grammatically incorrect, partial leakage.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,1.0,"Identical to original, complete leakage.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,1.0,"Identical to original, complete leakage.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,1.0,"Identical to original, complete leakage.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,cause of military suicide,0.9,"Close but singular form, slight reduction.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,1.0,"Identical to original, complete leakage.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of elements suicide,0.5,"Changed context, significant information loss.",deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,1.0,"No obfuscation, complete information retained.",deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,"230,000 of interior concrete flooring",0.8,Partial information retained with a numeric value.,deepseek-r1-distill-llama-70b
