id,text,obfuscatedText,score,justification,model
16,aaa proteins,hansie terminboerse,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,readjusted uk-apc,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,http://www.state.gov ee,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,passeriformes non-lgbt,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,drezen icasualties.org,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,flowstations alvez,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,"10,000-point alassane",0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,wage +44,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,northern-central verifiably,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,boatlift loynes,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,iraqiya breadbasket xiaoyang shyh 2.0-3 people/km2,0.0,The obfuscated text does not contain any relevant information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,meu readdy jtwc herein naomichi 100.0,0.0,The obfuscated text does not contain any relevant information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,sayyaf midem proliferator darroll 3-column widhoelzl,0.0,The obfuscated text does not contain any relevant information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,career-highs mugunga marquess emberizidae 202-383-7824 cambodge,0.0,The obfuscated text does not contain any relevant information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,azzoni chattahoochie tael painstakingly klitschko garamba,0.0,The obfuscated text does not contain any relevant information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,gorondi nyamjav oefelein shiffa derailed 5-megawatt,0.0,The obfuscated text does not contain any relevant information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,"99-percent sgreen tarifa rymill smulders 328,000",0.0,The obfuscated text does not contain any relevant information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,18-time http://www.usdoj.gov tearsheet baronet 15-strong 212-556-4204,0.0,The obfuscated text does not contain any relevant information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,nytns acholi chinachem molik .188 showcourts,0.0,The obfuscated text does not contain any relevant information related to the original text.,llama-3.3-70b-versatile
