id,text,obfuscatedText,score,justification,model
16,aaa proteins,aaaa protein,4.0,The obfuscated text 'aaaa protein' has a score of 4 because it contains similar characters and context to the original text 'aaa proteins'.,llama-3.3-70b-versatile
16,aaa proteins,ratings proteins,5.0,The obfuscated text 'ratings proteins' has a score of 5 because it contains the same keyword 'proteins' as the original text.,llama-3.3-70b-versatile
16,aaa proteins,endtag proteins,5.0,The obfuscated text 'endtag proteins' has a score of 5 because it contains the same keyword 'proteins' as the original text.,llama-3.3-70b-versatile
16,aaa proteins,aa enzymes,2.0,The obfuscated text 'aa enzymes' has a score of 2 because it contains similar characters to the original text but the context is different.,llama-3.3-70b-versatile
16,aaa proteins,rickd genes,1.0,The obfuscated text 'rickd genes' has a score of 1 because it does not contain any similar characters or context to the original text.,llama-3.3-70b-versatile
16,aaa proteins,jamboree amino,1.0,The obfuscated text 'jamboree amino' has a score of 1 because it does not contain any similar characters or context to the original text.,llama-3.3-70b-versatile
16,aaa proteins,aa protein,3.0,The obfuscated text 'aa protein' has a score of 3 because it contains similar characters to the original text but the context is slightly different.,llama-3.3-70b-versatile
16,aaa proteins,sent lipids,1.0,The obfuscated text 'sent lipids' has a score of 1 because it does not contain any similar characters or context to the original text.,llama-3.3-70b-versatile
16,aaa proteins,aa proteins,4.0,The obfuscated text 'aa proteins' has a score of 4 because it contains similar characters and context to the original text 'aaa proteins'.,llama-3.3-70b-versatile
16,aaa proteins,roster genes,1.0,The obfuscated text 'roster genes' has a score of 1 because it does not contain any similar characters or context to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens discussed according lung ph epithelial,4.0,"The word 'discussed' is used instead of 'expressed', and 'ph' is added to 'lung', but the overall meaning is still similar to the original text",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens noted by lung epithelium cell,4.0,"The word 'noted' is used instead of 'expressed', and 'epithelium' is used instead of 'epithelial', but the overall meaning is still similar to the original text",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens delight taken cancer epithelial cell,2.0,"The word 'delight' is used instead of 'expressed', and 'cancer' is used instead of 'lung', which changes the meaning of the text",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antibodies expressed purchasing cancer lining cell,1.0,"The word 'antibodies' is used instead of 'antigens', and 'purchasing' is used instead of 'expressed', and 'cancer' is used instead of 'lung', which changes the meaning of the text",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed soldiers brain epithelial cell,1.0,"The word 'soldiers' is used instead of 'expressed', and 'brain' is used instead of 'lung', which changes the meaning of the text",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,quinolinic expressed by prostate epithelium cell,1.0,"The word 'quinolinic' is used instead of 'antigens', and 'prostate' is used instead of 'lung', which changes the meaning of the text",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen voiced manufactured lung heterochromatin tissue,1.0,"The word 'voiced' is used instead of 'expressed', and 'manufactured' is added, and 'heterochromatin tissue' is used instead of 'epithelial cells', which changes the meaning of the text",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressing by severe epithelium cells,4.0,"The word 'expressing' is used instead of 'expressed', and 'severe' is added, but the overall meaning is still similar to the original text",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,mhc welcomed which lung churchland cells,1.0,"The word 'mhc' is used instead of 'antigens', and 'welcomed' is used instead of 'expressed', and 'churchland' is used instead of 'epithelial', which changes the meaning of the text",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressing by ovarian mammalian cell,1.0,"The word 'expressing' is used instead of 'expressed', and 'ovarian' is used instead of 'lung', which changes the meaning of the text",llama-3.3-70b-versatile
15,atpase and apoptosis,atpase co-owner overexpression,5.0,"The word 'atpase' is present in the obfuscated text, indicating high information leakage.",llama-3.3-70b-versatile
15,atpase and apoptosis,magnetoencephalography gave neuronal,2.0,"The word 'apoptosis' is not present, but 'neuronal' is related to the topic, indicating moderate information leakage.",llama-3.3-70b-versatile
15,atpase and apoptosis,hcn those apoptosis,5.0,"The word 'apoptosis' is present, indicating high information leakage.",llama-3.3-70b-versatile
15,atpase and apoptosis,human-readable and apoptosis,5.0,"The word 'apoptosis' is present, indicating high information leakage.",llama-3.3-70b-versatile
15,atpase and apoptosis,sodium-potassium such inhibition,2.0,"The word 'inhibition' is related to the topic, but 'sodium-potassium' is not, indicating low information leakage.",llama-3.3-70b-versatile
15,atpase and apoptosis,atpases lobby apoptotic,5.0,"The word 'atpases' is present and 'apoptotic' is related to 'apoptosis', indicating high information leakage.",llama-3.3-70b-versatile
15,atpase and apoptosis,casamento shared inhibition,2.0,"The word 'inhibition' is related to the topic, but 'casamento' is not, indicating low information leakage.",llama-3.3-70b-versatile
15,atpase and apoptosis,m1917 and apoptosis,5.0,"The word 'apoptosis' is present, indicating high information leakage.",llama-3.3-70b-versatile
15,atpase and apoptosis,atpase well apoptosis,5.0,"The word 'atpase' and 'apoptosis' are present, indicating high information leakage.",llama-3.3-70b-versatile
15,atpase and apoptosis,jūb therefore apoptotic,3.0,"The word 'apoptotic' is related to 'apoptosis', indicating moderate information leakage.",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,chaa ourselves screwed rats,1.0,The obfuscated text 'chaa ourselves screwed rats' has no relation to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and weylandt rats,4.0,The obfuscated text 'carcinogenesis and weylandt rats' has partial information leakage as it contains the word 'carcinogenesis' from the original text but changes 'mice' to 'rats'.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,50percent both hairless mice,3.0,The obfuscated text '50percent both hairless mice' has partial information leakage as it contains the words 'hairless mice' from the original text but adds unrelated information.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,baoulé represented silky brains,1.0,The obfuscated text 'baoulé represented silky brains' has no information leakage as it does not contain any words related to the original text.,llama-3.3-70b-versatile
