id,text,obfuscatedText,score,justification,model
16,aaa proteins,aaa proteins,5.0,No obfuscation applied; text is identical to original.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation applied; text is identical to original.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation applied; text is identical to original.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation applied; text is identical to original.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation applied; text is identical to original.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation applied; text is identical to original.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation applied; text is identical to original.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation applied; text is identical to original.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation applied; text is identical to original.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation applied; text is identical to original.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,Complete leakage as the text is identical to the original.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,Complete leakage as the text is identical to the original.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,Complete leakage as the text is identical to the original.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,Complete leakage as the text is identical to the original.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,Complete leakage as the text is identical to the original.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,Complete leakage as the text is identical to the original.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,Complete leakage as the text is identical to the original.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,Complete leakage as the text is identical to the original.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,Complete leakage as the text is identical to the original.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,Complete leakage as the text is identical to the original.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and apoptosis,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase three apoptosis,4.0,"The obfuscated text is almost identical, with a minor insertion that doesn't obscure the information.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and apoptosis,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and apoptosis,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and apoptosis,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and apoptosis,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and apoptosis,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and apoptosis,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and apoptosis,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and apoptosis,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,"The obfuscated text is identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,cause of scleroderma,5.0,"All obfuscated texts are identical or nearly identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,cause of scleroderma,5.0,"All obfuscated texts are identical or nearly identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,cause of scleroderma,5.0,"All obfuscated texts are identical or nearly identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,cause of scleroderma,5.0,"All obfuscated texts are identical or nearly identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,cause of scleroderma,5.0,"All obfuscated texts are identical or nearly identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,cause of scleroderma,5.0,"All obfuscated texts are identical or nearly identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,cause of scleroderma,5.0,"All obfuscated texts are identical or nearly identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,cause of scleroderma,5.0,"All obfuscated texts are identical or nearly identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,causes of scleroderma,5.0,"All obfuscated texts are identical or nearly identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,cause of scleroderma,5.0,"All obfuscated texts are identical or nearly identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison of promoters of kurland and lowenbrau,1.0,"The obfuscated text 'comparison of promoters of kurland and lowenbrau' does not contain any information from the original text, thus no leakage.",deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison of promoters of arab and werrington,1.0,"The obfuscated text 'comparison of promoters of arab and werrington' does not contain any information from the original text, thus no leakage.",deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison of promoters of boubker and .227,1.0,"The obfuscated text 'comparison of promoters of boubker and .227' does not contain any information from the original text, thus no leakage.",deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison of promoters of kitty and primrose,1.0,"The obfuscated text 'comparison of promoters of kitty and primrose' does not contain any information from the original text, thus no leakage.",deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison of promoters of probably and overinflated,1.0,"The obfuscated text 'comparison of promoters of probably and overinflated' does not contain any information from the original text, thus no leakage.",deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison of promoters of krey and reigning,1.0,"The obfuscated text 'comparison of promoters of krey and reigning' does not contain any information from the original text, thus no leakage.",deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison of promoters of diluent and swat,1.0,"The obfuscated text 'comparison of promoters of diluent and swat' does not contain any information from the original text, thus no leakage.",deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison of promoters of sahl and fabric,1.0,"The obfuscated text 'comparison of promoters of sahl and fabric' does not contain any information from the original text, thus no leakage.",deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison of promoters of concealment and dalya,1.0,"The obfuscated text 'comparison of promoters of concealment and dalya' does not contain any information from the original text, thus no leakage.",deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison of promoters of fofana both godfather,1.0,"The obfuscated text 'comparison of promoters of fofana both godfather' does not contain any information from the original text, thus no leakage.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,5.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,5.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,5.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,5.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,5.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,5.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,5.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,5.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,5.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways also skin cancer,4.0,"The word ""and"" is replaced with ""also,"" but the meaning and key information remain the same, resulting in significant information leakage.",deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,dna repair and oxidative stress,5.0,"Obfuscated text is identical to original text, revealing all information.",deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,dna repair and oxidative stress,5.0,"Obfuscated text is identical to original text, revealing all information.",deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,dna repair and oxidative stress,5.0,"Obfuscated text is identical to original text, revealing all information.",deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,dna repair and oxidative stress,5.0,"Obfuscated text is identical to original text, revealing all information.",deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,dna repair and oxidative stress,5.0,"Obfuscated text is identical to original text, revealing all information.",deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,dna repair and oxidative stress,5.0,"Obfuscated text is identical to original text, revealing all information.",deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,dna repair and oxidative stress,5.0,"Obfuscated text is identical to original text, revealing all information.",deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,dna repair and oxidative stress,5.0,"Obfuscated text is identical to original text, revealing all information.",deepseek-r1-distill-llama-70b
