id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,195.7 younis sochacki 78.19,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
19335,anthropological definition of environment,"www.star 8,000-point palaeographically sunsern",1.0,No apparent relation to the original text,llama-3.3-70b-versatile
19335,anthropological definition of environment,3201 100.8 dáil kach,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
19335,anthropological definition of environment,20003 aamodt martyn ticino,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
19335,anthropological definition of environment,cybersurfing y worldsources industrias,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
19335,anthropological definition of environment,allbaugh palearctic hennekens incrimination,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
19335,anthropological definition of environment,jendrzejczyk musicnotes.com hennekens hasert,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
19335,anthropological definition of environment,ss-21 love-40 http://www.nasa.gov jakup,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
19335,anthropological definition of environment,functionals gusted multihomer bolted-together,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
19335,anthropological definition of environment,dzhindzhikhashvili rummelhardt 50-basis faiez,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,62-36 snowbowl dj03 cleric tannoudji baronetcies,1.0,No relevant keywords found,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,topix whether quadrupedal taluk 47-42-17-11 ali,1.0,No relevant keywords found,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,club 30303 mouwafak duck-like doeschate shanksville,1.0,No relevant keywords found,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,paleographically decriminalizing pelzer hieng r resend,1.0,No relevant keywords found,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,mocatta cffex lonicera majevica montek yoshifumi,1.0,No relevant keywords found,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,rowspan worldsources raelians 147.27 nevus hushen,1.0,No relevant keywords found,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,unicode artery ap.org township-level anmc21 28-aug,1.0,No relevant keywords found,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,lactose series antonin obrenovac yur 2-last,1.0,No relevant keywords found,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,212-556-4204 asmithsptimes.com millones huthis woreda procellariiformes,1.0,No relevant keywords found,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,100-share 1-of-2 crappie 1973-90 inc. heisley,1.0,No relevant keywords found,llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,weinshall eurodollar 202-383-7824 huntly mastel,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,stoxx mayardit 2001-2011 redha obec,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
