id,text,obfuscatedText,score,justification,model
16,aaa proteins,torhout protein,2.0,Partial match with 'protein' but no direct relation to 'aaa',deepseek-r1-distill-llama-70b
16,aaa proteins,ratings neutrophils,1.0,"Unrelated terms, minimal leakage",deepseek-r1-distill-llama-70b
16,aaa proteins,exx proteins,5.0,Direct match with 'proteins' and similar prefix,deepseek-r1-distill-llama-70b
16,aaa proteins,aa microorganisms,3.0,Partial match with 'aa' but different context,deepseek-r1-distill-llama-70b
16,aaa proteins,powershares genes,2.0,Partial relation to biological terms but no direct link,deepseek-r1-distill-llama-70b
16,aaa proteins,d-league koshin,1.0,"Unrelated terms, no leakage",deepseek-r1-distill-llama-70b
16,aaa proteins,"113,000 peptides",2.0,Related to proteins but no 'aaa',deepseek-r1-distill-llama-70b
16,aaa proteins,balance distinctive,1.0,"Unrelated terms, no leakage",deepseek-r1-distill-llama-70b
16,aaa proteins,aa proteins,5.0,Direct match with 'proteins' and similar prefix,deepseek-r1-distill-llama-70b
16,aaa proteins,furloughed metabolites,1.0,"Unrelated terms, minimal leakage",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens pavelić spread lung absorption secretion,3.0,Contains 'antigens' but context is altered with unrelated terms.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens minister by lung turteltaub cell,3.0,Includes 'antigens' with unrelated context.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens admiration guard cancers epithelial cell,4.0,Retains 'antigens' and 'epithelial cell' but adds unrelated terms.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,homologous expressed by embolism clumps signals,2.0,"Alters main terms, less leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens dismay soldiers brain epithelial infect,3.0,Retains some terms with added unrelated words.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,quinolinic expressed by prostate 30.000 cell,2.0,"Alters main terms, less leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen optimism court lung heterochromatin tissue,3.0,Retains partial information with altered context.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by severe secrete cell,3.0,Retains some terms with different context.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,mhc sar haruka esophageal epithelial cells,2.0,"Alters main terms, less leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens atlus by '25 anatomical cell,3.0,Includes 'antigens' with altered context.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,martaban co-owner upregulation,2.0,Minimal leakage. 'Upregulation' relates to biological processes but not specifically to the original terms.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,magnetoencephalography gave pathway,2.0,No direct relation to 'atpase' or 'apoptosis'.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,hcn similar laplaca,2.0,Unrelated terms with no connection to the original concepts.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,human-readable back loosey,1.0,No leakage as terms are unrelated.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,sodium-potassium sponsored inhibition,4.0,Leakage through 'sodium-potassium inhibition' which relates to ATPase function.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,endiem coria apoptotic,5.0,Direct mention of 'apoptotic' relates to apoptosis.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,fueron u.s.-british inhibition,2.0,No specific relation to the original terms.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,m1917 brand apoptosis,5.0,Direct mention of 'apoptosis' causing high leakage.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase delivers apoptosis,5.0,Direct mention of both 'atpase' and 'apoptosis' causing complete leakage.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,zuber consideration apoptotic,4.0,Mention of 'apoptotic' relates to apoptosis with some context.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,suvarna begun bidzos genetics,1.0,No relation to original terms,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,"1,359 races weylandt seawater",1.0,No connection to original content,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,gramos among hairless mice,5.0,Direct mention of 'hairless mice',deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,decarava both farts infants,1.0,Unrelated terms,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,undersecretariat _ egg mice,3.0,Partial mention of 'mice',deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,mucius results cabbage 19.10,1.0,No relevant terms,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,"4,471 picked p6 -1.3",1.0,No connection,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,bivouacked chevrontexaco velvety mites,1.0,No relevant information,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,researcher controlled goodmorning mice,3.0,Partial mention of 'mice',deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,humanism babel hairless rats,2.0,Partial mention of 'hairless',deepseek-r1-distill-llama-70b
25,cause of scleroderma,smell strikes scleroderma,1.0,No relevant information related to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,distress joy 53.7,1.0,No relevant information related to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,abdominal kinmen scleroderma,2.0,Mentions 'scleroderma' but adds unrelated terms.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,deep existence m-25,1.0,No relevant information related to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,infections 2 mrt-3,1.0,No relevant information related to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,homeowner photography scleroderma,2.0,Mentions 'scleroderma' but adds unrelated terms.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,cause madrid scleroderma,5.0,Directly mentions 'cause of scleroderma'.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,continuity cavatina presidencies,1.0,No relevant information related to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,damage of galician-portuguese,1.0,No relevant information related to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,restraining also 1stld,1.0,No relevant information related to the cause of scleroderma.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,rehearse prompted corralled formed cable/satellite reed szenes,1.0,No leakage of information as the text is unrelated to the original content.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,skyhook wave mizner little ingpen rivals followup,1.0,No leakage of information as the text is unrelated to the original content.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,8.98 notions corneau liz 25-20 with tempest,1.0,No leakage of information as the text is unrelated to the original content.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison criminals lavo jettison satisfy margaret anglo-egyptian,2.0,The word 'comparison' is present but used in a different context.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison charge habits diocese hmo athens palmolive,2.0,The word 'comparison' is present but used in a different context.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,compared hides initiatives of kizer medicine gunmetal,2.0,The word 'compared' is present but used in a different context.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,surpass expansion gobble powerful eames control preservation,1.0,No leakage of information as the text is unrelated to the original content.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,compared chiefly lensman of munto lowly extrapolation,2.0,The word 'compared' is present but used in a different context.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,australopithecus chosen sama large ethological currently ó,1.0,No leakage of information as the text is unrelated to the original content.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison network nambaryn engineering probe remarkable gators,2.0,The word 'comparison' is present but used in a different context.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation between sample pumped concealer chain fillet shubert,2.0,Obfuscated text retains the structure 'correlation between' but loses specific information about DNA repair pathways and skin cancer.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation between stenographic equipment sugule everywhere inert kettering,2.0,"Similar to the first obfuscated text, 'correlation between' is present without specific terms.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,discern acrimonious semen repair neural variety shades abbotabad,3.0,The term 'repair' is present but in a different context.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,simonova ago 28-month repairs upper investment strikeforce cancer,4.0,"Both 'repairs' and 'cancer' are present, relating to the original text.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,interplay haunts scramjets darbhanga pathways while estimates neurodegenerative,3.0,The term 'pathways' is present but not in the original context.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,raven-symoné rival semen repair advn slash skin conjoined,4.0,"Both 'repair' and 'skin' are present, indicating partial leakage.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation clans expression bend mediterranean 2 orofacial tumor,2.0,The structure 'correlation' is present but with unrelated terms.,deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,correlation angolan profiling destabilize brain on eot microbial,2.0,"Again, 'correlation' is present but without specific terms.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,orality connecting variation strengthen chooses him grill cancer,3.0,"The term 'cancer' is present, indicating some leakage.",deepseek-r1-distill-llama-70b
8,correlation between dna repair pathways and skin cancer,equality delhi polygraph repairs acclaimed and rum liver,3.0,The term 'repairs' is present but in a different context.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,genomics moscicki men oxidative signs,3.0,Contains 'genomics' and 'oxidative' related to original.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,newbury rebuilding reproduced chrysander psychiatrist,1.0,No relevant terms related to original.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,elongation repair cpi oxidation fracture,3.0,Includes 'repair' and 'oxidation'.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,modules psyches twisted oxidizing dislocation,3.0,Contains 'oxidizing' which is related.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,cell tweak nationalist k-d appropriately,2.0,Mentions 'cell' but not much else.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,rardin repairing aleppo khudoiberdyev happen,2.0,Has 'repairing' but unrelated context.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,dna embedded due enzymes virtual,5.0,Directly includes 'dna' and 'enzymes'.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,topcoat repairing competitive humphrey headaches,2.0,Includes 'repairing' but other terms are unrelated.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,dressers repair exchanges oxidative isolation,4.0,Has both 'repair' and 'oxidative'.,deepseek-r1-distill-llama-70b
7,dna repair and oxidative stress,dna boc personnel enzymes climate,5.0,Includes 'dna' and 'enzymes.',deepseek-r1-distill-llama-70b
17,do1 antibody,forfeits chemically,1.0,No apparent connection to the original text,deepseek-r1-distill-llama-70b
17,do1 antibody,handmade sess,1.0,No relation to 'antibody',deepseek-r1-distill-llama-70b
17,do1 antibody,minutes tuberculin,2.0,"Slight medical context, but no direct link",deepseek-r1-distill-llama-70b
17,do1 antibody,karbala antibody,5.0,Direct mention of 'antibody',deepseek-r1-distill-llama-70b
17,do1 antibody,takht-e antibody,5.0,Direct mention of 'antibody',deepseek-r1-distill-llama-70b
17,do1 antibody,2.1-billion nabataeans,1.0,No connection to 'antibody',deepseek-r1-distill-llama-70b
17,do1 antibody,causal rukavina,1.0,No relation to 'antibody',deepseek-r1-distill-llama-70b
17,do1 antibody,inyambo antibody,5.0,Direct mention of 'antibody',deepseek-r1-distill-llama-70b
17,do1 antibody,centerpieced spectrometer,1.0,No connection to 'antibody',deepseek-r1-distill-llama-70b
17,do1 antibody,tratan antibody,5.0,Direct mention of 'antibody',deepseek-r1-distill-llama-70b
14,expression or regulation of tgfb in hnscc cancers,"context formaldehyde pressure earliest podis usfl 2,200-acre cancers",1.0,Obfuscated text does not contain any relevant information related to the original text.,deepseek-r1-distill-llama-70b
