id,text,obfuscatedText,score,justification,model
16,aaa proteins,lists less,1.0,'lists less' does not contain any information from 'aaa proteins'.,deepseek-r1-distill-llama-70b
16,aaa proteins,uchikawa molecules,3.0,'uchikawa molecules' contains partial information as it refers to 'molecules' which are related to 'proteins'.,deepseek-r1-distill-llama-70b
16,aaa proteins,regiones types,1.0,'regiones types' does not contain any information from 'aaa proteins'.,deepseek-r1-distill-llama-70b
16,aaa proteins,xp socialisme,1.0,'xp socialisme' does not contain any information from 'aaa proteins'.,deepseek-r1-distill-llama-70b
16,aaa proteins,non-eu staining,3.0,'non-eu staining' contains partial information as 'staining' is a technique sometimes used with proteins.,deepseek-r1-distill-llama-70b
16,aaa proteins,69.5 modulating,1.0,'69.5 modulating' does not contain any information from 'aaa proteins'.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa ribosomes,3.0,'aaa ribosomes' contains partial information as it shares the 'aaa' prefix but refers to 'ribosomes' instead of 'proteins'.,deepseek-r1-distill-llama-70b
16,aaa proteins,kottak proteins,3.0,'kottak proteins' contains partial information as it refers to 'proteins' but with a different term 'kottak'.,deepseek-r1-distill-llama-70b
16,aaa proteins,stynes proteins,3.0,'stynes proteins' contains partial information as it refers to 'proteins' but with a different term 'stynes'.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa molecules,5.0,'aaa molecules' contains complete information as it shares the 'aaa' prefix and refers to 'molecules' which are related to 'proteins'.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen sparked derivative volchok from cells,3.0,"Partial keywords retained, partial meaning lost",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,bmps tube by pneumonia gooney light,2.0,Vague relation to context,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,anhydrides kainantu bihong choi glaucous situ,1.0,No relevant terms retained,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen russia 10-cent lung membrane autoimmune,4.0,"Direct keywords retained, significant meaning preserved",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,bích rosa sigmatel pneumonia sangdrol cell,3.0,"Partial keywords retained, partial meaning lost",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,upsetters have apiku bastards fruity blastocyst,1.0,No relevant terms retained,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,tompkinsville 193.1 500 maziarz sesto cell,2.0,Vague relation to context,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,haplogroups premier biweekly chest scruton wheelus,2.0,Vague relation to context,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen post after xanthogaleruca air supply,3.0,"Partial keywords retained, partial meaning lost",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,uwa family by carried epithelial cell,4.0,"Significant keywords retained, significant meaning preserved",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,taw kansas cytokine,1.0,No direct relation to original terms,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,downunder second cannabinoids,1.0,No direct relation to original terms,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,utku counter golvin,1.0,No direct relation to original terms,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,sibel sierra apoptosis,5.0,Direct match with 'apoptosis',deepseek-r1-distill-llama-70b
15,atpase and apoptosis,argerich albanian neurogenic,1.0,No direct relation to original terms,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,mx kotzebue apoptosis,5.0,Direct match with 'apoptosis',deepseek-r1-distill-llama-70b
15,atpase and apoptosis,yuichiro building apoptosis,5.0,Direct match with 'apoptosis',deepseek-r1-distill-llama-70b
15,atpase and apoptosis,acro with percent,1.0,No direct relation to original terms,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,geocast ; apoptosis,5.0,Direct match with 'apoptosis',deepseek-r1-distill-llama-70b
15,atpase and apoptosis,non-western lipiny apoptosis,5.0,Direct match with 'apoptosis',deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,sypniewski racener slathered nuncio,1.0,No relevant terms related to carcinogenesis or mice.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,orahovica edinburgh piquant mice,3.0,"Contains 'mice', partial information leakage.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,lamont vested bald læsø,3.0,"Contains 'bald', implying hairlessness, partial leakage.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,responsible today betweem nottawasaga,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,alytus affordability ruhul pigeons,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,u.s.open pett ideograms mustique,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,ghassem cechmanek zeidi awakens,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,interst united spindly schonberg,1.0,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,30.80 inbal 36.98 humans,2.0,"Contains 'humans', but not specific to mice or carcinogenesis.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,sowme'eh t.f. cornaro skin,3.0,"Contains 'skin', which might relate to hairless mice, partial leakage.",deepseek-r1-distill-llama-70b
25,cause of scleroderma,increases lansing have,1.0,No leakage of information as the obfuscated text does not relate to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,said charter relapses,1.0,No leakage of information as the obfuscated text does not relate to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,"cause 17,100 brichet",3.0,Partial leakage as the word 'cause' is present but context is unclear.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,sowme'eh of 4.58,1.0,No leakage of information as the obfuscated text does not relate to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,gomelauri of nearsightedness,1.0,No leakage of information as the obfuscated text does not relate to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,zubaie co-authored forex.com,1.0,No leakage of information as the obfuscated text does not relate to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,city scheduled scleroderma,3.0,Partial leakage as 'scleroderma' is mentioned but no cause is provided.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,shudra soyuz fayemi,1.0,No leakage of information as the obfuscated text does not relate to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,grachev thousands kaffirs,1.0,No leakage of information as the obfuscated text does not relate to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,accelerate østre evercreech,1.0,No leakage of information as the obfuscated text does not relate to the cause of scleroderma.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,apr. naushad technical report tentacle difference manickam,1.0,No relevant terms related to genetic promoters or the specific genes gal1 and suc1.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,keating materials 2.0.6.16 authentic thomas and playoffs,1.0,No relevant terms related to genetic promoters or the specific genes gal1 and suc1.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,allmänna their conversations rombo wtt monterrey captains,1.0,No relevant terms related to genetic promoters or the specific genes gal1 and suc1.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,comparison banie promoter affairs whiny bozo hirko,3.0,"Contains the word 'comparison' and 'promoter', which are part of the original text.",deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,tastes khattak two-tier capital prefered one 48.78,1.0,No relevant terms related to genetic promoters or the specific genes gal1 and suc1.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,chelimo of celera murder outthink and massapequa,1.0,No relevant terms related to genetic promoters or the specific genes gal1 and suc1.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,arno christian youngson mailrooms editor-in-chief and majdan,1.0,No relevant terms related to genetic promoters or the specific genes gal1 and suc1.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,tchoukball action hedonists drugs jadwiga particularly tzintzuntzan,1.0,No relevant terms related to genetic promoters or the specific genes gal1 and suc1.,deepseek-r1-distill-llama-70b
19,comparison of promoters of gal1 and suc1,.174 opening 3.295 european backfields at fluently,1.0,No relevant terms related to genetic promoters or the specific genes gal1 and suc1.,deepseek-r1-distill-llama-70b
