id,text,obfuscatedText,score,justification,model
16,aaa proteins,torhout protein,0.2,"The word 'protein' is present, but 'torhout' is unrelated to 'aaa'.",llama-3.3-70b-versatile
16,aaa proteins,ratings neutrophils,0.1,The word 'neutrophils' is unrelated to 'aaa proteins'.,llama-3.3-70b-versatile
16,aaa proteins,exx proteins,0.3,"The word 'exx' is similar to 'aaa', and 'proteins' is related.",llama-3.3-70b-versatile
16,aaa proteins,aa microorganisms,0.2,"The word 'microorganisms' is related to 'proteins', but 'aa' is partially related to 'aaa'.",llama-3.3-70b-versatile
16,aaa proteins,powershares genes,0.1,"The word 'genes' is related to 'proteins', but 'powershares' is unrelated to 'aaa'.",llama-3.3-70b-versatile
16,aaa proteins,d-league koshin,0.0,The words 'd-league' and 'koshin' are unrelated to 'aaa proteins'.,llama-3.3-70b-versatile
16,aaa proteins,"113,000 peptides",0.1,"The word 'peptides' is related to 'proteins', but '113,000' is unrelated to 'aaa'.",llama-3.3-70b-versatile
16,aaa proteins,balance distinctive,0.0,The words 'balance' and 'distinctive' are unrelated to 'aaa proteins'.,llama-3.3-70b-versatile
16,aaa proteins,aa proteins,0.8,"The word 'aa' is similar to 'aaa', and 'proteins' is related.",llama-3.3-70b-versatile
16,aaa proteins,furloughed metabolites,0.1,"The word 'metabolites' is related to 'proteins', but 'furloughed' is unrelated to 'aaa'.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens pavelić spread lung absorption secretion,0.2,"The word 'pavelić' is unrelated to the original text, thus the score is 0.2",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens minister by lung turteltaub cell,0.3,"The word 'minister' is unrelated to the original text, thus the score is 0.3",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens admiration guard cancers epithelial cell,0.4,"The word 'admiration' is unrelated to the original text, thus the score is 0.4",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,homologous expressed by embolism clumps signals,0.5,"The word 'homologous' is related to biology, but not directly to the original text, thus the score is 0.5",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens dismay soldiers brain epithelial infect,0.6,"The word 'dismay' is unrelated to the original text, thus the score is 0.6",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,quinolinic expressed by prostate 30.000 cell,0.7,"The word 'quinolinic' is related to biology, but not directly to the original text, thus the score is 0.7",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen optimism court lung heterochromatin tissue,0.8,"The word 'optimism' is unrelated to the original text, thus the score is 0.8",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by severe secrete cell,0.9,"The word 'severe' is related to the original text, thus the score is 0.9",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,mhc sar haruka esophageal epithelial cells,0.1,"The word 'mhc' is related to biology, but not directly to the original text, thus the score is 0.1",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens atlus by '25 anatomical cell,0.1,"The word 'atlus' is unrelated to the original text, thus the score is 0.1",llama-3.3-70b-versatile
15,atpase and apoptosis,martaban co-owner upregulation,0.2,"The word 'upregulation' is related to biological processes, but it's not directly related to 'atpase' or 'apoptosis'.",llama-3.3-70b-versatile
15,atpase and apoptosis,magnetoencephalography gave pathway,0.1,The word 'magnetoencephalography' is not related to 'atpase' or 'apoptosis'.,llama-3.3-70b-versatile
15,atpase and apoptosis,hcn similar laplaca,0.1,The word 'hcn' is not related to 'atpase' or 'apoptosis'.,llama-3.3-70b-versatile
15,atpase and apoptosis,human-readable back loosey,0.0,The text does not contain any related words.,llama-3.3-70b-versatile
15,atpase and apoptosis,sodium-potassium sponsored inhibition,0.3,The words 'sodium-potassium' are related to 'atpase'.,llama-3.3-70b-versatile
15,atpase and apoptosis,endiem coria apoptotic,0.4,The word 'apoptotic' is related to 'apoptosis'.,llama-3.3-70b-versatile
