id,text,obfuscatedText,score,justification,model
16,aaa proteins,aaa proteins,1.0,No leakage: original and obfuscated text are the same,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No leakage: original and obfuscated text are the same,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No leakage: original and obfuscated text are the same,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No leakage: original and obfuscated text are the same,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No leakage: original and obfuscated text are the same,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No leakage: original and obfuscated text are the same,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No leakage: original and obfuscated text are the same,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No leakage: original and obfuscated text are the same,llama-3.3-70b-versatile
16,aaa proteins,22000 proteins,5.0,Complete leakage: obfuscated text reveals different information but still reveals the word proteins,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No leakage: original and obfuscated text are the same,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens appreciation by lung epithelial cells,3.0,"The word 'expressed' is replaced with 'appreciation', which changes the meaning of the text",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,5.0,No change,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase three apoptosis,3.0,Added 'three',llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,5.0,No change,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,5.0,No change,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase contortionists apoptosis,2.0,Added 'contortionists',llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,5.0,No change,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase having apoptosis,3.0,Added 'having',llama-3.3-70b-versatile
15,atpase and apoptosis,atpase with apoptosis,3.0,Added 'with',llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,5.0,No change,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,5.0,No change,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis challenged hairless mice,2.0,The word 'challenged' is added but the original meaning is preserved,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,computer-mediated and hairless mice,5.0,"The word 'carcinogenesis' is replaced with 'computer-mediated', significantly changing the meaning",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis several hairless mice,2.0,The word 'several' is added but the original meaning is preserved,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,The text is identical to the original,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,The text is identical to the original,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,The text is identical to the original,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,The text is identical to the original,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,rhoose and hairless mice,5.0,"The word 'carcinogenesis' is replaced with 'rhoose', significantly changing the meaning",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis ready hairless rats,4.0,"The word 'mice' is replaced with 'rats' and 'ready' is added, changing the meaning",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,semi-documentary and hairless mice,5.0,"The word 'carcinogenesis' is replaced with 'semi-documentary', significantly changing the meaning",llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,causes of scleroderma,4.0,"The obfuscated text is very similar to the original text, with only a minor change from 'cause' to 'causes'",llama-3.3-70b-versatile
25,cause of scleroderma,cause scotland scleroderma,3.0,"The obfuscated text is somewhat similar to the original text, but with a significant change by adding 'scotland'",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters aside luc and lahad,1.0,The words 'gal1' and 'suc1' are completely replaced with unrelated words.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison secured promoters of arab also cumbrae,1.0,The words 'gal1' and 'suc1' are completely replaced with unrelated words.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of cdot musical allward,1.0,The words 'gal1' and 'suc1' are completely replaced with unrelated words.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison increase promoters of kitty families primrose,1.0,The words 'gal1' and 'suc1' are completely replaced with unrelated words.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of branch and overinflated,1.0,The words 'gal1' and 'suc1' are completely replaced with unrelated words.,llama-3.3-70b-versatile
