id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,sociological definition of nature,0.6,Replacing 'anthropological' with 'sociological' and 'environment' with 'nature' keeps some context but changes the focus.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,ethnological definitions making legislation,0.4,"Ethnological is a subset of anthropology, but 'making legislation' changes the meaning.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,entomological definition time resources,0.2,Entomological is unrelated to anthropology and 'time resources' doesn't connect to environment.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,sociological detail republic environment,0.3,"Sociological relates to society, but 'republic environment' shifts the context.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,ethnological definitions initial environment,0.7,"Ethnological is close to anthropological, and 'initial environment' ties back to the original topic.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,archaeology 0-948817-19-4 book environments,0.1,Archaeology is related but uses numbers and 'book environments' which are confusing.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,asiatic definitions of environment,0.5,"Asiatic refers to a region, not the study, but 'definitions of environment' remains relevant.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,petroglyphs typical turn environment,0.2,Petroglyphs are studied in related fields but 'typical turn environment' is vague.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,puzzling defines the agriculture,0.0,No direct relation to the original text's context or terms.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological interpreted final infrastructure,0.5,"'Anthropological' is the same, but 'interpreted final infrastructure' changes the context.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,minutia herpin or roman-catholic plexiglas definition,0.1,"Score: 0.1 - No relevant terms from original text, completely unrelated words.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,third-parties terminals instead plasticity knobs presentation,0.4,Score: 0.4 - Partial match with 'terminals' and 'knobs' but context is different.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,speculates configured much oblanceolate kentuck defines,0.1,"Score: 0.1 - No relevant terms, completely unrelated words.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,labwani furtive non presynaptic knobs hdtv,0.3,Score: 0.3 - Contains 'presynaptic knobs' but unrelated terms.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,synapse terminal sometimes synaptic pee-wee defines,0.5,"Score: 0.5 - Contains 'synapse terminal' and 'synaptic', partial match.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,retract terminal was synaptic knob definitions,0.8,"Score: 0.8 - Contains both 'terminal' and 'synaptic knob', high leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,schwann terminals and/or synaptic montage definition,0.6,"Score: 0.6 - Contains 'synaptic' and 'terminals', partial match.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon offices instead synaptic gunsmiths definition,0.5,"Score: 0.5 - Contains 'axon' and 'synaptic', partial leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,presynaptic terminals or synapse knobs definition,0.9,Score: 0.9 - Direct match with 'presynaptic terminals' and 'synapse knobs'.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,pre-programmed terminals zones synaptic suppose defined,0.7,"Score: 0.7 - Contains 'terminals' and 'synaptic', partial leakage.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause bringing right ventricular b-raf,0.3,"Mentions 'ventricular' but changes 'left' to 'right' and adds 'b-raf', partial leakage.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,unwanted tristan leaving atrial t-junction,0.0,"Unrelated terms, no leakage.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,types the injured ventricular anemic,0.2,"Mentions 'ventricular' but changes 'hypertrophy' to 'anemic', partial leakage.",deepseek-r1-distill-llama-70b
