id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,anthropological definition of maintaining,0.4,"The obfuscated text has replaced the word 'environment' with 'maintaining', which changes the meaning of the original text. However, the context of 'anthropological definition' is still present, indicating some information leakage. The score is 0.4, indicating moderate information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition same environment,0.9,"The obfuscated text is very similar to the original text, with the word 'same' added, which does not significantly change the meaning. This suggests a high level of information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition of environment,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition resulted environment,0.9,"The obfuscated text is almost identical to the original text, with only minor changes, indicating a high level of information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition 39 environment,0.1,"The obfuscated text is very similar to the original text, with only a small numerical value added, indicating minimal information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,confucius definition of environments,0.9,"The obfuscated text is very similar to the original text, with only a minor change in the word 'environment' to 'environments', which is a plural form. This change does not significantly alter the meaning of the text, and the score is therefore close to 1.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition of environment,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition of environment,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition of environment,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition of environment,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals adults synaptic knob definition,0.9,"The obfuscated text is almost identical to the original text, with the addition of the word 'adults', which does not significantly alter the meaning of the text. Therefore, the score is close to 1, indicating almost complete information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is almost identical to the original text, with only minor changes in wording, indicating a high level of information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals either synaptic knob definition,0.9,"The obfuscated text is almost identical to the original text, with only minor changes in wording, such as replacing 'or' with 'either', indicating a high level of information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is almost identical to the original text, with the same key terms and phrases, indicating a high level of information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes perhaps left ventricular hypertrophy,0.8,"The obfuscated text still contains the main keywords 'causes', 'left ventricular hypertrophy', which indicates a high level of information leakage. However, the addition of 'perhaps' introduces some uncertainty, reducing the leakage slightly.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,emergence quality left ventricular hypertrophy,0.8,"The obfuscated text still contains the key terms 'left ventricular hypertrophy', which is the main topic of the original text, but the word 'emergence' and 'quality' are added, which may slightly reduce the information leakage. However, the core information is still preserved, so the score is 0.8.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes broke left ventricular hypertrophy,0.6,"The obfuscated text 'causes broke left ventricular hypertrophy' still contains the key terms 'left ventricular hypertrophy', which is the main topic of the original text. However, the word 'causes' is replaced with 'broke', which changes the meaning of the sentence. This suggests a moderate level of information leakage, as the main topic is still identifiable but the context is altered.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes part left ventricular hypertrophy,0.8,"The obfuscated text 'causes part left ventricular hypertrophy' still contains the key terms 'left ventricular hypertrophy', but the word 'of' is replaced with 'part', which slightly reduces the information leakage. However, the main topic is still easily identifiable, so the score is 0.8",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,cause of left ventricular hypertrophy,0.9,"The obfuscated text is very similar to the original text, with only a minor change from 'causes' to 'cause', indicating a high level of information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes of only ventricular hypertrophy,0.9,"The obfuscated text is very similar to the original text, with only a minor change in the word 'only' being added, which does not significantly alter the meaning of the text.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,1.0,"The obfuscated text is almost identical to the original text, with no significant changes, indicating complete information leakage.",llama-3.3-70b-versatile
