id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,dieng narvik males handel,0.1,"The obfuscated text 'dieng narvik males handel' does not resemble the original text 'anthropological definition of environment' in any way, indicating a very low information leakage score of 0.1",llama-3.3-70b-versatile
19335,anthropological definition of environment,naturalized ghandour ermita linval,0.1,"The obfuscated text 'naturalized ghandour ermita linval' does not resemble the original text 'anthropological definition of environment' in any way, indicating a very low information leakage score of 0.1.",llama-3.3-70b-versatile
19335,anthropological definition of environment,yomi chaton cahn pyrus,0.1,"The obfuscated text 'yomi chaton cahn pyrus' does not contain any recognizable words or phrases related to the original text 'anthropological definition of environment', indicating a low information leakage score of 0.1.",llama-3.3-70b-versatile
19335,anthropological definition of environment,incoming reax republic breakup,0.2,"The obfuscated text does not contain any words related to the original text 'anthropological definition of environment', indicating a low information leakage score of 0.2",llama-3.3-70b-versatile
19335,anthropological definition of environment,guntis checkitout dawei calmus,0.1,"The obfuscated text does not contain any recognizable words or phrases related to the original text 'anthropological definition of environment', indicating a low information leakage score.",llama-3.3-70b-versatile
19335,anthropological definition of environment,hollyoaks focac aiadmk 55-11-3023-3331,0.0,"The obfuscated text does not contain any recognizable words or phrases related to the original text 'anthropological definition of environment', indicating a low information leakage score.",llama-3.3-70b-versatile
19335,anthropological definition of environment,gehman b-17 50-run esd,0.0,The obfuscated text does not contain any information related to the original text 'anthropological definition of environment'.,llama-3.3-70b-versatile
19335,anthropological definition of environment,aguayo teaspoons seq electives,0.0,The obfuscated text does not contain any information related to the original text 'anthropological definition of environment'.,llama-3.3-70b-versatile
19335,anthropological definition of environment,hobey tambon ljubicic howmeh,0.0,The obfuscated text does not contain any information related to the original text 'anthropological definition of environment'.,llama-3.3-70b-versatile
19335,anthropological definition of environment,lithuanian djia role-playing upe,0.0,The obfuscated text does not contain any information related to the original text 'anthropological definition of environment'.,llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,soldierly sgarbi mofaz botswana oly expediency,0.0,"The obfuscated text does not contain any words related to the original text, indicating no information leakage.",llama-3.3-70b-versatile
