id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,sociological definition of nature,3.0,"The obfuscated text uses 'sociological' instead of 'anthropological' and 'nature' instead of 'environment', which are related but distinct concepts.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,ethnological definitions making legislation,2.0,"The obfuscated text uses 'ethnological' instead of 'anthropological' and adds 'making legislation', which alters the meaning significantly.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,entomological definition time resources,1.0,"The obfuscated text uses 'entomological' (related to insects) and 'time resources', which are unrelated to the original concepts.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,sociological detail republic environment,2.0,"The obfuscated text uses 'sociological' instead of 'anthropological' and adds 'republic', which partially preserves the original meaning.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,ethnological definitions initial environment,4.0,"The obfuscated text uses 'ethnological' and 'initial environment', which are closely related to the original concepts.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,archaeology 0-948817-19-4 book environments,1.0,"The obfuscated text uses 'archaeology' and includes 'book environments', which are less related to the original concepts.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,asiatic definitions of environment,3.0,"The obfuscated text uses 'asiatic' (a regional term) and keeps 'environment', partially preserving the original meaning.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,petroglyphs typical turn environment,2.0,"The obfuscated text uses 'petroglyphs' and 'turn environment', which are less related to the original concepts.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,puzzling defines the agriculture,1.0,"The obfuscated text uses 'puzzling' and 'agriculture', which are unrelated to the original concepts.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological interpreted final infrastructure,2.0,"The obfuscated text uses 'anthropological' but changes 'environment' to 'infrastructure', altering the meaning.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,minutia herpin or roman-catholic plexiglas definition,1.0,No leakage as terms are unrelated,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,third-parties terminals instead plasticity knobs presentation,3.0,Some leakage with terms like 'terminals' and 'knobs',deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,speculates configured much oblanceolate kentuck defines,1.0,No leakage as terms are unrelated,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,labwani furtive non presynaptic knobs hdtv,4.0,High leakage with 'presynaptic' and 'knobs',deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,synapse terminal sometimes synaptic pee-wee defines,5.0,Complete leakage with 'synapse',deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,retract terminal was synaptic knob definitions,4.0,Leakage with 'terminal' and 'synaptic knob',deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,schwann terminals and/or synaptic montage definition,3.0,Some leakage with 'terminals' and 'synaptic',deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon offices instead synaptic gunsmiths definition,4.0,Leakage with 'axon' and 'synaptic',deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,presynaptic terminals or synapse knobs definition,5.0,Complete leakage with direct terms,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,pre-programmed terminals zones synaptic suppose defined,3.0,Some leakage with 'terminals' and 'synaptic',deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause bringing right ventricular b-raf,2.0,Some leakage: contains 'ventricular' and 'hypertrophy' but includes unrelated terms.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,unwanted tristan leaving atrial t-junction,1.0,Minimal leakage: unrelated terms and concepts.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,types the injured ventricular anemic,2.0,Some leakage: mentions 'ventricular' but unrelated terms.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes meanwhile he atrial infarction,2.0,Some leakage: mentions 'atrial' but different condition.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause may leaving arrhythmias hypertrophy,2.0,Some leakage: mentions 'hypertrophy' but different condition.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause one leaving atrial hypertrophy,2.0,Some leakage: similar concept but not exact.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause of leaving atrial 47min,1.0,Minimal leakage: unrelated terms.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause part leaving atrial hypertrophy,2.0,Some leakage: similar concept but not exact.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,advocacy leadership leaving atrial hypertrophy,1.0,Minimal leakage: unrelated terms.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause around leaving atrial typeset,1.0,Minimal leakage: unrelated terms.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes apart military vest,2.0,"Contains 'causes' and 'military,' but context is lost.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,occurs original army gaza,3.0,Partially related terms but lacks 'causes' and suicide context.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,parasites up army attacker,2.0,Unrelated to causes or suicide.,deepseek-r1-distill-llama-70b
