id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,anthropological definition the environment,0.9,"The obfuscated text is very similar to the original text, with only a minor change in wording, indicating a high level of information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition pile environment,0.6,"The obfuscated text 'anthropological definition pile environment' has a similar structure to the original text 'anthropological definition of environment', but with the word 'of' replaced by 'pile', which changes the meaning of the sentence. This indicates a moderate level of information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition of environment,0.95,"The obfuscated text is almost identical to the original text, with the word 'of' being present in both, indicating minimal information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,"anthropological definition , environment",0.05,"The obfuscated text is almost identical to the original text, with only a comma added, indicating very little information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition people environment,0.8,"The word 'of' is missing from the obfuscated text, but the core meaning is preserved, so the score is 0.8",llama-3.3-70b-versatile
19335,anthropological definition of environment,volgan definition tests environment,0.2,"The obfuscated text has changed the word 'anthropological' to 'volgan' and 'of' is missing, which significantly alters the meaning of the original text, thus the score is 0.2",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition of environment,0.95,"The obfuscated text is almost identical to the original text, with the same words in the same order, indicating very little information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological hematological of environment,0.7,"The obfuscated text is almost identical to the original text, with the word 'hematological' replacing 'definition', which is a significant change but still conveys some information about the original text.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition of environment,0.99,"The obfuscated text is almost identical to the original text, with the same words in the same order, indicating very little information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition of environment,1.0,"The obfuscated text is almost identical to the original text, with no significant changes, so the information leakage is complete.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals might synaptic knob definition,0.9,"The obfuscated text is very similar to the original text, with only a small change in wording, indicating a high level of information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals ) synaptic knob definition,0.05,"The obfuscated text is almost identical to the original text, with only a minor change in punctuation, indicating very little information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals offered synaptic knob definition,0.9,"The obfuscated text is almost identical to the original text, with only a minor change in the word 'or' to 'offered', which still conveys the same meaning. This suggests a high level of information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob eichsfeld,0.8,"The obfuscated text is almost identical to the original text, with only the last word changed from 'definition' to 'eichsfeld', which is a significant alteration. However, the majority of the text remains the same, indicating a high level of information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals 2.08 synaptic knob definition,0.1,"The obfuscated text is almost identical to the original text, with the addition of a number, indicating minimal information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals lymphoproliferative synaptic knob definition,1.0,"The obfuscated text is almost identical to the original text, with no significant changes, so the information leakage is complete.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,portezuelo two left ventricular hypertrophy,0.8,"The obfuscated text still contains the key phrases 'left ventricular hypertrophy', which is the main topic of the original text, indicating significant information leakage. However, the addition of 'portezuelo two' seems to be an attempt to obfuscate the text, but it does not significantly reduce the information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes latter came ventricular hypertrophy,0.8,"The obfuscated text still contains the key terms 'ventricular hypertrophy' and 'causes', which indicates a significant amount of information leakage from the original text.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,cause sensitivity left ventricular hypertrophy,0.8,"The obfuscated text still contains the key terms 'left ventricular hypertrophy', which is a significant part of the original text, indicating a high level of information leakage. However, the word 'causes' has been replaced with 'cause sensitivity', which slightly reduces the information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes graduating nearly ventricular hypertrophy,0.6,"The obfuscated text still contains the original words 'causes' and 'ventricular hypertrophy', but replaces 'left' with 'graduating nearly', which significantly alters the meaning. This suggests a moderate level of information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes boasting left ventricular hurlbut,0.6,"The obfuscated text still contains the original keywords 'causes' and 'left ventricular', but replaces 'hypertrophy' with 'hurlbut', which is not a medical term related to the original text. This suggests some information leakage, but not complete. Score: 0.6",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,navua of left ventricular hypertrophy,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,"causes of , ventricular hypertrophy",0.9,"The obfuscated text is almost identical to the original text, with the word 'left' missing, indicating a high level of information leakage",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes of gover ventricular hypertrophy,0.9,"The obfuscated text is very similar to the original text, with only a small modification, indicating a high level of information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,chorn of left ventricular hypertrophy,0.9,"The obfuscated text is very similar to the original text, with only a small change in the first word, indicating a high level of information leakage.",llama-3.3-70b-versatile
87452,causes of military suicide,causes of military suicide,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
87452,causes of military suicide,causes unlockables military suicide,0.8,"The obfuscated text still contains the original keywords 'causes', 'military', and 'suicide', but with an additional unrelated word 'unlockables', which does not significantly reduce the information leakage. Therefore, the score is 0.8",llama-3.3-70b-versatile
87452,causes of military suicide,causes of military suicide,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
87452,causes of military suicide,causes of military suicide,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
87452,causes of military suicide,pielach of military suicide,0.7,"The obfuscated text 'pielach of military suicide' is similar to the original text 'causes of military suicide' but with a word replacement, indicating some information leakage.",llama-3.3-70b-versatile
87452,causes of military suicide,causes of military suicide,1.0,"The obfuscated text is identical to the original text, indicating complete information leakage.",llama-3.3-70b-versatile
87452,causes of military suicide,cause of military suicide,0.9,"The obfuscated text is almost identical to the original text, with only a minor change from 'causes' to 'cause', indicating a very high level of information leakage.",llama-3.3-70b-versatile
