id,text,obfuscatedText,score,justification,model
16,aaa proteins,aaa proteins,5.0,No obfuscation; original text is fully revealed.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation; original text is fully revealed.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation; original text is fully revealed.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation; original text is fully revealed.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation; original text is fully revealed.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation; original text is fully revealed.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation; original text is fully revealed.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation; original text is fully revealed.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation; original text is fully revealed.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,5.0,No obfuscation; original text is fully revealed.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
