id,text,obfuscatedText,score,justification,model
16,aaa proteins,remunerative proteins,0.5,"The word 'remunerative' is unrelated to 'aaa', causing partial information leakage.",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,"The text is identical to the original, causing complete information leakage.",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,"The text is identical to the original, causing complete information leakage.",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,"The text is identical to the original, causing complete information leakage.",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,"The text is identical to the original, causing complete information leakage.",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,"The text is identical to the original, causing complete information leakage.",llama-3.3-70b-versatile
16,aaa proteins,aaa 29.37,0.2,"The text contains a number, which may not be related to the original text, causing minimal information leakage.",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,"The text is identical to the original, causing complete information leakage.",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,"The text is identical to the original, causing complete information leakage.",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,"The text is identical to the original, causing complete information leakage.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial vascular,0.8,The word 'vascular' is similar to 'cells'.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressing was lung epithelial cells,0.7,The word 'expressing' is similar to 'expressed'.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens sen. http://www.sunshinetour.com burbidge epithelial cells,0.2,The obfuscated text contains unrelated words and a URL.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens 166.50 by lung epithelial cells,0.6,The obfuscated text contains an unrelated number.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial canadian-produced,0.5,The obfuscated text contains an unrelated word 'canadian-produced'.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens voiced by lung epithelial cells,0.4,The word 'voiced' is similar to 'expressed'.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed bf6 lung epithelial cells,0.3,The obfuscated text contains an unrelated code 'bf6'.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens met by lung epithelial cells,0.1,The word 'met' is not similar to 'expressed'.,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase george apoptosis,0.8,Added irrelevant word,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase including apoptosis,0.7,Added synonym,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase as apoptosis,0.6,Added preposition,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase sigmon apoptosis,0.8,Added irrelevant word,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase filipino apoptosis,0.7,Added adjective,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase hakman apoptosis,0.8,Added irrelevant word,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase accelerating apoptosis,0.9,Added verb,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,The obfuscated text is identical to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis month hairless mice,0.8,"The word 'month' is similar in length to 'and', but has a different meaning.",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis men hairless mice,0.7,"The word 'men' is similar in length to 'and', but has a different meaning.",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis that hairless mice,0.6,"The word 'that' is similar in length to 'and', but has a different meaning.",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis jeng hairless mice,0.5,The word 'jeng' is not similar to 'and' in length or meaning.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,The obfuscated text is identical to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis hmccoy@daytondailynews.com hairless mice,0.4,The email address 'hmccoy@daytondailynews.com' is very different from 'and'.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis lawal hairless mice,0.3,The word 'lawal' is not similar to 'and' in length or meaning.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,The obfuscated text is identical to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,The obfuscated text is identical to the original text.,llama-3.3-70b-versatile
25,cause of scleroderma,inhibits colleges failed,0.0,The obfuscated text does not contain any information related to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,rectified acquiescence scleroderma,0.5,The obfuscated text contains the word 'scleroderma' but with additional unrelated words,llama-3.3-70b-versatile
25,cause of scleroderma,or towns scleroderma,0.2,The obfuscated text contains the word 'scleroderma' but with minimal related context,llama-3.3-70b-versatile
25,cause of scleroderma,straightener and scleroderma,0.1,The obfuscated text contains the word 'scleroderma' but with unrelated words,llama-3.3-70b-versatile
25,cause of scleroderma,cause torontos scleroderma,0.8,The obfuscated text contains the word 'scleroderma' and 'cause' but with an unrelated location,llama-3.3-70b-versatile
25,cause of scleroderma,edegasero@ap.org inwardness scleroderma,0.0,The obfuscated text does not contain any information related to the original text due to the presence of an email address,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,naivete of scleroderma,0.6,The obfuscated text contains the word 'scleroderma' and 'of' but with an unrelated word,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
