id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,anthropological the the organisation,0.1,Contains 'anthropological' but context is different,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,zoological chopko pile recordar,0.0,No related keywords,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,eastpointe definition mayor boinc,0.1,Contains 'definition' but context is different,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,borkelmans came leeds korean,0.0,No related keywords,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,44-man definition people private-owned,0.1,Contains 'definition' but context is different,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,volgan 201.8 tests environment,0.2,Contains 'environment' but lacks 'anthropological' or 'definition',deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition palestinians environment,0.8,Contains both 'anthropological' and 'environment',deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,mutoscope hematological tim environment,0.2,Contains 'environment' but other words are unrelated,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,stratigraphic incomprehensible revered coastal,0.0,No related keywords,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological nigerien puncak environment,0.6,Contains 'anthropological' and 'environment',deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,7-23 250-lap condoned synaptic tannoudji defined,0.3,Contains the word 'synaptic' which is part of the original text but the rest is unrelated.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon some birthright mokokchung nappies omar,0.2,Contains the word 'axon' which is part of the original text but the rest is unrelated.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,club q&amp;a@ajc.com risk synaptic abruptly rushmoor,0.3,Contains the word 'synaptic' which is part of the original text but the rest is unrelated.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or knaap plump sustainability,0.5,"Contains both 'axon' and 'terminals' from the original text, which are key terms.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,2.8-3 sandy ) synaptic ratnasiri flanked,0.3,Contains the word 'synaptic' which is part of the original text but the rest is unrelated.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals 57.50 synaptic tulsi variable,0.7,"Contains both 'axon,' 'terminals,' and 'synaptic' from the original text, which are key terms.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon petrol overcoat synaptic mainbrace eichsfeld,0.5,Contains 'axon' and 'synaptic' which are part of the original text but the rest is unrelated.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon two town synaptic nahd shotty,0.5,Contains 'axon' and 'synaptic' which are part of the original text but the rest is unrelated.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,10.66 sklansky 2.08 synaptic annika masked,0.3,Contains the word 'synaptic' which is part of the original text but the rest is unrelated.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,108.87 terminals lymphoproliferative synaptic zoom tsering,0.6,"Contains both 'terminals' and 'synaptic' from the original text, which are key terms.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,weinshall two habitantes ventricular hypertrophy,0.3,"Score: 0.3. Justification: Contains 'ventricular hypertrophy' but lacks 'left' and 'causes', with unrelated words.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,duodenal split 49.4 ventricular hypertrophy,0.2,"Score: 0.2. Justification: Contains 'ventricular hypertrophy' but lacks 'left' and 'causes', with unrelated words.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause zaporozhye tasmanians ventricular suetsugu,0.4,"Score: 0.4. Justification: Contains 'cause' and 'ventricular' but lacks 'left hypertrophy', with unrelated words.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,individuals emigrating sharply ventricular 10-for-10,0.1,"Score: 0.1. Justification: Contains 'ventricular' but lacks 'left hypertrophy' and 'causes', with unrelated words.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,scab siquijor ronaldo ventricular hurlbut,0.1,"Score: 0.1. Justification: Contains 'ventricular' but lacks 'left hypertrophy' and 'causes', with unrelated words.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,2.9-million of left ventricular hypertrophy,0.7,"Score: 0.7. Justification: Contains 'left ventricular hypertrophy' but lacks 'causes', with a number.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,gonabad about tam matesa hypertrophy,0.2,"Score: 0.2. Justification: Contains 'hypertrophy' but lacks 'left ventricular' and 'causes', with unrelated words.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,honduras often brown ventricular oyez,0.1,"Score: 0.1. Justification: Contains 'ventricular' but lacks 'left hypertrophy' and 'causes', with unrelated words.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes strait schrimm ventricular hypertrophy,0.6,"Score: 0.6. Justification: Contains 'causes' and 'ventricular hypertrophy' but lacks 'left', with unrelated words.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,chorn of ibragim ventricular hypertrophy,0.3,"Score: 0.3. Justification: Contains 'ventricular hypertrophy' but lacks 'left' and 'causes', with unrelated words.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,$ maturity military 2.7-million,0.1,"The obfuscated text contains the word 'military' which is related to the original text 'causes of military suicide', but does not reveal any specific causes of military suicide. The number '2.7-million' might refer to a statistic, but without context, it doesn't directly link to the causes. Thus, the information leakage is minimal.",deepseek-r1-distill-llama-70b
