id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,linguistic definitions great wearable,2.0,"The term 'linguistic' and 'definitions' are present, but 'great wearable' does not relate to the original text.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological meaning dokuz soggy,3.0,"The word 'anthropological' is retained, but the rest of the text is nonsensical.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,beandalis lierde obscuring environment,4.0,The word 'environment' is present but obscured by unrelated terms.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition those climate,3.0,"The term 'anthropological definition' is present, but 'those climate' does not relate.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,ethnographic freeview of tuality,2.0,"The term 'ethnographic' is similar to 'anthropological', but the rest is unclear.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition and comala,2.0,"The term 'anthropological definition' is present but followed by 'and comala', which is unrelated.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,philological what about environment,3.0,"The term 'philological' is related to 'anthropological', but the rest is unclear.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological calorimetric interconnection life,4.0,"The term 'anthropological' is present, but the rest is nonsensical.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,socio-economic defines línea environment,2.0,The term 'socio-economic defines environment' is somewhat related but not entirely clear.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,isobutane uniform true create,1.0,No relation to the original text can be determined.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,carlo marlin or causal vertical defined,1.0,The obfuscated text does not contain any recognizable terms related to the original text.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,kil terminal or plasticity knob sampling,2.0,The obfuscated text partially contains terms related to the original text but with significant alteration.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals grasswren plasticity 2201 defined,3.0,The obfuscated text contains some recognizable terms related to the original text but with some alteration.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon liquefied telepar brainwaves sprite i.e.,4.0,The obfuscated text contains most recognizable terms related to the original text with minor alteration.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,cheserem mtna $ synapses knob clotho,5.0,The obfuscated text contains all recognizable terms related to the original text with little to no alteration.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes of out ventricle diekmann,3.0,1: The obfuscated text contains terms related to the original but does not completely reveal the information.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,aids of struck arrhythmias videocassette,2.0,2: The obfuscated text has some relevance but does not directly correspond to the original information.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes actual with tachycardia hypertrophy,4.0,"3: The obfuscated text contains several key terms from the original, leading to significant information leakage.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause of important diastole bettong,3.0,4: The obfuscated text includes some relevant terms but does not fully disclose the original information.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,zadar of office ventricular raue,1.0,"5: The obfuscated text is very similar to the original, revealing most of the information.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause its left ventricular hyperplasia,5.0,"6: The obfuscated text closely resembles the original, indicating high information leakage.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause vruhl middle ventricular stear,2.0,"7: The obfuscated text contains minimal relevant terms, resulting in low information leakage.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,proliferated of off atrial misfolded,3.0,8: The obfuscated text has some relation to the original topic but does not leak specific information.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes revelry wright hypertrophy ventricle,4.0,"9: The obfuscated text includes key terms from the original, leading to significant leakage.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,tiredness elizabeth left systole physiologic,2.0,10: The obfuscated text has some relevant terms but does not fully disclose the original information.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,furthermore 743 military costin,2.0,contains military and costin which is similar to 'causes of military suicide' but with some distortion.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of schmidt sadc,1.0,contains 'causes of' but with unrelated terms.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,stimulation of soldiers bombers,3.0,relates to military but not suicide causes.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,been the army 3ot,2.0,vaguely related to military but not suicide.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,resulting manitoba military death,3.0,military death but not suicide causes.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,cause varying personnel chodos,2.0,contains 'cause' but unrelated context.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,rather entire army bombers,2.0,military context but not suicide.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,autism history command attacks,1.0,unrelated to military suicide.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,naeim of forces kyösti,1.0,unrelated terms.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,cause implies napoleon bombers,1.0,contains 'cause' but unrelated.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost team ministry experts camry,2.0,Score: 2 - The obfuscated text contains the word 'cost' but no other relevant information from the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of ministry crankily 118.93,3.0,"Score: 3 - The obfuscated text contains 'cost of' and a number, which could indicate a cost value.",deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,4.5 chairmen within piled linoleum,1.0,Score: 1 - The obfuscated text does not contain any relevant information from the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost kharitonov is concrete fingerprint,4.0,"Score: 4 - The obfuscated text contains both 'cost' and 'concrete', which are key elements from the original text.",deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,easy artifacts rather precast flooring,3.0,Score: 3 - The obfuscated text contains 'flooring' but no specific cost-related information.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost portrait ministry build-up hardwood,3.0,Score: 3 - The obfuscated text contains 'cost' but no other relevant information from the original text.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,costing of riders mural flooring,3.0,Score: 3 - The obfuscated text contains 'costing' and 'flooring' but no specific details about 'interior concrete flooring'.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,costing of interior slabs isostatic,3.0,Score: 3 - The obfuscated text contains 'costing of interior' which relates to the original text but replaces 'flooring' with 'slabs'.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost stretches ulibarri the flooring,3.0,Score: 3 - The obfuscated text contains 'cost' and 'flooring' but no specific details about 'interior concrete flooring'.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,ouden which qad concrete ludmilla,2.0,Score: 2 - The obfuscated text contains 'concrete' but no other relevant information from the original text.,deepseek-r1-distill-llama-70b
1106007,define visceral?,defining gemex,1.0,No leakage: 'gemex' is unrelated to 'visceral'.,deepseek-r1-distill-llama-70b
1106007,define visceral?,corbusier constrictor,1.0,No leakage: completely unrelated terms.,deepseek-r1-distill-llama-70b
1106007,define visceral?,1/11 omalanga,1.0,No leakage: numbers and unrelated word.,deepseek-r1-distill-llama-70b
1106007,define visceral?,define giuseppe,1.0,"No leakage: 'giuseppe' is a name, not related.",deepseek-r1-distill-llama-70b
1106007,define visceral?,define 44-6,1.0,No leakage: numbers replace the term.,deepseek-r1-distill-llama-70b
1106007,define visceral?,defines interior,3.0,Partial leakage: 'interior' relates to 'visceral' contextually.,deepseek-r1-distill-llama-70b
1106007,define visceral?,99.04 creative,1.0,No leakage: numbers and vague term.,deepseek-r1-distill-llama-70b
1106007,define visceral?,categorize sinfonietta,1.0,No leakage: unrelated action and term.,deepseek-r1-distill-llama-70b
1106007,define visceral?,liven bu,1.0,No leakage: unrelated terms.,deepseek-r1-distill-llama-70b
1106007,define visceral?,orientation brantling,1.0,No leakage: unrelated action and term.,deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,escoffier interpleader judgement,2.0,"The word 'interpleader' is a legal term similar to 'declaratory judgment', so partial leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,curriculum telegraphed judgment,2.0,"'Curriculum' and 'telegraphed' are unrelated but 'judgment' is present, so partial leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,defines dc-7 judgement,2.0,"'Defines' relates to 'definition' and 'judgement' is present, so some leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,curmudgeonly declaratory offending,2.0,"'Declaratory' is retained, so partial leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,definition declaratory giganteus,4.0,"Both 'definition' and 'declaratory' are present, causing high leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,physics-based horiguchi judgement,2.0,"'Judgement' is present but other terms are unrelated, partial leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,definition wonkish judgment,2.0,"'Definition' is present, causing some leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,debasis panzerkorps judgment,2.0,"'Judgment' is present but other terms are unrelated, partial leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,definition mhaga presumption,2.0,"'Definition' is present, causing some leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,defined t-35 same,2.0,"'Defined' relates to 'definition', causing partial leakage.",deepseek-r1-distill-llama-70b
131843,definition of a sigmet,defined musina manifestation rucksack,1.0,"1: 'defined musina manifestation rucksack' - No relation to sigmet, vague terms.",deepseek-r1-distill-llama-70b
131843,definition of a sigmet,defines or tapeworm funjet,2.0,2: 'defines or tapeworm funjet' - Slight connection via 'funjet' but too vague.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,avita created another dziennik,2.0,2: 'avita created another dziennik' - 'Avita' relates to aviation but no direct sigmet link.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,definition of tuhv andresol,3.0,3: 'definition of tuhv andresol' - Similar structure but unrelated content.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,glacialis sports looks siezed,1.0,1: 'glacialis sports looks siezed' - No connection to sigmet.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,i.e. 1184 close dry-season,2.0,2: 'i.e. 1184 close dry-season' - 'close dry-season' relates to weather but not sigmet.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,it backing a 1919-1921,1.0,1: 'it backing a 1919-1921' - No relevant context.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,definition monument non-act tpn,3.0,3: 'definition monument non-act tpn' - 'Definition' present but unrelated.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,defined certain san serpa,2.0,2: 'defined certain san serpa' - 'Defined' present but no sigmet connection.,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,mathematical bohuslän after ratra,1.0,1: 'mathematical bohuslän after ratra' - No relevant terms.,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,emotion of format understands these a vishwavidyalaya downer,1.0,No leakage of information.,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,advantage clashes helped waddock 10.64 new double cheeseburger,4.0,"Contains 'double cheeseburger', indicating high leakage.",deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,next peter as domestic both note whopper cheeseburger,3.0,"Mentions 'whopper cheeseburger', some leakage.",deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,perjuangan between called marzuq melin another twice cheeseburgers,4.0,"Contains 'between' and 'cheeseburgers', some leakage.",deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,owners ; loser duffy etc. took brufau cheeseburger,4.0,"Includes 'cheeseburger', some leakage.",deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,change called a katzmann aspects a double wannasathit,4.0,"Contains 'double', some leakage.",deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,"yet betwee ministry scheme , wife 39.35 kudrin",1.0,"No relevant keywords, no leakage.",deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,nailing about mockumentary grouped _ a scoundrels cheeseburger,4.0,"Mentions 'cheeseburger', some leakage.",deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,geschichten groups a wmf miscommunications 132.30 malthusian pizza,1.0,"No relevant keywords, no leakage.",deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,3 yugas a jonbenet occasion another trap cheeseburgers,4.0,"Mentions 'cheeseburgers', some leakage.",deepseek-r1-distill-llama-70b
148538,difference between rn and bsn,than between 64 north innervates,1.0,The text 'than between 64 north innervates' does not contain any information related to the original text 'difference between rn and bsn'.,deepseek-r1-distill-llama-70b
148538,difference between rn and bsn,money country uis took mississipi,1.0,The text 'money country uis took mississipi' does not contain any information related to the original text 'difference between rn and bsn'.,deepseek-r1-distill-llama-70b
148538,difference between rn and bsn,"difference 100,000-200 rn added o'riordan",5.0,"The text 'difference 100,000-200 rn added o'riordan' contains 'rn', which is part of the original text 'difference between rn and bsn'.",deepseek-r1-distill-llama-70b
148538,difference between rn and bsn,difference about currier multi-purpose seafirst,2.0,"The text 'difference about currier multi-purpose seafirst' contains 'difference', which is part of the original text 'difference between rn and bsn', but it does not contain 'rn' or 'bsn'.",deepseek-r1-distill-llama-70b
