id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,anthropological definition of maintaining,0.8,"Maintains 'anthropological definition' but changes 'environment' to 'maintaining', leading to partial leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition same environment,0.85,"Preserves 'anthropological definition' and includes 'environment' with an additional word, causing partial leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological quasi of future,0.2,"Only 'anthropological' remains; the rest is changed, resulting in minimal leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,järvinen definition resulted environment,0.3,"Changes 'anthropological' to 'järvinen' and alters the end, leading to low leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition 69 environment,0.6,"Inserts '69' before 'environment', causing partial leakage but with some distortion.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,confucius digital of environments,0.1,"Changes to 'confucius digital of environments', significantly altering the meaning and reducing leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition of environment,1.0,"Identical to the original text, resulting in complete leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition biggest environment,0.9,"Adds 'biggest' before 'environment', maintaining most of the original meaning with slight modification.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition of environment,1.0,"Identical to the original text, resulting in complete leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition of environment,1.0,"Identical to the original text, resulting in complete leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,Identical to original text; no obfuscation.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,1.0,Identical to original text; no obfuscation.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals adults synaptic knob definition,0.8,Added word 'adults' disrupts meaning but retains core terms.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals afraid synaptic knob definition,0.7,"Inserted word 'afraid' disrupts meaning, reducing clarity.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals 360 synaptic knob definition,0.6,"Added '360' introduces ambiguity, reducing clarity.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon gates or synaptic knob definition,0.5,"Replaced 'terminals' with 'gates,' altering meaning.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals either synaptic knob definition,0.7,"Inserted 'either' causes confusion, reducing clarity.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon input or synaptic knob definition,0.5,"Replaced 'terminals' with 'input,' altering meaning.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,suproleague longshoremen or synaptic knob definition,0.3,"Introduced nonsensical terms, reducing clarity.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic hellickson definition,0.2,"Replaced 'knob' with 'hellickson,' making definition unclear.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes mass left ventricular hypertrophy,0.3,The word 'mass' is incorrect but retains some original meaning.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,conscience quality left ventricular hypertrophy,0.2,The term 'conscience quality' doesn't relate to the original context.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes broke left ventricular hypertrophy,0.3,The word 'broke' is incorrect but some information is retained.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes of suffered ventricular hypertrophy,0.4,The word 'suffered' is incorrect and adds inaccuracy.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes part left ventricular hypertrophy,0.3,The word 'part' is incorrect and alters the meaning.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,sticky of left ventricular hypertrophy,0.1,The word 'sticky' is completely incorrect and nonsensical.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,1.0,"This is identical to the original text, so it's fully leaked.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause became left ventricular hypertrophy,0.3,The phrase 'cause became' is grammatically incorrect.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes years only ventricular hypertrophy,0.3,The phrase 'years only' is incorrect and alters the meaning.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,deaths of left ventricular hypertrophy,0.2,The word 'deaths' changes the context entirely.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,1.0,Same as original text.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,1.0,Same as original text.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,1.0,Same as original text.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes part military suicide,0.8,Partially altered but retains most information.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,1.0,Same as original text.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,accompanies of military suicide,0.5,Word substitution changes meaning but retains some context.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,mignon of military suicide,0.1,"Unrelated word, minimal information retained.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,cause of military suicide,0.9,"Singular form, slightly different but similar meaning.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,side-effects of military suicide,0.4,Context changed from causes to effects.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of elements suicide,0.3,"Subject changed, some information retained.",deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost seattle interior concrete flooring,0.8,"The obfuscated text adds the word 'seattle', which might indicate location but does not obscure the original intent.",deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,"230,000 of interior concrete flooring",0.9,"The number '230,000' likely represents the cost, maintaining significant information leakage.",deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,goes of interior concrete hardwood,0.3,"The word 'goes' and 'hardwood' alter the original meaning, reducing leakage.",deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost hunt interior concrete flooring,0.7,The addition of 'hunt' slightly obscures but maintains the core information.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost ; interior concrete flooring,0.8,"The semicolon does not affect the leakage, keeping the core content intact.",deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost background interior concrete flooring,0.8,Adding 'background' slightly obscures but preserves the main information.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete furniture,0.4,"Replacing 'flooring' with 'furniture' changes the context, reducing leakage.",deepseek-r1-distill-llama-70b
