id,text,obfuscatedText,score,justification,model
16,aaa proteins,brochure sustaining,0.2,"Unrelated terms, minimal leakage",llama-3.3-70b-versatile
16,aaa proteins,hep molecules,0.1,"Unrelated terms, minimal leakage",llama-3.3-70b-versatile
16,aaa proteins,aaa types,0.6,"Similar term, moderate leakage",llama-3.3-70b-versatile
16,aaa proteins,newsletter proteins,0.8,"Similar term, high leakage",llama-3.3-70b-versatile
16,aaa proteins,aaa enzymes,0.7,"Similar term, high leakage",llama-3.3-70b-versatile
16,aaa proteins,aa tissues,0.4,"Similar term, moderate leakage",llama-3.3-70b-versatile
16,aaa proteins,aaa enzymes,0.7,"Similar term, high leakage",llama-3.3-70b-versatile
16,aaa proteins,gierasch formation,0.3,"Unrelated terms, minimal leakage",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,"Identical term, complete leakage",llama-3.3-70b-versatile
16,aaa proteins,aaa protein,0.9,"Similar term, high leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen concern derivative volchok which cells,0.2,"The word 'antigen' is present, but the context is altered.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,bmps doubt by pneumonia green-colored tissues,0.1,The text does not contain relevant information.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,mysliveček attorneys-general by diagnosed epithelium cell,0.1,"The word 'epithelium' is present, but the context is altered.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens voiced adek lung membrane tissue,0.6,"The words 'antigens' and 'lung' are present, but the context is slightly altered.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,hassanat expressed gaacx pneumonia epithelial cell,0.4,"The words 'expressed' and 'epithelial cell' are present, but the context is altered.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,disfavored have by pneumonia necrosis embryo,0.0,The text does not contain relevant information.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens franchuk ago thakre epithelium cell,0.5,"The words 'antigens' and 'epithelium cell' are present, but the context is altered.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,haplogroups met biweekly chest erlach fibroblasts,0.0,The text does not contain relevant information.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen expressing after small-cell surface cells,0.7,"The words 'antigen' and 'expressing' are present, and the context is slightly altered.",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,lomibao his was carried epithelial cell,0.3,"The word 'epithelial cell' is present, but the context is altered.",llama-3.3-70b-versatile
15,atpase and apoptosis,homeworld arizona neuronal,0.2,"The word 'neuronal' is unrelated to the original text, but 'homeworld arizona' seems to be a distraction, hence a low score.",llama-3.3-70b-versatile
15,atpase and apoptosis,protozoans through inhibition,0.1,"The words 'protozoans' and 'inhibition' are not directly related to the original text, hence a low score.",llama-3.3-70b-versatile
15,atpase and apoptosis,atpase counter translocation,0.8,"The word 'atpase' is present in the original text and 'counter translocation' seems related, hence a high score.",llama-3.3-70b-versatile
15,atpase and apoptosis,ukai and k.j.,0.0,"The names 'ukai and k.j.' seem unrelated to the original text, hence a zero score.",llama-3.3-70b-versatile
15,atpase and apoptosis,bustling albanian apoptosis,0.7,"The word 'apoptosis' is present in the original text, but 'bustling albanian' seems to be a distraction, hence a moderate score.",llama-3.3-70b-versatile
15,atpase and apoptosis,domain bankrupt excitotoxicity,0.3,"The words 'domain', 'bankrupt', and 'excitotoxicity' seem unrelated to the original text, hence a low score.",llama-3.3-70b-versatile
15,atpase and apoptosis,yuichiro and mitochondrial,0.2,"The name 'yuichiro' and the word 'mitochondrial' seem related to the original text, but not directly, hence a moderate score.",llama-3.3-70b-versatile
15,atpase and apoptosis,acro and apoptosis,0.6,"The word 'apoptosis' is present in the original text, but 'acro' seems to be a distraction, hence a moderate score.",llama-3.3-70b-versatile
15,atpase and apoptosis,geocast all apoptotic,0.5,"The words 'geocast', 'all', and 'apoptotic' seem related to the original text, but not directly, hence a moderate score.",llama-3.3-70b-versatile
15,atpase and apoptosis,atpase lipiny apoptosis,0.9,"The words 'atpase' and 'apoptosis' are both present in the original text, hence a high score.",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,dunch racener slathered rats,0.2,"The words 'dunch' and 'racener' are not similar to 'carcinogenesis', but 'slathered rats' is somewhat similar to 'hairless mice'.",llama-3.3-70b-versatile
