id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,declaration ya-ya 0.8230 consob,0.1,"declaration ya-ya 0.8230 consob: The word 'declaration' could relate to a statement or definition, but other elements are unrelated, so low leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,steny nahuatl dokuz croats,0.3,"steny nahuatl dokuz croats: 'Nahuatl' relates to anthropology, and 'croats' to ethnicity, but not directly to environment or definition, moderate leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,beandalis mprf coefficient multihit,0.1,"beandalis mprf coefficient multihit: Technical terms with no clear relation to the original text, very low leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,henredon mladic common park,0.2,"henredon mladic common park: 'Common park' relates to environment, but not directly to anthropology or definition, low leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anglo-burmese freeview galloping land-use,0.4,"anglo-burmese freeview galloping land-use: 'Land-use' relates to environment, higher leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,multiagency nexstar along masuo,0.1,"multiagency nexstar along masuo: No clear connection to the original text, very low leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,"floating-point guggenheim 33,750 equation",0.1,"floating-point guggenheim 33,750 equation: Cultural reference but no direct connection, very low leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,superkombat trivias interconnection yogas,0.1,"superkombat trivias interconnection yogas: No clear connection, very low leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,non-feature musicales anyang coxnet,0.1,"non-feature musicales anyang coxnet: No clear connection, very low leakage.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,mmbtu 212-556-1927 10-26 with,0.1,"mmbtu 212-556-1927 10-26 with: Random numbers and units, no connection, very low leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,goalkeeper marlin fc wildmon against newsfeatures,0.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,manolos wallonia amyotrophic trolley coxohio.com lajcak,0.3,"Contains 'amyotrophic', which relates to ALS, a neurological condition.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,30-sept kindleberger chaunte prime-time hanescu .323,0.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,"sprain 116.66 sodor 49,030 sea qahira",0.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,sadriyah sgurr $ parietal coex bican,0.2,"Contains 'parietal', which relates to the brain.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,thorne petén dollars malayo-polynesian energy ρ,0.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,84-day ortsgemeinden nelida artiodactyl meineke husted,0.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,sallam hinchinbrook are o'clock rolandas woese,0.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,ertl 0130 buskerud 1-aug 93.1 chapel-shrine,0.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,32-cent awori postpartum cichlids super saint-jacques,0.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,sibaja they andrea hepatic coreno,0.1,The obfuscated text does not contain any meaningful information related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,qatar grabów palin 51-man flyers,0.1,The obfuscated text does not contain any meaningful information related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,per bbo kilograms dreamcast qalandia,0.1,The obfuscated text does not contain any meaningful information related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,protein greek guntis gandois rangana,0.1,The obfuscated text does not contain any meaningful information related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,zadar tamoun office 114-113 wilonsky,0.1,The obfuscated text does not contain any meaningful information related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,special council 22-state ndf 23.65,0.1,The obfuscated text does not contain any meaningful information related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,euro630 fuh lavrov rodino ntuyahaga,0.1,The obfuscated text does not contain any meaningful information related to the original text.,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,chromium shlomo der y murshidabad,0.1,The obfuscated text does not contain any meaningful information related to the original text.,deepseek-r1-distill-llama-70b
