id,text,obfuscatedText,score,justification,model
16,aaa proteins,aaa proteins,1.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,1.0,No obfuscation,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of kurland and lowenbrau,0.2,"The obfuscated text still contains the word 'promoters' and 'comparison', which is similar to the original text.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of assembled and alternately,0.1,The obfuscated text does not contain any similar words to the original text.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of boubker and imola,0.2,"The obfuscated text still contains the word 'promoters' and 'comparison', which is similar to the original text.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of kitty and jasmine,0.1,The obfuscated text does not contain any similar words to the original text.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of probably and overinflated,0.0,The obfuscated text does not contain any similar words to the original text.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of krey and sölvi,0.2,"The obfuscated text still contains the word 'promoters' and 'comparison', which is similar to the original text.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of diluent and pannal,0.1,The obfuscated text does not contain any similar words to the original text.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of canberra and fabric,0.1,The obfuscated text does not contain any similar words to the original text.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of swapping and highton,0.1,The obfuscated text does not contain any similar words to the original text.,llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of fofana and nowadays,0.1,The obfuscated text does not contain any similar words to the original text.,llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
