id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,linguistic definitions great wearable,0.2,"The obfuscated text 'linguistic definitions great wearable' does not convey the same meaning as the original text 'anthropological definition of environment'. However, it does contain the word 'definitions' which is related to the original text. The score is 0.2 because the obfuscated text only partially reveals the information in the original text.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological meaning dokuz soggy,0.4,"The obfuscated text still contains the word 'anthropological' which is present in the original text, indicating some information leakage. However, the rest of the text is obfuscated, reducing the overall leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,beandalis lierde obscuring environment,0.8,"The obfuscated text still contains the word 'environment' which is present in the original text, indicating significant information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition those climate,0.7,"The obfuscated text still contains the word 'anthropological' and 'definition', which are key components of the original text, indicating a significant amount of information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,ethnographic freeview of tuality,0.2,"The obfuscated text 'ethnographic freeview of tuality' does not convey the same meaning as the original text 'anthropological definition of environment'. However, 'ethnographic' is related to 'anthropological' and 'environment' is somewhat related to 'tuality', but 'freeview' is unrelated. The score is 0.2 because there is some minor semantic connection between the words, but the overall meaning is not preserved.",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological definition and comala,0.7,"The obfuscated text still contains the word 'anthropological' and 'definition', which are key components of the original text, indicating a significant amount of information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,philological what about environment,0.8,"The obfuscated text still contains the word 'environment' which is present in the original text, and also the word 'philological' is related to 'anthropological' in terms of field of study, indicating a significant information leakage",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological calorimetric interconnection life,0.4,"The obfuscated text still contains the word 'anthropological' and 'definition' which are present in the original text, but other words are changed or missing, indicating partial information leakage.",llama-3.3-70b-versatile
19335,anthropological definition of environment,socio-economic defines línea environment,0.8,"The obfuscated text still contains the word 'environment' which is present in the original text, and also has the word 'defines' which is similar to 'definition' in the original text, indicating a significant information leakage",llama-3.3-70b-versatile
19335,anthropological definition of environment,isobutane uniform true create,0.0,"The obfuscated text 'isobutane uniform true create' does not contain any relevant information from the original text 'anthropological definition of environment', thus the score is 0",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,carlo marlin or causal vertical defined,0.4,"The obfuscated text has similar structure and word length as the original text, but with completely different words, indicating a moderate level of information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,kil terminal or plasticity knob sampling,0.4,"The obfuscated text 'kil terminal or plasticity knob sampling' still contains some similar words and concepts related to the original text 'axon terminals or synaptic knob definition', such as 'terminal' and 'knob', indicating some information leakage. However, the context and meaning have been altered significantly, reducing the leakage. Therefore, a score of 0.4 is assigned.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon terminals grasswren plasticity 2201 defined,0.7,"The obfuscated text 'axon terminals grasswren plasticity 2201 defined' still contains the key terms 'axon terminals' and 'defined' from the original text 'axon terminals or synaptic knob definition', indicating significant information leakage. However, the addition of 'grasswren', 'plasticity', and '2201' introduces some level of obfuscation. Given this, the score is 0.7.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon liquefied telepar brainwaves sprite i.e.,0.2,"The obfuscated text still contains the word 'axon' which is present in the original text, indicating some information leakage. However, the rest of the text has been significantly altered, reducing the overall information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,cheserem mtna $ synapses knob clotho,0.2,"The obfuscated text 'cheserem mtna $ synapses knob clotho' has some similarity to the original text 'axon terminals or synaptic knob definition' in terms of the presence of the word 'knob' and a reference to a neurological concept ('synapses' vs 'axon terminals' and 'synaptic'), but the majority of the text is unrelated, indicating a score of 0.2 for information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,chukwurah terminals any synaptic knob definition,0.8,"The obfuscated text 'chukwurah terminals any synaptic knob definition' closely resembles the original text 'axon terminals or synaptic knob definition', with similar structure and key terms, indicating a high level of information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon ortsgemeinden c6 inhibitory takhat definitions,0.4,"The obfuscated text 'axon ortsgemeinden c6 inhibitory takhat definitions' still contains the word 'axon' which is present in the original text, indicating some information leakage. However, other key terms like 'terminals' and 'synaptic knob' are not present or are significantly altered, reducing the overall information leakage. The score is 0.4, reflecting a moderate level of information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axon hinchinbrook other synaptic knob watson,0.6,"The obfuscated text 'axon hinchinbrook other synaptic knob watson' still contains the key terms 'axon' and 'synaptic knob', which are present in the original text 'axon terminals or synaptic knob definition'. However, the surrounding context and words have been altered, indicating some level of obfuscation. The score is 0.6 because while some information is still leaked, the changes make it less direct.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,synapse approving or rashba cheyenne mid-19th,0.1,"The obfuscated text 'synapse approving or rashba cheyenne mid-19th' has very little resemblance to the original text 'axon terminals or synaptic knob definition', with no key terms matching, indicating minimal information leakage.",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,euro171 computer life-threatening plasticity camp blu,0.1,"The obfuscated text 'euro171 computer life-threatening plasticity camp blu' has very little resemblance to the original text 'axon terminals or synaptic knob definition', with no key terms or phrases matching, indicating a low information leakage score of 0.1",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes of out ventricle diekmann,0.4,"The obfuscated text still contains the word 'causes' and 'ventricle', which are key terms in the original text, indicating some information leakage. However, 'left' is replaced with 'out' and 'hypertrophy' is replaced with 'diekmann', which reduces the information leakage. Therefore, a score of 0.4 is assigned, indicating moderate information leakage.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,aids of struck arrhythmias videocassette,0.1,"The obfuscated text 'aids of struck arrhythmias videocassette' has very little resemblance to the original text 'causes of left ventricular hypertrophy', indicating a low information leakage score of 0.1 due to the lack of similar words or phrases.",llama-3.3-70b-versatile
87181,causes of left ventricular hypertrophy,causes actual with tachycardia hypertrophy,0.8,"The obfuscated text still contains the key words 'causes', 'hypertrophy', and 'tachycardia' which are related to the original text 'causes of left ventricular hypertrophy', indicating significant information leakage.",llama-3.3-70b-versatile
