id,text,obfuscatedText,score,justification,model
16,aaa proteins,aaa molecules,0.8,High similarity in keywords,llama-3.3-70b-versatile
16,aaa proteins,aa protein,0.6,Partial keyword match,llama-3.3-70b-versatile
16,aaa proteins,aa protein,0.6,Partial keyword match,llama-3.3-70b-versatile
16,aaa proteins,aa proteins,0.7,Partial keyword match with plural form,llama-3.3-70b-versatile
16,aaa proteins,aaa protein,0.9,High similarity in keywords with minor variation,llama-3.3-70b-versatile
16,aaa proteins,aa protein,0.6,Partial keyword match,llama-3.3-70b-versatile
16,aaa proteins,aaa protein,0.9,High similarity in keywords with minor variation,llama-3.3-70b-versatile
16,aaa proteins,aa protein,0.6,Partial keyword match,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,0.8,High similarity in keywords,llama-3.3-70b-versatile
16,aaa proteins,aaa protein,0.9,High similarity in keywords with minor variation,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen expressing being lung epithelium cells,0.8,Similar phrase structure and word usage,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen expressing by cancer epithelium cell,0.4,Different disease context,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen expressing accompanied diagnosed epithelium cell,0.2,Unrelated medical context,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressing partly lung epithelial cell,0.7,Similar phrase structure and partial word match,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen expressed being cancer epithelial cell,0.3,Different disease context,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen expressing by lungs epithelium cells,0.9,Similar phrase structure and word usage,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressing by emphysema epithelium cell,0.1,Unrelated medical context,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen expressing by cancer epithelium cell,0.4,Different disease context,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen expressing being lung epithelial cells,0.8,Similar phrase structure and word usage,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen expressing was lungs epithelial cell,0.6,Similar phrase structure and word usage,llama-3.3-70b-versatile
15,atpase and apoptosis,mao-a both neuronal,0.2,low leakage due to term change,llama-3.3-70b-versatile
15,atpase and apoptosis,atpases both inhibition,0.1,low leakage due to term change,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase both apoptotic,0.6,medium leakage due to related term,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and p53,0.1,low leakage due to unrelated term,llama-3.3-70b-versatile
15,atpase and apoptosis,atpases and apoptosis,0.7,medium leakage due to related term,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase . autophagy,0.2,low leakage due to unrelated term,llama-3.3-70b-versatile
15,atpase and apoptosis,atpases and apoptotic,0.6,medium leakage due to related term,llama-3.3-70b-versatile
15,atpase and apoptosis,sodium-potassium and apoptosis,0.1,low leakage due to unrelated term,llama-3.3-70b-versatile
15,atpase and apoptosis,atpases both apoptotic,0.6,medium leakage due to related term,llama-3.3-70b-versatile
15,atpase and apoptosis,"atpase , apoptosis",0.6,medium leakage due to related term,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,oncogenesis __________________________________ hairy mice,0.2,The word 'oncogenesis' is related to 'carcinogenesis' and 'hairy mice' is similar to 'hairless mice'.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,tumorigenesis and scaly mice,0.1,The word 'tumorigenesis' is related to 'carcinogenesis' but 'scaly mice' is different from 'hairless mice'.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis both leathery rats,0.8,"The word 'carcinogenesis' is the same as in the original text, but 'leathery rats' is different from 'hairless mice'.",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,bb94 both hairy rats,0.0,The text 'bb94 both hairy rats' does not contain any similar words to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,"lysekil , hairy rats",0.0,"The text 'lysekil , hairy rats' does not contain any similar words to the original text.",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,scribing both hairless rats,0.3,The word 'scribing' is not related to 'carcinogenesis' but 'hairless rats' is similar to 'hairless mice'.,llama-3.3-70b-versatile
