id,text,obfuscatedText,score,justification,model
16,aaa proteins,aaa proteins,0.0,"No information leakage, the obfuscated text is the same as the original text",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,0.0,"No information leakage, the obfuscated text is the same as the original text",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,0.0,"No information leakage, the obfuscated text is the same as the original text",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,0.0,"No information leakage, the obfuscated text is the same as the original text",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,0.0,"No information leakage, the obfuscated text is the same as the original text",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,0.0,"No information leakage, the obfuscated text is the same as the original text",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,0.0,"No information leakage, the obfuscated text is the same as the original text",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,0.0,"No information leakage, the obfuscated text is the same as the original text",llama-3.3-70b-versatile
16,aaa proteins,22000 proteins,1.0,"Complete information leakage, the obfuscated text is completely different from the original text",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,0.0,"No information leakage, the obfuscated text is the same as the original text",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens appreciation by lung epithelial cells,0.8,"The word 'expressed' is replaced with 'appreciation', which is a different word with a similar meaning",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,1.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase three apoptosis,0.8,Added irrelevant word,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase contortionists apoptosis,0.7,Added irrelevant word,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase having apoptosis,0.9,Added irrelevant word,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase with apoptosis,0.9,Added irrelevant word,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,1.0,No obfuscation,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis challenged hairless mice,0.8,"The word 'challenged' is similar to the original word 'and', but still conveys some information.",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,computer-mediated and hairless mice,0.2,The word 'computer-mediated' is completely different from the original word 'carcinogenesis'.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis several hairless mice,0.7,"The word 'several' is similar to the original word 'and', but still conveys some information.",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,0.0,The text is identical to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,0.0,The text is identical to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,0.0,The text is identical to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,0.0,The text is identical to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,rhoose and hairless mice,0.6,"The word 'rhoose' is similar to the original word 'carcinogenesis', but still conveys some information.",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis ready hairless rats,0.4,"The word 'ready' is different from the original word 'and', and 'rats' is different from 'mice'.",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,semi-documentary and hairless mice,0.1,The word 'semi-documentary' is completely different from the original word 'carcinogenesis'.,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,No obfuscation,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,No obfuscation,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,No obfuscation,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,No obfuscation,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,No obfuscation,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,No obfuscation,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,No obfuscation,llama-3.3-70b-versatile
25,cause of scleroderma,cause of scleroderma,1.0,No obfuscation,llama-3.3-70b-versatile
25,cause of scleroderma,causes of scleroderma,0.8,"Minor obfuscation, changed 'cause' to 'causes'",llama-3.3-70b-versatile
25,cause of scleroderma,cause scotland scleroderma,0.6,"Moderate obfuscation, added 'scotland'",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters aside luc and lahad,0.2,"The obfuscated text still contains the word 'comparison' and 'promoters', which are key words in the original text, but the specific details are changed.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison secured promoters of arab also cumbrae,0.1,"The obfuscated text uses different words, but the overall structure is similar to the original text.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of cdot musical allward,0.1,"The obfuscated text replaces the original words with unrelated words, reducing information leakage.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison increase promoters of kitty families primrose,0.1,"The obfuscated text changes the meaning of the sentence, but some keywords are still present.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of branch and overinflated,0.1,"The obfuscated text uses synonyms for some words, but the overall meaning is different.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of krey and consultative,0.1,"The obfuscated text replaces the original words with unrelated words, reducing information leakage.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of ellerbe and swat,0.1,"The obfuscated text changes the meaning of the sentence, but some keywords are still present.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of sahl and fabric,0.1,"The obfuscated text uses different words, but the overall structure is similar to the original text.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparing of promoters of concealment view dalya,0.1,"The obfuscated text replaces the original words with unrelated words, reducing information leakage.",llama-3.3-70b-versatile
19,comparison of promoters of gal1 and suc1,comparison of promoters of masseuses both godfather,0.1,"The obfuscated text changes the meaning of the sentence, but some keywords are still present.",llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,1.0,No obfuscation,llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna pierce pathways and skin cancer,0.8,Minor obfuscation of 'repair' to 'pierce',llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathway also skin cancer,0.7,Minor obfuscation of 'pathways' to 'pathway',llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,1.0,No obfuscation,llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,1.0,No obfuscation,llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation both dna repair pathways needed skin cancer,0.6,Moderate obfuscation of 'between' to 'both' and 'needed',llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,1.0,No obfuscation,llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,1.0,No obfuscation,llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways and skin cancer,1.0,No obfuscation,llama-3.3-70b-versatile
8,correlation between dna repair pathways and skin cancer,correlation between dna repair pathways also skin cancer,0.7,Minor obfuscation of 'and' to 'also',llama-3.3-70b-versatile
7,dna repair and oxidative stress,dna repair i-qula oxidative stress,0.8,"The obfuscated text contains a typo, but the meaning is still similar to the original text.",llama-3.3-70b-versatile
7,dna repair and oxidative stress,dna repair and oxidative stress,1.0,The obfuscated text is identical to the original text.,llama-3.3-70b-versatile
7,dna repair and oxidative stress,dna repair while oxidative stress,0.9,"The obfuscated text uses a different conjunction, but the meaning is still similar to the original text.",llama-3.3-70b-versatile
7,dna repair and oxidative stress,dna repair and oxidative stress,1.0,The obfuscated text is identical to the original text.,llama-3.3-70b-versatile
7,dna repair and oxidative stress,dna repair ordered oxidative stress,0.9,"The obfuscated text uses a different verb, but the meaning is still similar to the original text.",llama-3.3-70b-versatile
7,dna repair and oxidative stress,dna repair and oxidative stress,1.0,The obfuscated text is identical to the original text.,llama-3.3-70b-versatile
7,dna repair and oxidative stress,dna repair from oxidative stress,0.9,"The obfuscated text uses a different preposition, but the meaning is still similar to the original text.",llama-3.3-70b-versatile
7,dna repair and oxidative stress,dna repair and upgrading stress,0.7,"The obfuscated text contains a different word, but the meaning is still somewhat similar to the original text.",llama-3.3-70b-versatile
7,dna repair and oxidative stress,dna repair and oxidative stress,1.0,The obfuscated text is identical to the original text.,llama-3.3-70b-versatile
7,dna repair and oxidative stress,dna repair and oxidative stress,1.0,The obfuscated text is identical to the original text.,llama-3.3-70b-versatile
17,do1 antibody,murdock antibody,0.2,"The word 'murdock' is similar to 'do1' in terms of length and starting letter, but not in meaning.",llama-3.3-70b-versatile
17,do1 antibody,bartending antibody,0.1,The word 'bartending' is unrelated to 'do1' in terms of meaning and context.,llama-3.3-70b-versatile
17,do1 antibody,nurses antibody,0.1,The word 'nurses' is unrelated to 'do1' in terms of meaning and context.,llama-3.3-70b-versatile
17,do1 antibody,trakya antibody,0.1,The word 'trakya' is unrelated to 'do1' in terms of meaning and context.,llama-3.3-70b-versatile
17,do1 antibody,steeps antibody,0.1,The word 'steeps' is unrelated to 'do1' in terms of meaning and context.,llama-3.3-70b-versatile
17,do1 antibody,programmer antibody,0.1,The word 'programmer' is unrelated to 'do1' in terms of meaning and context.,llama-3.3-70b-versatile
17,do1 antibody,whitest antibody,0.1,The word 'whitest' is unrelated to 'do1' in terms of meaning and context.,llama-3.3-70b-versatile
17,do1 antibody,gregerson antibody,0.1,The word 'gregerson' is unrelated to 'do1' in terms of meaning and context.,llama-3.3-70b-versatile
17,do1 antibody,pilch antibody,0.1,The word 'pilch' is unrelated to 'do1' in terms of meaning and context.,llama-3.3-70b-versatile
17,do1 antibody,rashleigh antibody,0.1,The word 'rashleigh' is unrelated to 'do1' in terms of meaning and context.,llama-3.3-70b-versatile
14,expression or regulation of tgfb in hnscc cancers,expression or regulation sight chatted created lorton cancers,0.2,"The obfuscated text still contains some similar words to the original text, such as 'expression' and 'regulation'.",llama-3.3-70b-versatile
14,expression or regulation of tgfb in hnscc cancers,expression or regulation of ciller in elite cancers,0.1,"The obfuscated text has some similar structure to the original text, but with different key terms.",llama-3.3-70b-versatile
14,expression or regulation of tgfb in hnscc cancers,expression or regulation of ugrumov in olmert cancers,0.1,"The obfuscated text has some similar structure to the original text, but with different key terms.",llama-3.3-70b-versatile
14,expression or regulation of tgfb in hnscc cancers,expression or pena terms 28.86 occur pocus cancers,0.0,The obfuscated text does not contain any similar words or structure to the original text.,llama-3.3-70b-versatile
14,expression or regulation of tgfb in hnscc cancers,expression or regulation across carnegie-mellon controls 13:07 cancers,0.0,The obfuscated text does not contain any similar words or structure to the original text.,llama-3.3-70b-versatile
14,expression or regulation of tgfb in hnscc cancers,expression or proponents for networkers in gusli cancers,0.0,The obfuscated text does not contain any similar words or structure to the original text.,llama-3.3-70b-versatile
14,expression or regulation of tgfb in hnscc cancers,expression or regulation of cip they bonde cancers,0.0,The obfuscated text does not contain any similar words or structure to the original text.,llama-3.3-70b-versatile
14,expression or regulation of tgfb in hnscc cancers,expression alone regulation of nawat where taxi cancers,0.0,The obfuscated text does not contain any similar words or structure to the original text.,llama-3.3-70b-versatile
14,expression or regulation of tgfb in hnscc cancers,expression or regulation of fealac 1996 slight cancers,0.0,The obfuscated text does not contain any similar words or structure to the original text.,llama-3.3-70b-versatile
