id,text,obfuscatedText,score,justification,model
16,aaa proteins,brochure sustaining,0.0,brochure sustaining: 0.0 - No connection to the original text,deepseek-r1-distill-llama-70b
16,aaa proteins,hep molecules,0.1,hep molecules: 0.1 - Slight reference but not direct,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa types,0.2,aaa types: 0.2 - Partial reference but not specific,deepseek-r1-distill-llama-70b
16,aaa proteins,newsletter proteins,0.7,"newsletter proteins: 0.7 - Direct mention of ""proteins""",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa enzymes,0.3,aaa enzymes: 0.3 - Related term but not exact,deepseek-r1-distill-llama-70b
16,aaa proteins,aa tissues,0.1,aa tissues: 0.1 - Slight similarity but not specific,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa enzymes,0.3,aaa enzymes: 0.3 - Same as above,deepseek-r1-distill-llama-70b
16,aaa proteins,gierasch formation,0.0,gierasch formation: 0.0 - Unrelated term,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,aaa proteins: 1.0 - Exact match,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa protein,0.9,"aaa protein: 0.9 - Nearly exact, just missing the plural",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen concern derivative volchok which cells,0.3,"The obfuscated text contains 'antigen' and 'cells,' which are present in the original text, indicating partial leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,bmps doubt by pneumonia green-colored tissues,0.2,"The obfuscated text mentions 'pneumonia' and 'tissues,' which are related but do not directly leak specific information.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,mysliveček attorneys-general by diagnosed epithelium cell,0.4,"The obfuscated text contains 'epithelium' and 'cell,' which are relevant, indicating partial leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens voiced adek lung membrane tissue,0.7,"The obfuscated text contains 'antigens' and 'lung,' which are directly related, indicating significant leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,hassanat expressed gaacx pneumonia epithelial cell,0.6,"The obfuscated text contains 'expressed,' 'epithelial,' and 'cell,' which are all relevant, indicating significant leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,disfavored have by pneumonia necrosis embryo,0.1,"The obfuscated text does not contain direct references, indicating minimal leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens franchuk ago thakre epithelium cell,0.5,"The obfuscated text contains 'antigens' and 'epithelium cell,' indicating significant leakage.",deepseek-r1-distill-llama-70b
