id,text,obfuscatedText,score,justification,model
16,aaa proteins,hushen province,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,verettes 100.0,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,wangari diringer,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,refi aryl,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,subcategory jaidee,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,campionati &amp;,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,horwill articulo,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,lebedeva 202-887-8316,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,1910-45 moggi,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,división achene,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,calmest syre peinture 5-0 1466 2001-2011,1.0,The obfuscated text 'calmest syre peinture 5-0 1466 2001-2011' does not contain any information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,27-percent nonlinear cockpit lechuza weltklasse kremenyuk,1.0,The obfuscated text '27-percent nonlinear cockpit lechuza weltklasse kremenyuk' does not contain any information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,copperbelt pence nzse40 gomhuriya palustris kiyosaki,1.0,The obfuscated text 'copperbelt pence nzse40 gomhuriya palustris kiyosaki' does not contain any information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,sagarmatha schwarzschild antiharassment mixedly tachycardia xiaoyang,1.0,The obfuscated text 'sagarmatha schwarzschild antiharassment mixedly tachycardia xiaoyang' does not contain any information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,rizkar mainz mistakes schillings bositis micropolitan,1.0,The obfuscated text 'rizkar mainz mistakes schillings bositis micropolitan' does not contain any information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,quintaglie amstephenson 13-nation aceros kidgear round-tower,1.0,The obfuscated text 'quintaglie amstephenson 13-nation aceros kidgear round-tower' does not contain any information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,derrike minister mixed-member bayernliga meeting icasualties.org,1.0,The obfuscated text 'derrike minister mixed-member bayernliga meeting icasualties.org' does not contain any information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,republish ronne b-standard s-bahn animist geometridae,1.0,The obfuscated text 'republish ronne b-standard s-bahn animist geometridae' does not contain any information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,rep. muban cinemascore waived/injured newsfeatures cup,1.0,The obfuscated text 'rep. muban cinemascore waived/injured newsfeatures cup' does not contain any information related to the original text.,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,arundhati gabled cybersurfing govpx fintor dealogic,1.0,The obfuscated text 'arundhati gabled cybersurfing govpx fintor dealogic' does not contain any information related to the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,cotonsport against 51-49,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,sadaqat fragos myoo,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,butch northern-central ridgemont,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,scorpene l'alma hoogenboom,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,mangku anime techsavvy,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,mee turistico non-swiss,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,erectile maac ginnastica,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,wakin studds haute-normandie,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,microsystems - kedo,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,jendayi hushen showcourts,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,best-of-7 my pelossof kitrey,1.0,The obfuscated text 'best-of-7 my pelossof kitrey' does not contain any words related to the original text 'carcinogenesis and hairless mice'.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,nah łęczyca giftedness kosdaq,1.0,The obfuscated text 'nah łęczyca giftedness kosdaq' does not contain any words related to the original text 'carcinogenesis and hairless mice'.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,republish repechage pragyan ccha,1.0,The obfuscated text 'republish repechage pragyan ccha' does not contain any words related to the original text 'carcinogenesis and hairless mice'.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,gaa ecfa nccpl zacks,1.0,The obfuscated text 'gaa ecfa nccpl zacks' does not contain any words related to the original text 'carcinogenesis and hairless mice'.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,jiarui coverts weatherwax lbr,1.0,The obfuscated text 'jiarui coverts weatherwax lbr' does not contain any words related to the original text 'carcinogenesis and hairless mice'.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,monsoon million 28-ounce polymerase,2.0,"The obfuscated text 'monsoon million 28-ounce polymerase' contains the word 'polymerase' which is related to biology, but it is not directly related to 'carcinogenesis and hairless mice'.",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,30-nation newsflash schwerner expectable,1.0,The obfuscated text '30-nation newsflash schwerner expectable' does not contain any words related to the original text 'carcinogenesis and hairless mice'.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,cochetel bitrate rockets www.starwars.com,1.0,The obfuscated text 'cochetel bitrate rockets www.starwars.com' does not contain any words related to the original text 'carcinogenesis and hairless mice'.,llama-3.3-70b-versatile
