id,text,obfuscatedText,score,justification,model
16,aaa proteins,tsen carbohydrate,1.0,No relation to the original text.,deepseek-r1-distill-llama-70b
16,aaa proteins,revolution neutrophils,2.0,Slightly related but not specific.,deepseek-r1-distill-llama-70b
16,aaa proteins,exx organisms,1.0,Unrelated terms.,deepseek-r1-distill-llama-70b
16,aaa proteins,guitarra proteins,5.0,Direct mention of 'proteins'.,deepseek-r1-distill-llama-70b
16,aaa proteins,comission dysfunctional,1.0,No connection to proteins.,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa tallarico,3.0,Partial match with 'aaa'.,deepseek-r1-distill-llama-70b
16,aaa proteins,"113,000 entities",1.0,"General terms, no link.",deepseek-r1-distill-llama-70b
16,aaa proteins,balance willingness,1.0,Unrelated concepts.,deepseek-r1-distill-llama-70b
16,aaa proteins,southcoast proteins,5.0,"Includes 'proteins', direct link.",deepseek-r1-distill-llama-70b
16,aaa proteins,furloughed tokes,1.0,No relevance to proteins.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,slap pavelić by lung wavelength sportfish,2.0,Partial retention of 'lung' but lacks other key terms.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens deputy by synthetic turteltaub cell,4.0,"Retains 'antigens' and 'cell,' which are significant.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens rigging protect protesting meningococcemia bloodstream,3.0,Retains 'antigens' but changes the context.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,immunoglobulin experienced marquess khet buns cells,2.0,Partial relation through 'immunoglobulin' and 'cells.',deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,inamul dismay withdrawing brain epithelial infect,2.0,Retains 'epithelial' but changes the context.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens detemobil by lung 30.000 cell,4.0,"Retains two key terms, 'antigens' and 'lung.'",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,99-percent derryberry court disengagement smulders tissue,1.0,No leakage as no relevant terms are present.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,pre-mrna temperament by corps epithelial cell,3.0,"Retains 'epithelial cell,' which is significant.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,cracovia elders marceau esophageal blavatsky vibhuti,1.0,No leakage as no relevant terms are present.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,coefficients atlus by cois epithelial system,2.0,Partial retention of 'epithelial' but lacks other key terms.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,martaban móvil upregulation,1.0,"'martaban móvil upregulation' does not contain any terms related to 'atpase' or 'apoptosis', thus no leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,daesang oryx secretory,1.0,"'daesang oryx secretory' does not include any terms related to 'atpase' or 'apoptosis', so no leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,δ similar laplaca,1.0,"'δ similar laplaca' contains no recognizable terms linked to 'atpase' or 'apoptosis', indicating no leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,human-readable huck loosey,1.0,"'human-readable huck loosey' has no relation to 'atpase' or 'apoptosis', thus no leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,dimms government-sponsored zf,1.0,"'dimms government-sponsored zf' does not include any terms related to 'atpase' or 'apoptosis', so no leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,endiem coria apoptotic,5.0,"'endiem coria apoptotic' contains 'apoptotic', which is related to 'apoptosis', indicating significant leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,casamento shared noradrenergic,1.0,"'casamento shared noradrenergic' has no direct relation to 'atpase' or 'apoptosis', so minimal leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,m1917 brand apoptosis,5.0,"'m1917 brand apoptosis' directly includes 'apoptosis', indicating complete leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase delivers apoptosis,5.0,"'atpase delivers apoptosis' includes both 'atpase' and 'apoptosis', indicating complete leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,guarana seriously apoptotic,5.0,"'guarana seriously apoptotic' includes 'apoptotic', which is related to 'apoptosis', indicating significant leakage.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,suvarna begun screwed dreaming,1.0,No leakage of information from the original text.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,"1,359 races derniere mice",2.0,Partial leakage of information from the original text.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,ecco and hypertonic hypertension,1.0,No leakage of information from the original text.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,decarava authority farts infants,1.0,No leakage of information from the original text.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,undersecretariat population egg joklik,1.0,No leakage of information from the original text.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,brr results succulent 19.10,1.0,No leakage of information from the original text.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,"4,471 beteta p6 gametes",1.0,No leakage of information from the original text.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,appendectomy bistro velvety genomes,2.0,Partial leakage of information from the original text.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,researcher katale hairless mice,5.0,Complete leakage of information from the original text.,deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,friedhof babel hoarau 98-mile,1.0,No leakage of information from the original text.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,managing strikes lupus,1.0,No relevant information related to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,distress joy 53.7,1.0,No relevant information related to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,abdominal realtors brima,1.0,No relevant information related to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,deep existence m-25,1.0,No relevant information related to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,infections 2 levington,1.0,No relevant information related to the cause of scleroderma.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,325-member photography scleroderma,3.0,Partial information about scleroderma but not its cause.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,negative keeper scleroderma,3.0,Partial information about scleroderma but not its cause.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,continuity hylsamex scleroderma,3.0,Partial information about scleroderma but not its cause.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,deficiencies of scleroderma,4.0,Direct reference to scleroderma with some implication of its characteristics.,deepseek-r1-distill-llama-70b
25,cause of scleroderma,absorb marga greco-buddhist,1.0,No relevant information related to the cause of scleroderma.,deepseek-r1-distill-llama-70b
