id,text,obfuscatedText,score,justification,model
16,aaa proteins,remunerative proteins,1.0,The word 'remunerative' does not relate to 'aaa proteins' so it is a good obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,5.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,5.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,5.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,5.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,5.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa 29.37,3.0,"Partial obfuscation, 'aaa' is present but 'proteins' is not",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,5.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,5.0,No obfuscation,llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,5.0,No obfuscation,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial vascular,4.0,"The word 'vascular' is used instead of 'cells', indicating some information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressing was lung epithelial cells,4.0,"The word 'expressing' is used instead of 'expressed', and 'was' is added, indicating some information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens sen. http://www.sunshinetour.com burbidge epithelial cells,2.0,"The text is heavily modified with 'sen. http://www.sunshinetour.com burbidge' added, indicating significant information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial cells,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens 166.50 by lung epithelial cells,4.0,"The number '166.50' is added, indicating some information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed by lung epithelial canadian-produced,4.0,"The word 'canadian-produced' is added, indicating some information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens voiced by lung epithelial cells,4.0,"The word 'voiced' is used instead of 'expressed', indicating some information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressed bf6 lung epithelial cells,4.0,"The code 'bf6' is added, indicating some information leakage",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens met by lung epithelial cells,4.0,"The word 'met' is used instead of 'expressed', indicating some information leakage",llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase george apoptosis,3.0,The obfuscated text contains extra words that do not relate to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase including apoptosis,4.0,The obfuscated text contains extra words that slightly relate to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase as apoptosis,4.0,The obfuscated text contains extra words that slightly relate to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase sigmon apoptosis,3.0,The obfuscated text contains extra words that do not relate to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase filipino apoptosis,3.0,The obfuscated text contains extra words that do not relate to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase hakman apoptosis,3.0,The obfuscated text contains extra words that do not relate to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptosis,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase accelerating apoptosis,4.0,The obfuscated text contains extra words that slightly relate to the original text,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis and hairless mice,5.0,The obfuscated text is identical to the original text,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis month hairless mice,4.0,"The word 'month' is used instead of 'and', changing the meaning",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis men hairless mice,4.0,"The word 'men' is used instead of 'and', changing the meaning",llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,carcinogenesis that hairless mice,4.0,"The word 'that' is used instead of 'and', changing the meaning",llama-3.3-70b-versatile
