id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,sociological definition of nature,2.0,Partial field change but related concepts,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,ethnological definitions of legislation,1.0,Unrelated field and concept,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,philological definition time resources,1.0,Different field and unrelated concept,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,sociological definitions mainly environment,4.0,Same concept but minor wording change,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,ethnological definitions initial environment,2.0,Somewhat related field and partial concept,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,archaeology 0-948817-19-4 book environments,2.0,Includes correct term but with extra info,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,sociological definitions of environment,5.0,Exact field and concept,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,petroglyphs defined turn environment,2.0,Unrelated concept with partial leakage,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,ethnographic defines the agriculture,2.0,Related field but specific concept,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological interpreted the infrastructure,5.0,Exact field and concept,deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause bringing right ventricular b-raf,1.0,"The term ""left ventricular hypertrophy"" is altered to ""right ventricular b-raf,"" which removes all relevant medical information.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause brought leaving atrial dilatation,1.0,"The original term ""left ventricular hypertrophy"" is changed to ""atrial dilatation,"" which is a different condition.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause the injured ventricular anemic,1.0,"The original term ""left ventricular hypertrophy"" is altered to ""injured ventricular anemic,"" which is unrelated.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes meanwhile he atrial hypertrophy,2.0,"The term ""left ventricular hypertrophy"" is partially preserved as ""atrial hypertrophy,"" but the location is changed.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause may leaving arrhythmias hypertrophy,2.0,"The term ""left ventricular hypertrophy"" is altered to ""arrhythmias hypertrophy,"" which changes the condition.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause one leaving atrial hypertrophy,2.0,"The term ""left ventricular hypertrophy"" is partially preserved as ""atrial hypertrophy,"" but the location is changed.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause of leaving atrial aliased,1.0,"The term ""left ventricular hypertrophy"" is changed to ""atrial aliased,"" which is unrelated.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause part leaving atrial hypertrophy,2.0,"The term ""left ventricular hypertrophy"" is partially preserved as ""atrial hypertrophy,"" but the location is changed.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause what leaving atrial hypertrophy,2.0,"The term ""left ventricular hypertrophy"" is partially preserved as ""atrial hypertrophy,"" but the location is changed.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,cause around leaving atrial typeset,1.0,"The term ""left ventricular hypertrophy"" is changed to ""atrial typeset,"" which is unrelated.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes apart military bomber,2.0,"The obfuscated text partially retains the original meaning but changes 'suicide' to 'bomber', reducing clarity but maintaining some context.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,occurs the army bombers,2.0,"The obfuscated text maintains some relation but changes key terms, reducing the clarity of the original meaning.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,sorts up army attacker,3.0,"The obfuscated text replaces 'causes' with 'sorts' and changes 'suicide' to 'attacker', making it vague.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes media officers death,2.0,"The obfuscated text retains 'causes' but shifts the context to 'media officers death', partially related to the original.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,cause near russian killing,2.0,"The obfuscated text changes the context to 'russian killing', making it partially related but less clear.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,cause and military another,3.0,"The obfuscated text retains 'military' but changes 'causes of suicide' to 'another', making it vague.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,cause according forces detonated,3.0,"The obfuscated text changes 'suicide' to 'detonated forces', making it partially related but less clear.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes part civilian physician-assisted,2.0,"The obfuscated text retains 'causes' but shifts the context to 'civilian physician-assisted', which is different.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes in military suicide,5.0,"The obfuscated text is the same as the original, indicating complete information leakage.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes in support killing,3.0,"The obfuscated text changes 'suicide' to 'support killing', making it partially related but less clear.",deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,costing including interior concrete sapwood,4.0,"costing including interior concrete sapwood: retains 'cost', 'interior', and 'concrete' but replaces 'flooring' with 'sapwood'",deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost the exterior push hardwood,3.0,cost the exterior push hardwood: changes 'interior' to 'exterior' and 'concrete flooring' to 'push hardwood',deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,taking complete ministry concrete heather,2.0,taking complete ministry concrete heather: introduces unrelated terms 'ministry' and 'heather',deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,costs over interior building furnishing,3.0,costs over interior building furnishing: retains 'interior' but replaces 'concrete flooring' with 'building furnishing',deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost which deteriorated concrete furniture,4.0,cost which deteriorated concrete furniture: retains 'concrete' but changes context to 'furniture',deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,15 as interior structure laminate,2.0,15 as interior structure laminate: introduces numbers and changes context to 'laminate',deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,pay of ministry precast linoleum,3.0,pay of ministry precast linoleum: replaces 'cost' with 'pay' and introduces 'ministry' and 'linoleum',deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,costly the cabinet walls terrazzo,3.0,costly the cabinet walls terrazzo: changes context to 'cabinet' and 'terrazzo',deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,costing of department concrete tile,4.0,costing of department concrete tile: retains 'concrete' but changes to 'department' and 'tile',deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of noteworthy paved tile,4.0,cost of noteworthy paved tile: changes 'concrete flooring' to 'paved tile',deepseek-r1-distill-llama-70b
1106007,define visceral?,definitions 31.51,2.0,"Contains 'definitions' which is similar to 'define', but '31.51' is unrelated to 'visceral'.",deepseek-r1-distill-llama-70b
1106007,define visceral?,define preceding,2.0,"Starts with 'define' which is the same as the original text, but 'preceding' is unrelated to 'visceral'.",deepseek-r1-distill-llama-70b
1106007,define visceral?,define undermining,2.0,"Starts with 'define' which is the same as the original text, but 'undermining' is unrelated to 'visceral'.",deepseek-r1-distill-llama-70b
1106007,define visceral?,transform crookedly,2.0,"Does not contain 'define' but has a word that could be related to transformation, which is unrelated to 'visceral'.",deepseek-r1-distill-llama-70b
1106007,define visceral?,interaction platters,1.0,"Does not contain 'define' or any related terms, and 'interaction platters' is unrelated to 'visceral'.",deepseek-r1-distill-llama-70b
1106007,define visceral?,defining mechanic,2.0,"Starts with 'defining' which is similar to 'define', but 'mechanic' is unrelated to 'visceral'.",deepseek-r1-distill-llama-70b
1106007,define visceral?,define growth,2.0,"Starts with 'define' which is the same as the original text, but 'growth' is unrelated to 'visceral'.",deepseek-r1-distill-llama-70b
1106007,define visceral?,defined declan,2.0,"Starts with 'defined' which is similar to 'define', but 'declan' is unrelated to 'visceral'.",deepseek-r1-distill-llama-70b
1106007,define visceral?,defining 've,2.0,"Starts with 'defining' which is similar to 'define', but ''ve' is unrelated to 'visceral'.",deepseek-r1-distill-llama-70b
1106007,define visceral?,defined endophytic,2.0,"Starts with 'defined' which is similar to 'define', but 'endophytic' is unrelated to 'visceral'.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,definition injunctive judgment,4.0,"Replaces 'declaratory' with 'injunctive,' a different legal concept, causing significant leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,defined injunctions judgement,3.0,"Changes 'definition' to 'defined' and 'declaratory' to 'injunctions,' altering the meaning but staying within legal terminology.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,conform annet judgement,2.0,"'Conform' and 'annet' are unrelated to the original terms, reducing leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,define declaratory judgement,5.0,"Nearly identical in meaning, with only minor spelling differences, leading to complete leakage.",deepseek-r1-distill-llama-70b
