id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,anthropological definition of environment,5.0,Complete leakage: obfuscated text is identical to the original.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,5.0,"The obfuscated text is identical to the original, so all information is leaked.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,5.0,"The obfuscated text is identical to the original, so all information is leaked.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,5.0,"The obfuscated text is identical to the original, so all information is leaked.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,5.0,"The obfuscated text is identical to the original, so all information is leaked.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,5.0,"The obfuscated text is identical to the original, so all information is leaked.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,5.0,"The obfuscated text is identical to the original, so all information is leaked.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,5.0,"The obfuscated text is identical to the original, so all information is leaked.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,5.0,"The obfuscated text is identical to the original, so all information is leaked.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,5.0,"The obfuscated text is identical to the original, so all information is leaked.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or synaptic knob definition,5.0,"The obfuscated text is identical to the original, so all information is leaked.",deepseek-r1-distill-llama-70b
87181,causes of left ventricular hypertrophy,causes of left ventricular hypertrophy,5.0,"All obfuscated texts are identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,No obfuscation; original text is completely exposed.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,No obfuscation; original text is completely exposed.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,No obfuscation; original text is completely exposed.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,No obfuscation; original text is completely exposed.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,No obfuscation; original text is completely exposed.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,No obfuscation; original text is completely exposed.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,No obfuscation; original text is completely exposed.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,No obfuscation; original text is completely exposed.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,No obfuscation; original text is completely exposed.,deepseek-r1-distill-llama-70b
87452,causes of military suicide,causes of military suicide,5.0,No obfuscation; original text is completely exposed.,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Complete information leakage as the obfuscated text is identical to the original text,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Complete information leakage as the obfuscated text is identical to the original text,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Complete information leakage as the obfuscated text is identical to the original text,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Complete information leakage as the obfuscated text is identical to the original text,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Complete information leakage as the obfuscated text is identical to the original text,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Complete information leakage as the obfuscated text is identical to the original text,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Complete information leakage as the obfuscated text is identical to the original text,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Complete information leakage as the obfuscated text is identical to the original text,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Complete information leakage as the obfuscated text is identical to the original text,deepseek-r1-distill-llama-70b
104861,cost of interior concrete flooring,cost of interior concrete flooring,5.0,Complete information leakage as the obfuscated text is identical to the original text,deepseek-r1-distill-llama-70b
1106007,define visceral?,define rubins,1.0,The word 'rubins' has no relation to 'visceral'.,deepseek-r1-distill-llama-70b
1106007,define visceral?,define 5o,1.0,The string '5o' does not provide any meaningful information related to 'visceral'.,deepseek-r1-distill-llama-70b
1106007,define visceral?,define talisman,1.0,The term 'talisman' is unrelated to 'visceral'.,deepseek-r1-distill-llama-70b
1106007,define visceral?,define basher,1.0,The word 'basher' is unrelated to 'visceral'.,deepseek-r1-distill-llama-70b
1106007,define visceral?,define kripal,1.0,The term 'kripal' has no relation to 'visceral'.,deepseek-r1-distill-llama-70b
1106007,define visceral?,define gaven,1.0,The term 'gaven' is unrelated to 'visceral'.,deepseek-r1-distill-llama-70b
1106007,define visceral?,"define 2,464",1.0,"The string '2,464' does not relate to 'visceral'.",deepseek-r1-distill-llama-70b
1106007,define visceral?,define pote,1.0,The word 'pote' is unrelated to 'visceral'.,deepseek-r1-distill-llama-70b
1106007,define visceral?,define unbalanced,1.0,The term 'unbalanced' is unrelated to 'visceral'.,deepseek-r1-distill-llama-70b
1106007,define visceral?,define ampatuans,1.0,The term 'ampatuans' has no relation to 'visceral'.,deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,definition declaratory judgment,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,definition declaratory judgment,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,definition declaratory judgment,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,definition declaratory judgment,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,definition declaratory judgment,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,definition declaratory judgment,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,definition declaratory judgment,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,definition declaratory judgment,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,definition declaratory judgment,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
130510,definition declaratory judgment,definition declaratory judgment,5.0,"The obfuscated text is identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
131843,definition of a sigmet,definition of a robertsbridge,1.0,robertsbridge is unrelated to meteorology or SIGMET,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,definition of a characterless,1.0,characterless is an adjective with no connection to weather or aviation terms,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,definition of a luna,1.0,luna relates to the moon and doesn't connect to SIGMET,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,definition of a su'a,1.0,su'a is not a standard English term related to SIGMET,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,definition of a direct,2.0,direct has a slight relation to direction but doesn't specifically relate to SIGMET,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,definition of a richmond,1.0,"richmond is a place name, unrelated to SIGMET",deepseek-r1-distill-llama-70b
131843,definition of a sigmet,definition of a doorman,1.0,doorman is unrelated to meteorology or aviation,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,definition of a cahuenga,1.0,cahuenga is a place name with no connection to SIGMET,deepseek-r1-distill-llama-70b
131843,definition of a sigmet,definition of a bungalow,1.0,"bungalow is a type of house, unrelated to SIGMET",deepseek-r1-distill-llama-70b
131843,definition of a sigmet,definition of a inattentive,1.0,inattentive is an adjective unrelated to weather or aviation,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,difference between a tuin and a double cheeseburger,3.0,"tuin is phonetically similar to twin, which might relate to a burger name, but not exact",deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,difference between a speedier and a double cheeseburger,2.0,speedier is unrelated and doesn't hint at the original term,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,difference between a entity and a double cheeseburger,2.0,entity is too generic and doesn't relate to burgers,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,difference between a flixster and a double cheeseburger,2.0,flixster is unrelated to food or burgers,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,difference between a remus and a double cheeseburger,2.0,remus doesn't relate to burgers,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,difference between a tolkki and a double cheeseburger,2.0,tolkki is foreign and unrelated,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,difference between a volkes and a double cheeseburger,2.0,volkes doesn't relate to food,deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,difference between a teleworkers and a double cheeseburger,2.0,"teleworkers relates to work, not food",deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,difference between a whooshed and a double cheeseburger,2.0,"whooshed is a verb, not related to burgers",deepseek-r1-distill-llama-70b
146187,difference between a mcdouble and a double cheeseburger,difference between a 19:03 and a double cheeseburger,2.0,19:03 is a time and unrelated,deepseek-r1-distill-llama-70b
148538,difference between rn and bsn,difference between rn and bsn,5.0,"The obfuscated text is identical to the original text, revealing all information.",deepseek-r1-distill-llama-70b
148538,difference between rn and bsn,difference between rn and bsn,5.0,"The obfuscated text is identical to the original text, revealing all information.",deepseek-r1-distill-llama-70b
148538,difference between rn and bsn,difference between rn and bsn,5.0,"The obfuscated text is identical to the original text, revealing all information.",deepseek-r1-distill-llama-70b
148538,difference between rn and bsn,difference between rn and bsn,5.0,"The obfuscated text is identical to the original text, revealing all information.",deepseek-r1-distill-llama-70b
148538,difference between rn and bsn,difference between rn and bsn,5.0,"The obfuscated text is identical to the original text, revealing all information.",deepseek-r1-distill-llama-70b
148538,difference between rn and bsn,difference between rn and bsn,5.0,"The obfuscated text is identical to the original text, revealing all information.",deepseek-r1-distill-llama-70b
148538,difference between rn and bsn,difference between rn and bsn,5.0,"The obfuscated text is identical to the original text, revealing all information.",deepseek-r1-distill-llama-70b
148538,difference between rn and bsn,difference between rn and bsn,5.0,"The obfuscated text is identical to the original text, revealing all information.",deepseek-r1-distill-llama-70b
148538,difference between rn and bsn,difference between rn and bsn,5.0,"The obfuscated text is identical to the original text, revealing all information.",deepseek-r1-distill-llama-70b
148538,difference between rn and bsn,difference between rn and bsn,5.0,"The obfuscated text is identical to the original text, revealing all information.",deepseek-r1-distill-llama-70b
156493,do goldfish grow,do goldfish grow,5.0,"All obfuscated texts are identical to the original text, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
168216,does legionella pneumophila cause pneumonia,does legionella pneumophila cause pneumonia,5.0,"All obfuscated texts are identical to the original, resulting in complete information leakage.",deepseek-r1-distill-llama-70b
182539,example of monotonic function,example of monotonic function,5.0,No obfuscation - original text is fully exposed.,deepseek-r1-distill-llama-70b
182539,example of monotonic function,example of monotonic function,5.0,No obfuscation - original text is fully exposed.,deepseek-r1-distill-llama-70b
182539,example of monotonic function,example of monotonic function,5.0,No obfuscation - original text is fully exposed.,deepseek-r1-distill-llama-70b
182539,example of monotonic function,example of monotonic function,5.0,No obfuscation - original text is fully exposed.,deepseek-r1-distill-llama-70b
182539,example of monotonic function,example of monotonic function,5.0,No obfuscation - original text is fully exposed.,deepseek-r1-distill-llama-70b
182539,example of monotonic function,example of monotonic function,5.0,No obfuscation - original text is fully exposed.,deepseek-r1-distill-llama-70b
182539,example of monotonic function,example of monotonic function,5.0,No obfuscation - original text is fully exposed.,deepseek-r1-distill-llama-70b
182539,example of monotonic function,example of monotonic function,5.0,No obfuscation - original text is fully exposed.,deepseek-r1-distill-llama-70b
182539,example of monotonic function,example of monotonic function,5.0,No obfuscation - original text is fully exposed.,deepseek-r1-distill-llama-70b
182539,example of monotonic function,example of monotonic function,5.0,No obfuscation - original text is fully exposed.,deepseek-r1-distill-llama-70b
183378,exons definition biology,exons definition biology,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
183378,exons definition biology,exons definition biology,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
183378,exons definition biology,exons definition biology,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
183378,exons definition biology,exons definition biology,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
183378,exons definition biology,exons definition biology,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
183378,exons definition biology,exons definition biology,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
183378,exons definition biology,exons definition biology,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
183378,exons definition biology,exons definition biology,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
183378,exons definition biology,exons definition biology,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
183378,exons definition biology,exons definition biology,5.0,"The obfuscated text is identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
207786,how are some sharks warm blooded,how are some sharks warm blooded,5.0,"All obfuscated texts are identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
207786,how are some sharks warm blooded,how are some sharks warm blooded,5.0,"All obfuscated texts are identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
207786,how are some sharks warm blooded,how are some sharks warm blooded,5.0,"All obfuscated texts are identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
207786,how are some sharks warm blooded,how are some sharks warm blooded,5.0,"All obfuscated texts are identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
207786,how are some sharks warm blooded,how are some sharks warm blooded,5.0,"All obfuscated texts are identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
207786,how are some sharks warm blooded,how are some sharks warm blooded,5.0,"All obfuscated texts are identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
207786,how are some sharks warm blooded,how are some sharks warm blooded,5.0,"All obfuscated texts are identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
207786,how are some sharks warm blooded,how are some sharks warm blooded,5.0,"All obfuscated texts are identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
207786,how are some sharks warm blooded,how are some sharks warm blooded,5.0,"All obfuscated texts are identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
207786,how are some sharks warm blooded,how are some sharks warm blooded,5.0,"All obfuscated texts are identical to the original, revealing all information.",deepseek-r1-distill-llama-70b
1133167,how is the weather in jamaica,how is the weather in jamaica,5.0,"No changes made to the original text, complete information retained.",deepseek-r1-distill-llama-70b
1133167,how is the weather in jamaica,how is the weather in jamaica,5.0,"No changes made to the original text, complete information retained.",deepseek-r1-distill-llama-70b
1133167,how is the weather in jamaica,how is the weather in jamaica,5.0,"No changes made to the original text, complete information retained.",deepseek-r1-distill-llama-70b
1133167,how is the weather in jamaica,how is the weather in jamaica,5.0,"No changes made to the original text, complete information retained.",deepseek-r1-distill-llama-70b
1133167,how is the weather in jamaica,how is the weather in jamaica,5.0,"No changes made to the original text, complete information retained.",deepseek-r1-distill-llama-70b
1133167,how is the weather in jamaica,how is the weather in jamaica,5.0,"No changes made to the original text, complete information retained.",deepseek-r1-distill-llama-70b
1133167,how is the weather in jamaica,how is the weather in jamaica,5.0,"No changes made to the original text, complete information retained.",deepseek-r1-distill-llama-70b
1133167,how is the weather in jamaica,how is the weather in jamaica,5.0,"No changes made to the original text, complete information retained.",deepseek-r1-distill-llama-70b
1133167,how is the weather in jamaica,how is the weather in jamaica,5.0,"No changes made to the original text, complete information retained.",deepseek-r1-distill-llama-70b
1133167,how is the weather in jamaica,how is the weather in jamaica,5.0,"No changes made to the original text, complete information retained.",deepseek-r1-distill-llama-70b
