id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,dieng narvik males handel,0.0,"dieng narvik males handel - 0.0, no information leakage as it's unrelated",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,naturalized ghandour ermita linval,0.0,"naturalized ghandour ermita linval - 0.0, no connection",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,yomi chaton cahn pyrus,0.0,"yomi chaton cahn pyrus - 0.0, unrelated",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,incoming reax republic breakup,0.0,"incoming reax republic breakup - 0.0, no link",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,guntis checkitout dawei calmus,0.0,"guntis checkitout dawei calmus - 0.0, no connection",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,hollyoaks focac aiadmk 55-11-3023-3331,0.0,"hollyoaks focac aiadmk 55-11-3023-3331 - 0.0, no info",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,gehman b-17 50-run esd,0.0,"gehman b-17 50-run esd - 0.0, unrelated",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,aguayo teaspoons seq electives,0.0,"aguayo teaspoons seq electives - 0.0, no link",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,hobey tambon ljubicic howmeh,0.0,"hobey tambon ljubicic howmeh - 0.0, unrelated",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,lithuanian djia role-playing upe,0.0,"lithuanian djia role-playing upe - 0.0, no connection",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,soldierly sgarbi mofaz botswana oly expediency,0.1,No relevant biological terms related to axon terminals or synaptic knob.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,fisnik lnwr everding antisense ovc autoimmune,0.2,No terms related to neuroscience or biology.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,mcilvaine ventas interpol oblanceolate post-production eurogroup,0.15,No connection to the original terms.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,poalei loney decriminalize pound-for-pound poset abstaining,0.1,No relevant terms related to neuroscience.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,mfdc convention noy obstante voicu kniazkov,0.1,No connection to the original text.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,ndlea boigny reactor undemarcated factor kemar,0.1,No relevant terms related to the original text.,deepseek-r1-distill-llama-70b
