id,text,obfuscatedText,score,justification,model
16,aaa proteins,remunerative antibodies,0.0,No leakage; 'remunerative antibodies' is unrelated to 'aaa proteins',deepseek-r1-distill-llama-70b
16,aaa proteins,akademiya preselected,0.0,No leakage; 'akademiya preselected' is unrelated to 'aaa proteins',deepseek-r1-distill-llama-70b
16,aaa proteins,lindl hox,0.0,No leakage; 'lindl hox' is unrelated to 'aaa proteins',deepseek-r1-distill-llama-70b
16,aaa proteins,95.46 receptor,0.0,No leakage; '95.46 receptor' is unrelated to 'aaa proteins',deepseek-r1-distill-llama-70b
16,aaa proteins,aaa molecules,0.5,Partial leakage; 'aaa molecules' shares the 'aaa' prefix but is not identical,deepseek-r1-distill-llama-70b
16,aaa proteins,",460 proteins",0.5,"Partial leakage; ',460 proteins' is a number and 'proteins' is present but not 'aaa'",deepseek-r1-distill-llama-70b
16,aaa proteins,nominated 29.37,0.0,No leakage; 'nominated 29.37' is unrelated to 'aaa proteins',deepseek-r1-distill-llama-70b
16,aaa proteins,aaa texpool,0.5,Partial leakage; 'aaa texpool' shares the 'aaa' prefix but is not identical,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,Complete leakage; 'aaa proteins' is identical to the original,deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,Complete leakage; 'aaa proteins' is identical to the original,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,sacris expressed de lung epithelial cells,0.3,"Contains 'sacris' which might be a misspelling of 'antigens', 'expressed' and 'epithelial cells' are present, but some words are altered.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,57.56 have been creutzfeld towpaths nissenbaum,0.0,"Unrelated terms and numbers, no leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,"antigens compared ring shung epithelial ,190",0.2,'Antigens' is present but context is altered.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,muda sen. http://www.sunshinetour.com yellow-footed epithelial xiaoyang,0.1,'Epithelial' is present but surrounded by unrelated content.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,kusumah expressed mistakes schillings procurator cells,0.15,'Expressed' and 'cells' are present but in different context.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,1937-1939 bhoffmandetnews.com one jurat epithelial sagittarii,0.1,'Epithelial' is present but with unrelated terms.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens minister mixed-member lung necessary canadian-produced,0.25,'Antigens' and 'lung' are present but context is altered.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,almansa mrs. warner kaohsiung epithelial cells,0.1,'Epithelial cells' is present but in different context.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens 4-83 bf6 4.725 epithelial cells,0.3,'Antigens' and 'epithelial cells' are present with added numbers.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,monocytes masonry by lung signet cells,0.15,'Lung' is present but other words are different.,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase and apoptosis,1.0,Complete match to original text,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,zhongwen ndah apoptosis,0.5,Partial leakage due to 'apoptosis',deepseek-r1-distill-llama-70b
15,atpase and apoptosis,seth small apoptosis,0.5,Partial leakage due to 'apoptosis',deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase including p19,0.5,Partial leakage due to 'atpase',deepseek-r1-distill-llama-70b
15,atpase and apoptosis,whitecap as apoptosis,0.5,Partial leakage due to 'apoptosis',deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase gulmi apoptosis,0.75,Partial leakage due to both terms,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,low-energy filipino apoptosis,0.5,Partial leakage due to 'apoptosis',deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase hakman dopaminergic,0.25,Partial leakage due to 'atpase',deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase for apoptosis,0.75,Partial leakage due to both terms,deepseek-r1-distill-llama-70b
15,atpase and apoptosis,+0.25 energizing apoptosis,0.5,Partial leakage due to 'apoptosis',deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,best-of-7 her hairless mice,0.5,"Score 0.5: The obfuscated text includes 'hairless mice' but omits 'carcinogenesis', indicating partial information leakage.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,yanshi month hairless mice,0.3,"Score 0.3: Only 'hairless mice' is present, but the context is less related to the original.",deepseek-r1-distill-llama-70b
11,carcinogenesis and hairless mice,carcinogenesis men hairless filmdom,0.8,"Score 0.8: Both key terms are present with minor additions, leading to significant leakage.",deepseek-r1-distill-llama-70b
