id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,linguistic definitions great wearable,0.3,"Contains 'linguistic definitions', which is somewhat related but not directly linked to the original terms.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological meaning dokuz soggy,0.6,"Includes 'anthropological meaning', which closely relates to the original 'anthropological definition'.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,beandalis lierde obscuring environment,0.4,"Contains 'environment', which is a key term from the original text.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition those climate,0.9,"Includes both 'anthropological' and 'definition', closely matching the original text.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,ethnographic freeview of tuality,0.1,Does not contain any key terms from the original text.,deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition and comala,0.85,"Contains both 'anthropological' and 'definition', directly matching the original text.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,philological what about environment,0.5,"Includes 'environment', a key term from the original text.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological calorimetric interconnection life,0.45,"Includes 'anthropological', a key term from the original text, but the rest is unrelated.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,socio-economic defines línea environment,0.7,"Contains 'environment', a key term, and 'defines', which is related to 'definition'.",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,isobutane uniform true create,0.0,Does not contain any key terms from the original text.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,carlo marlin or causal vertical defined,0.0,No apparent relation to the original text.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,kil terminal or plasticity knob sampling,0.3,Partial leakage with some relevant terms.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals grasswren plasticity 2201 defined,0.8,High leakage with exact terms.,deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon liquefied telepar brainwaves sprite i.e.,0.2,Low leakage with some related terms.,deepseek-r1-distill-llama-70b
