id,text,obfuscatedText,score,justification,model
16,aaa proteins,aaaa protein,0.9,High similarity with one additional character and singular form.,deepseek-r1-distill-llama-70b
16,aaa proteins,ratings proteins,0.6,Partial match on 'proteins'.,deepseek-r1-distill-llama-70b
16,aaa proteins,endtag proteins,0.6,Partial match on 'proteins'.,deepseek-r1-distill-llama-70b
16,aaa proteins,aa enzymes,0.5,Moderate match on 'proteins' with a related term 'enzymes'.,deepseek-r1-distill-llama-70b
16,aaa proteins,rickd genes,0.3,"Unrelated terms, minimal leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,jamboree amino,0.4,Partial match on 'amino' related to 'proteins'.,deepseek-r1-distill-llama-70b
16,aaa proteins,aa protein,0.85,High similarity with one less character and singular form.,deepseek-r1-distill-llama-70b
16,aaa proteins,sent lipids,0.3,"Unrelated term 'lipids', minimal leakage.",deepseek-r1-distill-llama-70b
16,aaa proteins,aa proteins,0.8,High similarity with two fewer characters.,deepseek-r1-distill-llama-70b
16,aaa proteins,aa genes,0.2,"Unrelated term 'genes', minimal leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens concern according lung ph epithelial,0.4,"The obfuscated text retains the word 'antigens' and 'epithelial' but changes the context, leading to partial information leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens noted by lung epithelium cell,0.9,"The obfuscated text is very similar in meaning to the original, indicating high information leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens admiration being cancer epithelial cell,0.3,"The obfuscated text alters the meaning significantly, reducing information leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antibodies expressed purchasing cancer lining cell,0.2,"The terms are changed to 'antibodies' and 'cancer lining cell,' reducing information leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed soldiers brain epithelial cell,0.5,"The obfuscated text changes the organ and adds unrelated terms, leading to partial information leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen expressed by prostate epithelium cell,0.6,"The obfuscated text changes the organ but retains the structure, leading to moderate information leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigen voiced manufactured lung heterochromatin tissue,0.2,"The obfuscated text uses unrelated terms like 'voiced' and 'manufactured,' reducing information leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressing by liver epithelium cells,0.5,"The obfuscated text changes the organ but retains the structure, leading to moderate information leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,mhc welcomed which lung epithelium cells,0.2,"The obfuscated text introduces unrelated terms like 'mhc welcomed,' reducing information leakage.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressing by ovarian mammalian cell,0.4,"The obfuscated text changes the context and terms, leading to partial information leakage.",deepseek-r1-distill-llama-70b
15,atpase and apoptosis,atpase prohertrib overexpression,0.8,"The obfuscated text includes 'atpase', indicating significant leakage (0.8).",deepseek-r1-distill-llama-70b
