id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,sociological format of nature,1.0,"The word 'sociological' is different from 'anthropological' and 'format of nature' is different from 'definition of environment', so the score is 1",llama-3.3-70b-versatile
19335,anthropological definition of environment,ethnological definitions of legislation,1.0,"The word 'ethnological' is different from 'anthropological' and 'definitions of legislation' is different from 'definition of environment', so the score is 1",llama-3.3-70b-versatile
19335,anthropological definition of environment,philological definition the resources,1.0,"The word 'philological' is different from 'anthropological' and 'definition the resources' is different from 'definition of environment', so the score is 1",llama-3.3-70b-versatile
19335,anthropological definition of environment,sociological definitions addition environment,3.0,"The word 'sociological' is different from 'anthropological' but 'definitions addition environment' is similar to 'definition of environment', so the score is 3",llama-3.3-70b-versatile
19335,anthropological definition of environment,ethnological definitions initial environment,3.0,"The word 'ethnological' is different from 'anthropological' but 'definitions initial environment' is similar to 'definition of environment', so the score is 3",llama-3.3-70b-versatile
19335,anthropological definition of environment,archaeology definition the environments,2.0,"The word 'archaeology' is different from 'anthropological' and 'definition the environments' is similar to 'definition of environment', so the score is 2",llama-3.3-70b-versatile
19335,anthropological definition of environment,sociological definitions of environment,4.0,"The word 'sociological' is different from 'anthropological' but 'definitions of environment' is the same as 'definition of environment', so the score is 4",llama-3.3-70b-versatile
19335,anthropological definition of environment,ethnology defined part environment,3.0,"The word 'ethnology' is different from 'anthropological' but 'defined part environment' is similar to 'definition of environment', so the score is 3",llama-3.3-70b-versatile
19335,anthropological definition of environment,sociological defines the resources,1.0,"The word 'sociological' is different from 'anthropological' and 'defines the resources' is different from 'definition of environment', so the score is 1",llama-3.3-70b-versatile
19335,anthropological definition of environment,anthropological interpreted the environments,5.0,"The word 'anthropological' is the same as the original and 'interpreted the environments' is similar to 'definition of environment', so the score is 5",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,dendrites terminal which synapses gearshift definition,1.0,"The word 'dendrites' is unrelated to 'axon', and 'gearshift' is unrelated to 'synaptic knob', so the score is 1",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,third-parties terminals instead plasticity knobs specifically,2.0,"The word 'third-parties' is unrelated to 'axon', and 'plasticity' is related to 'synaptic', but 'specifically' is not, so the score is 2",llama-3.3-70b-versatile
47923,axon terminals or synaptic knob definition,axonal configured either plasticity knobs defines,4.0,"The word 'axonal' is related to 'axon', and 'plasticity' is related to 'synaptic', so the score is 4",llama-3.3-70b-versatile
