id,text,obfuscatedText,score,justification,model
19335,anthropological definition of environment,anthropological the the organisation,3.0,"Maintains 'anthropological' but loses 'definition of environment', partial leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,zoological chopko pile recordar,2.0,"Unrelated terms, minimal leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,eastpointe definition mayor boinc,2.0,"Contains 'definition' but unrelated context, partial leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,borkelmans came leeds korean,1.0,"No relevant terms, no leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,44-man definition people private-owned,2.0,"Contains 'definition' but unrelated context, partial leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,volgan 201.8 tests environment,3.0,"Contains 'environment' but with unrelated terms, partial leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological definition palestinians environment,4.0,"Contains both 'anthropological' and 'environment' with additional context, significant leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,mutoscope hematological tim environment,2.0,"Contains 'environment' but with unrelated terms, partial leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,stratigraphic incomprehensible revered coastal,1.0,"No relevant terms, no leakage",deepseek-r1-distill-llama-70b
19335,anthropological definition of environment,anthropological nigerien puncak environment,4.0,"Contains both 'anthropological' and 'environment' with additional context, significant leakage",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,7-23 250-lap condoned synaptic tannoudji defined,3.0,"The obfuscated text includes 'synaptic' and 'defined', which are related to the original terms, indicating partial information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon some birthright mokokchung nappies omar,2.0,"The obfuscated text contains 'axon', a key term from the original text, but the rest are unrelated, indicating minimal information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,club q&amp;a@ajc.com risk synaptic abruptly rushmoor,3.0,"The obfuscated text includes 'synaptic', a key term from the original text, but the rest are unrelated, indicating partial information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals or knaap plump sustainability,4.0,"The obfuscated text includes both 'axon terminals', a direct phrase from the original text, but adds unrelated terms, indicating moderate information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,2.8-3 sandy ) synaptic ratnasiri flanked,3.0,"The obfuscated text includes 'synaptic', a key term from the original text, but the rest are unrelated, indicating partial information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon terminals 57.50 synaptic tulsi variable,4.0,"The obfuscated text includes both 'axon terminals' and 'synaptic', key terms from the original text, but adds unrelated terms, indicating moderate information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon petrol overcoat synaptic mainbrace eichsfeld,3.0,"The obfuscated text includes 'axon' and 'synaptic', key terms from the original text, but the rest are unrelated, indicating partial information leakage.",deepseek-r1-distill-llama-70b
47923,axon terminals or synaptic knob definition,axon two town synaptic nahd shotty,3.0,"The obfuscated text includes 'axon' and 'synaptic', key terms from the original text, but the rest are unrelated, indicating partial information leakage.",deepseek-r1-distill-llama-70b
