id,text,obfuscatedText,score,justification,model
16,aaa proteins,hushen province,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,verettes 100.0,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,wangari diringer,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,refi aryl,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,subcategory jaidee,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,campionati &amp;,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,horwill articulo,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,lebedeva 202-887-8316,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,1910-45 moggi,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,división achene,0.0,No apparent connection to 'aaa proteins',llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,calmest syre peinture 5-0 1466 2001-2011,0.0,No relevant keywords found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,27-percent nonlinear cockpit lechuza weltklasse kremenyuk,0.0,No relevant keywords found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,copperbelt pence nzse40 gomhuriya palustris kiyosaki,0.0,No relevant keywords found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,sagarmatha schwarzschild antiharassment mixedly tachycardia xiaoyang,0.0,No relevant keywords found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,rizkar mainz mistakes schillings bositis micropolitan,0.0,No relevant keywords found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,quintaglie amstephenson 13-nation aceros kidgear round-tower,0.0,No relevant keywords found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,derrike minister mixed-member bayernliga meeting icasualties.org,0.0,No relevant keywords found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,republish ronne b-standard s-bahn animist geometridae,0.0,No relevant keywords found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,rep. muban cinemascore waived/injured newsfeatures cup,0.0,No relevant keywords found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,arundhati gabled cybersurfing govpx fintor dealogic,0.0,No relevant keywords found,llama-3.3-70b-versatile
15,atpase and apoptosis,cotonsport against 51-49,0.0,No keywords found,llama-3.3-70b-versatile
15,atpase and apoptosis,sadaqat fragos myoo,0.0,No keywords found,llama-3.3-70b-versatile
15,atpase and apoptosis,butch northern-central ridgemont,0.0,No keywords found,llama-3.3-70b-versatile
15,atpase and apoptosis,scorpene l'alma hoogenboom,0.0,No keywords found,llama-3.3-70b-versatile
15,atpase and apoptosis,mangku anime techsavvy,0.0,No keywords found,llama-3.3-70b-versatile
15,atpase and apoptosis,mee turistico non-swiss,0.0,No keywords found,llama-3.3-70b-versatile
15,atpase and apoptosis,erectile maac ginnastica,0.0,No keywords found,llama-3.3-70b-versatile
15,atpase and apoptosis,wakin studds haute-normandie,0.0,No keywords found,llama-3.3-70b-versatile
15,atpase and apoptosis,microsystems - kedo,0.0,No keywords found,llama-3.3-70b-versatile
15,atpase and apoptosis,jendayi hushen showcourts,0.0,No keywords found,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,best-of-7 my pelossof kitrey,0.0,The obfuscated text does not contain any words related to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,nah łęczyca giftedness kosdaq,0.0,The obfuscated text does not contain any words related to the original text.,llama-3.3-70b-versatile
11,carcinogenesis and hairless mice,republish repechage pragyan ccha,0.0,The obfuscated text does not contain any words related to the original text.,llama-3.3-70b-versatile
