id,text,obfuscatedText,score,justification,model
16,aaa proteins,parentheses ifop,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,brzeski abelian,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,nor'easter cac-40,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,hindin 1973-90,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,thaugsuban ideaglobal,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,microns non-institutionalized,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,eighteens igpa,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,milanka nuthatches,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,"domitien 141,300",1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
16,aaa proteins,baronetcies darbepoetin,1.0,No apparent relation to 'aaa proteins',llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,jogbra 202-383-7824 souflias satb brajesh delron,1.0,No relevant terms found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,clubside olusegun yanow 1975-79 537-vote ethio,1.0,No relevant terms found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,soundview lubusz bse-100 disparities 537-vote norweb,1.0,No relevant terms found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,"householder ezola 12,000-member bernanke sauipe cvp",1.0,No relevant terms found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,pre-transition antihistamine refiles boston.com 14-party coronavirus,2.0,"Mention of coronavirus, which is related to lung epithelial cells, but not directly related to antigens",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,"ptech 2,025 1950-53 orinoco accessatlanta.com flann",1.0,No relevant terms found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,carniola 212-556-4204 mentawai nah 147.27 micropolitan,1.0,No relevant terms found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,"5,048.62 vanke parnaz svensktoppen gonville tabulate",1.0,No relevant terms found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,rsmc wicketless republish akebono whittall cauchy,1.0,No relevant terms found,llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,second-round gorondi jantjes perihelion palaeographically bnv,1.0,No relevant terms found,llama-3.3-70b-versatile
15,atpase and apoptosis,tergat colspan nodx,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,arrestingly recanted tankan,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,qingquan poelten eccellenza,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
15,atpase and apoptosis,noninterference preheat pullbacks,1.0,No apparent relation to the original text,llama-3.3-70b-versatile
