id,text,obfuscatedText,score,justification,model
16,aaa proteins,aaa proteins,1.0,"Identical to original text, complete information leakage",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Identical to original text, complete information leakage",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Identical to original text, complete information leakage",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Identical to original text, complete information leakage",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Identical to original text, complete information leakage",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Identical to original text, complete information leakage",deepseek-r1-distill-llama-70b
16,aaa proteins,andrassy proteins,0.8,"Partial leakage, similar structure but different specific term",deepseek-r1-distill-llama-70b
16,aaa proteins,intermountain proteins,0.6,"Partial leakage, similar structure but different specific term",deepseek-r1-distill-llama-70b
16,aaa proteins,22000 proteins,0.4,"Partial leakage, numerical obfuscation",deepseek-r1-distill-llama-70b
16,aaa proteins,aaa proteins,1.0,"Identical to original text, complete information leakage",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed judgement semiclassical granules cells,0.4,Some original terms remain but with irrelevant additions.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens olusegun supported lung epithelial calcium,0.5,Retains some original terms but introduces unrelated words.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by disparities epithelial cells,0.6,Partial retention of original terms with some context shift.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,clench incomes micklethwait lung epithelial activation,0.2,"Mostly irrelevant terms, minimal original information.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed dewey lung aafl cells,0.45,Partial terms present with confusing additions.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,expreso intention by lung epithelial cells,0.5,Some original context remains with meaning shift.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,153.9 voiced by lung underbody cells,0.3,"Minimal original terms, mostly irrelevant.",deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens expressed by incurable epithelial cells,0.55,Partial terms with some context retention.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,crystallized expressed by lung epithelial cell,0.6,Some original terms with altered meaning.,deepseek-r1-distill-llama-70b
40,antigens expressed by lung epithelial cells,antigens vice jantjes lung epithelial cells,0.5,Some original terms remain with irrelevant additions.,deepseek-r1-distill-llama-70b
