id,text,obfuscatedText,score,justification,model
16,aaa proteins,aaa acids,4.0,"Similar term, but different category",llama-3.3-70b-versatile
16,aaa proteins,hep molecules,1.0,Unrelated term,llama-3.3-70b-versatile
16,aaa proteins,kondoa protein,3.0,"Similar term, but with a different suffix",llama-3.3-70b-versatile
16,aaa proteins,aa proteins,2.0,"Similar term, but incomplete",llama-3.3-70b-versatile
16,aaa proteins,aaa enzymes,4.0,"Similar term, but different category",llama-3.3-70b-versatile
16,aaa proteins,aa molecules,2.0,"Similar term, but incomplete and different category",llama-3.3-70b-versatile
16,aaa proteins,aaa enzymes,4.0,"Similar term, but different category",llama-3.3-70b-versatile
16,aaa proteins,aa molecules,2.0,"Similar term, but incomplete and different category",llama-3.3-70b-versatile
16,aaa proteins,aaa proteins,5.0,Identical term,llama-3.3-70b-versatile
16,aaa proteins,aaa protein,3.0,"Similar term, but with a different suffix",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen expressing written lung epithelium cells,2.0,"The word 'expressed' is replaced with 'expressing' and 'written' is added, but the meaning is still similar",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen dismay by pneumonia tissues tissues,5.0,"The word 'antigens' is replaced with 'antigen' and 'dismay' is used instead of 'expressed', and 'pneumonia' is used instead of 'lung', which changes the meaning",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen expressing macenka diagnosed epithelium cell,5.0,"The word 'expressed' is replaced with 'expressing' and 'macenka' is added, which is not related to the original text",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens voiced attributed lung epithelial tissue,2.0,"The word 'expressed' is replaced with 'voiced' and 'attributed', but the meaning is still similar",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen expressed easily pneumonia epithelial cell,4.0,"The word 'expressed' is replaced with 'expressed easily', but 'pneumonia' is used instead of 'lung'",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen concern by pneumonia epithelium cells,5.0,"The word 'expressed' is replaced with 'concern', which changes the meaning",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigens expressing earlier emphysema epithelium cell,5.0,"The word 'expressed' is replaced with 'expressing', and 'earlier' and 'emphysema' are added, which changes the meaning",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen met by chest cysts tissue,5.0,"The word 'expressed' is replaced with 'met', and 'chest cysts' is used instead of 'lung epithelial cells', which changes the meaning",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,antigen expressing after small-cell membrane cells,5.0,"The word 'expressed' is replaced with 'expressing', and 'after' and 'small-cell membrane' are added, which changes the meaning",llama-3.3-70b-versatile
40,antigens expressed by lung epithelial cells,deactivating expressing was lungs epithelial cell,5.0,"The word 'antigens' is replaced with 'deactivating', which changes the meaning",llama-3.3-70b-versatile
15,atpase and apoptosis,mao-a well neuronal,1.0,The obfuscated text 'mao-a well neuronal' does not contain any information from the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,efflux and inhibition,1.0,The obfuscated text 'efflux and inhibition' does not contain any information from the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase and apoptotic,4.0,The obfuscated text 'atpase and apoptotic' contains similar information to the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,mao-a and p53,1.0,The obfuscated text 'mao-a and p53' does not contain any information from the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,bustling and apoptosis,5.0,The obfuscated text 'bustling and apoptosis' contains similar information to the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,domains . excitotoxicity,1.0,The obfuscated text 'domains . excitotoxicity' does not contain any information from the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,banepa and apoptotic,4.0,The obfuscated text 'banepa and apoptotic' contains similar information to the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,acro and apoptosis,4.0,The obfuscated text 'acro and apoptosis' contains similar information to the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,atpases both apoptotic,5.0,The obfuscated text 'atpases both apoptotic' contains similar information to the original text.,llama-3.3-70b-versatile
15,atpase and apoptosis,atpase brings apoptosis,5.0,The obfuscated text 'atpase brings apoptosis' contains similar information to the original text.,llama-3.3-70b-versatile
